Agg(open=20.2, high=20.3, low=20, close=20.27, volume=655, vwap=20.2132, timestamp=1696233600000, transactions=8, otc=None)
Agg(open=20.3, high=20.3, low=20.3, close=20.3, volume=202, vwap=20.2991, timestamp=1696240800000, transactions=2, otc=None)
Agg(open=20.09, high=20.09, low=20, close=20, volume=824, vwap=20.0331, timestamp=1696244400000, transactions=6, otc=None)
Agg(open=19.9, high=20.0487, low=19.79, close=19.91, volume=6253, vwap=19.9025, timestamp=1696248000000, transactions=22, otc=None)
Agg(open=19.8989, high=19.92, low=19.53, close=19.69, volume=51863, vwap=19.7282, timestamp=1696251600000, transactions=704, otc=None)
Agg(open=19.7, high=19.72, low=19.5, close=19.56, volume=92837, vwap=19.5968, timestamp=1696255200000, transactions=1286, otc=None)
Agg(open=19.5499, high=19.63, low=19.4802, close=19.52, volume=48882, vwap=19.547, timestamp=1696258800000, transactions=833, otc=None)
Agg(open=19.52, high=19.54, low=19.41, close=19.47, volume=42120, vwap=19.4618, timestamp=1696262400000, transactions=612, otc=None)
Agg(open=19.4799, high=19.98, low=18.71, close=19.805, volume=640410, vwap=19.5341, timestamp=1696266000000, transactions=4932, otc=None)
Agg(open=19.81, high=19.87, low=19.43, close=19.455, volume=177275, vwap=19.658, timestamp=1696269600000, transactions=1780, otc=None)
Agg(open=19.45, high=19.48, low=19.34, close=19.4, volume=234418, vwap=19.3954, timestamp=1696273200000, transactions=3232, otc=None)
Agg(open=19.5, high=19.5, low=19.5, close=19.5, volume=888, vwap=19.5, timestamp=1696280400000, transactions=1, otc=None)
Agg(open=19.6, high=19.6, low=19.6, close=19.6, volume=150, vwap=19.6, timestamp=1696284000000, transactions=1, otc=None)
Agg(open=19.11, high=19.45, low=19.09, close=19.45, volume=909, vwap=19.2522, timestamp=1696287600000, transactions=10, otc=None)
Agg(open=19.5, high=19.5, low=19.5, close=19.5, volume=299, vwap=19.4995, timestamp=1696330800000, transactions=2, otc=None)
