Agg(open=22.805, high=23.01, low=22.75, close=22.84, volume=309278, vwap=22.8685, timestamp=1680202800000, transactions=3924, otc=None)
Agg(open=22.84, high=22.9, low=22.84, close=22.88, volume=260018, vwap=22.8403, timestamp=1680206400000, transactions=20, otc=None)
Agg(open=22.85, high=22.85, low=22.85, close=22.85, volume=3000, vwap=22.85, timestamp=1680210000000, transactions=1, otc=None)
Agg(open=22.87, high=22.87, low=22.85, close=22.85, volume=1401, vwap=22.855, timestamp=1680213600000, transactions=5, otc=None)
Agg(open=22.84, high=23.13, low=22.84, close=23.13, volume=213, vwap=22.9778, timestamp=1680260400000, transactions=5, otc=None)
Agg(open=22.9, high=23.28, low=22.84, close=22.99, volume=7041, vwap=22.9646, timestamp=1680264000000, transactions=21, otc=None)
Agg(open=22.95, high=22.98, low=22.16, close=22.32, volume=101250, vwap=22.5193, timestamp=1680267600000, transactions=1067, otc=None)
Agg(open=22.36, high=22.42, low=22.17, close=22.24, volume=131498, vwap=22.301, timestamp=1680271200000, transactions=1850, otc=None)
Agg(open=22.24, high=22.52, low=22.24, close=22.48, volume=159778, vwap=22.3715, timestamp=1680274800000, transactions=1785, otc=None)
Agg(open=22.47, high=22.59, low=22.4, close=22.47, volume=89251, vwap=22.4899, timestamp=1680278400000, transactions=1326, otc=None)
Agg(open=22.47, high=22.49, low=22.1, close=22.13, volume=119272, vwap=22.3129, timestamp=1680282000000, transactions=1313, otc=None)
Agg(open=22.1393, high=22.22, low=22.0201, close=22.1075, volume=142517, vwap=22.1059, timestamp=1680285600000, transactions=1539, otc=None)
Agg(open=22.09, high=22.17, low=21.94, close=22.17, volume=360877, vwap=22.0785, timestamp=1680289200000, transactions=2761, otc=None)
Agg(open=22.15, high=22.36, low=22.15, close=22.35, volume=307951, vwap=22.1587, timestamp=1680292800000, transactions=79, otc=None)
Agg(open=22.49, high=22.49, low=22.2, close=22.2, volume=2052, vwap=22.3789, timestamp=1680296400000, transactions=13, otc=None)
Agg(open=22.2, high=22.2, low=22.2, close=22.2, volume=301, vwap=22.2, timestamp=1680300000000, transactions=2, otc=None)
Agg(open=22.39, high=22.39, low=22.2, close=22.2, volume=506, vwap=22.3331, timestamp=1680303600000, transactions=5, otc=None)
