Agg(open=23, high=23.49, low=23, close=23.49, volume=3206, vwap=23.3346, timestamp=1692000000000, transactions=23, otc=None)
Agg(open=23.49, high=24.7, low=23.49, close=24.28, volume=9639, vwap=24.1793, timestamp=1692003600000, transactions=160, otc=None)
Agg(open=24.29, high=24.5, low=24.29, close=24.35, volume=4160, vwap=24.4386, timestamp=1692007200000, transactions=46, otc=None)
Agg(open=24.06, high=25.5, low=23.97, close=23.99, volume=86765, vwap=24.5477, timestamp=1692010800000, transactions=881, otc=None)
Agg(open=24.88, high=25.319, low=23.42, close=23.99, volume=113630, vwap=23.9822, timestamp=1692014400000, transactions=805, otc=None)
Agg(open=23.995, high=24.3499, low=23.41, close=23.795, volume=531661, vwap=23.9048, timestamp=1692018000000, transactions=3535, otc=None)
Agg(open=23.83, high=23.98, low=23.4, close=23.78, volume=323806, vwap=23.6946, timestamp=1692021600000, transactions=3665, otc=None)
Agg(open=23.79, high=24.28, low=23.79, close=24.2164, volume=269332, vwap=24.085, timestamp=1692025200000, transactions=2575, otc=None)
Agg(open=24.22, high=24.6, low=24.11, close=24.3771, volume=197950, vwap=24.3488, timestamp=1692028800000, transactions=2177, otc=None)
Agg(open=24.4, high=24.405, low=24.11, close=24.2499, volume=90990, vwap=24.2307, timestamp=1692032400000, transactions=1411, otc=None)
Agg(open=24.2499, high=24.25, low=23.97, close=24.105, volume=77260, vwap=24.1318, timestamp=1692036000000, transactions=1364, otc=None)
Agg(open=24.08, high=24.34, low=23.92, close=24.175, volume=480589, vwap=24.1253, timestamp=1692039600000, transactions=5624, otc=None)
Agg(open=24.15, high=24.2, low=23.77, close=24.179, volume=20746, vwap=24.1149, timestamp=1692043200000, transactions=32, otc=None)
Agg(open=24.16, high=24.18, low=23.77, close=23.8252, volume=1701, vwap=24.0137, timestamp=1692046800000, transactions=10, otc=None)
Agg(open=24, high=24, low=23.8, close=23.9, volume=400, vwap=23.925, timestamp=1692050400000, transactions=3, otc=None)
Agg(open=23.9, high=23.9, low=23.9, close=23.9, volume=800, vwap=23.9, timestamp=1692054000000, transactions=3, otc=None)
Agg(open=24.05, high=24.05, low=24.05, close=24.05, volume=121, vwap=24.05, timestamp=1692090000000, transactions=2, otc=None)
Agg(open=24.05, high=24.05, low=24.05, close=24.05, volume=200, vwap=24.05, timestamp=1692093600000, transactions=1, otc=None)
Agg(open=24.05, high=24.1799, low=23.89, close=23.89, volume=10668, vwap=24.0454, timestamp=1692100800000, transactions=41, otc=None)
Agg(open=23.8, high=24.08, low=23.44, close=24.0399, volume=81767, vwap=23.8924, timestamp=1692104400000, transactions=958, otc=None)
Agg(open=24.04, high=24.39, low=23.97, close=24.2798, volume=220274, vwap=24.1708, timestamp=1692108000000, transactions=2061, otc=None)
Agg(open=24.2713, high=24.5, low=24.16, close=24.19, volume=87198, vwap=24.3046, timestamp=1692111600000, transactions=1135, otc=None)
Agg(open=24.17, high=24.22, low=24.06, close=24.1, volume=66223, vwap=24.1286, timestamp=1692115200000, transactions=1042, otc=None)
Agg(open=24.1, high=24.1, low=22.82, close=23.2399, volume=805969, vwap=23.5326, timestamp=1692118800000, transactions=6024, otc=None)
Agg(open=23.24, high=23.64, low=23.24, close=23.6, volume=126039, vwap=23.4267, timestamp=1692122400000, transactions=1184, otc=None)
Agg(open=23.6, high=23.7, low=23.37, close=23.63, volume=224829, vwap=23.5544, timestamp=1692126000000, transactions=3362, otc=None)
Agg(open=23.4, high=23.8, low=23.35, close=23.8, volume=2350, vwap=23.3841, timestamp=1692129600000, transactions=17, otc=None)
Agg(open=23.63, high=23.63, low=23.63, close=23.63, volume=100, vwap=23.63, timestamp=1692133200000, transactions=1, otc=None)
Agg(open=23.44, high=23.7, low=23.44, close=23.7, volume=400, vwap=23.57, timestamp=1692136800000, transactions=2, otc=None)
Agg(open=23.46, high=23.7, low=23.44, close=23.69, volume=1265, vwap=23.5612, timestamp=1692140400000, transactions=11, otc=None)
Agg(open=23.5, high=23.5, low=23, close=23, volume=700, vwap=23.19, timestamp=1692172800000, transactions=4, otc=None)
Agg(open=23.24, high=23.4, low=23.24, close=23.4, volume=994, vwap=23.3174, timestamp=1692187200000, transactions=7, otc=None)
Agg(open=23.47, high=23.63, low=23.05, close=23.28, volume=93971, vwap=23.3197, timestamp=1692190800000, transactions=905, otc=None)
Agg(open=23.28, high=23.42, low=23.195, close=23.24, volume=102114, vwap=23.2811, timestamp=1692194400000, transactions=1265, otc=None)
Agg(open=23.22, high=23.245, low=23.01, close=23.089, volume=59479, vwap=23.1149, timestamp=1692198000000, transactions=825, otc=None)
Agg(open=23.09, high=23.21, low=23.05, close=23.15, volume=42560, vwap=23.1076, timestamp=1692201600000, transactions=653, otc=None)
Agg(open=23.15, high=23.33, low=23.15, close=23.33, volume=46724, vwap=23.2445, timestamp=1692205200000, transactions=637, otc=None)
Agg(open=23.31, high=23.34, low=23.2, close=23.243, volume=30112, vwap=23.2875, timestamp=1692208800000, transactions=599, otc=None)
Agg(open=23.25, high=23.2699, low=23.09, close=23.14, volume=126316, vwap=23.1712, timestamp=1692212400000, transactions=2235, otc=None)
Agg(open=23.139, high=23.3, low=23.02, close=23.3, volume=7562, vwap=23.1302, timestamp=1692216000000, transactions=8, otc=None)
Agg(open=23.1, high=23.1, low=23.1, close=23.1, volume=100, vwap=23.1, timestamp=1692219600000, transactions=1, otc=None)
Agg(open=23.1, high=23.1, low=23, close=23, volume=4154, vwap=23.024, timestamp=1692226800000, transactions=19, otc=None)
Agg(open=23.19, high=23.35, low=22.845, close=22.845, volume=30301, vwap=23.1021, timestamp=1692277200000, transactions=309, otc=None)
Agg(open=22.8275, high=23.13, low=22.8275, close=23.07, volume=57912, vwap=22.9556, timestamp=1692280800000, transactions=767, otc=None)
Agg(open=23.045, high=23.25, low=22.92, close=23.24, volume=59901, vwap=23.1096, timestamp=1692284400000, transactions=852, otc=None)
Agg(open=23.22, high=23.24, low=23.12, close=23.14, volume=41738, vwap=23.1801, timestamp=1692288000000, transactions=430, otc=None)
Agg(open=23.14, high=23.275, low=23.13, close=23.155, volume=45396, vwap=23.1701, timestamp=1692291600000, transactions=520, otc=None)
Agg(open=23.1401, high=23.1743, low=23.09, close=23.09, volume=40766, vwap=23.1293, timestamp=1692295200000, transactions=593, otc=None)
Agg(open=23.09, high=23.16, low=23, close=23.06, volume=148187, vwap=23.0725, timestamp=1692298800000, transactions=1882, otc=None)
Agg(open=23.09, high=23.1, low=23.09, close=23.1, volume=868, vwap=23.096, timestamp=1692302400000, transactions=8, otc=None)
Agg(open=22.95, high=22.95, low=22.95, close=22.95, volume=100, vwap=22.95, timestamp=1692306000000, transactions=1, otc=None)
Agg(open=23.29, high=23.29, low=23.2, close=23.23, volume=1040, vwap=23.2399, timestamp=1692313200000, transactions=8, otc=None)
Agg(open=22.58, high=22.62, low=22.25, close=22.25, volume=1334, vwap=22.441, timestamp=1692352800000, transactions=16, otc=None)
