Agg(open=17.11, high=17.18, low=17, close=17.14, volume=58536, vwap=17.0785, timestamp=1685451600000, transactions=640, otc=None)
Agg(open=17.14, high=17.22, low=17.01, close=17.03, volume=259365, vwap=17.094, timestamp=1685455200000, transactions=1821, otc=None)
Agg(open=17.02, high=17.08, low=17, close=17.05, volume=106309, vwap=17.0313, timestamp=1685458800000, transactions=1344, otc=None)
Agg(open=17.06, high=17.18, low=17.06, close=17.125, volume=219166, vwap=17.1116, timestamp=1685462400000, transactions=1834, otc=None)
Agg(open=17.13, high=17.15, low=17.025, close=17.05, volume=87077, vwap=17.0814, timestamp=1685466000000, transactions=1164, otc=None)
Agg(open=17.055, high=17.2, low=17.05, close=17.12, volume=119696, vwap=17.1343, timestamp=1685469600000, transactions=1438, otc=None)
Agg(open=17.12, high=17.145, low=17.06, close=17.07, volume=294153, vwap=17.1031, timestamp=1685473200000, transactions=2907, otc=None)
Agg(open=17.07, high=17.07, low=17.07, close=17.07, volume=14885, vwap=17.0701, timestamp=1685476800000, transactions=10, otc=None)
Agg(open=17.07, high=17.33, low=17.07, close=17.18, volume=106563, vwap=17.2093, timestamp=1685538000000, transactions=1289, otc=None)
Agg(open=17.17, high=17.17, low=17.02, close=17.065, volume=236030, vwap=17.0975, timestamp=1685541600000, transactions=2309, otc=None)
Agg(open=17.07, high=17.17, low=17.045, close=17.065, volume=190111, vwap=17.1029, timestamp=1685545200000, transactions=1921, otc=None)
Agg(open=17.07, high=17.165, low=17.04, close=17.14, volume=161118, vwap=17.0754, timestamp=1685548800000, transactions=1581, otc=None)
Agg(open=17.135, high=17.185, low=17.09, close=17.17, volume=99860, vwap=17.1392, timestamp=1685552400000, transactions=1334, otc=None)
Agg(open=17.18, high=17.21, low=17.12, close=17.155, volume=101077, vwap=17.1744, timestamp=1685556000000, transactions=1414, otc=None)
Agg(open=17.15, high=17.29, low=17.12, close=17.27, volume=772604, vwap=17.2183, timestamp=1685559600000, transactions=6138, otc=None)
Agg(open=17.27, high=17.27, low=17.27, close=17.27, volume=32512, vwap=17.27, timestamp=1685563200000, transactions=14, otc=None)
Agg(open=17.27, high=17.27, low=17.11, close=17.23, volume=137953, vwap=17.2067, timestamp=1685624400000, transactions=1396, otc=None)
Agg(open=17.21, high=17.45, low=17.21, close=17.43, volume=172208, vwap=17.3758, timestamp=1685628000000, transactions=1954, otc=None)
Agg(open=17.43, high=17.52, low=17.325, close=17.415, volume=327412, vwap=17.4486, timestamp=1685631600000, transactions=2313, otc=None)
Agg(open=17.42, high=17.42, low=17.31, close=17.345, volume=115435, vwap=17.357, timestamp=1685635200000, transactions=1424, otc=None)
Agg(open=17.35, high=17.46, low=17.31, close=17.46, volume=146745, vwap=17.3816, timestamp=1685638800000, transactions=1765, otc=None)
Agg(open=17.46, high=17.5053, low=17.395, close=17.47, volume=142765, vwap=17.4503, timestamp=1685642400000, transactions=2020, otc=None)
Agg(open=17.475, high=17.545, low=17.39, close=17.51, volume=659908, vwap=17.4877, timestamp=1685646000000, transactions=5731, otc=None)
Agg(open=17.5, high=17.5, low=17.5, close=17.5, volume=25132, vwap=17.5, timestamp=1685649600000, transactions=18, otc=None)
Agg(open=17.79, high=17.88, low=17.72, close=17.85, volume=89956, vwap=17.8247, timestamp=1685710800000, transactions=1115, otc=None)
Agg(open=17.84, high=18.04, low=17.83, close=18.035, volume=148990, vwap=17.9514, timestamp=1685714400000, transactions=1965, otc=None)
Agg(open=18.035, high=18.165, low=18.02, close=18.13, volume=128112, vwap=18.094, timestamp=1685718000000, transactions=1570, otc=None)
Agg(open=18.15, high=18.22, low=18.12, close=18.13, volume=294945, vwap=18.1703, timestamp=1685721600000, transactions=1371, otc=None)
Agg(open=18.135, high=18.15, low=18.06, close=18.135, volume=214566, vwap=18.1192, timestamp=1685725200000, transactions=1772, otc=None)
Agg(open=18.135, high=18.14, low=18.02, close=18.055, volume=215163, vwap=18.0605, timestamp=1685728800000, transactions=1911, otc=None)
Agg(open=18.055, high=18.09, low=17.93, close=17.96, volume=730957, vwap=17.9975, timestamp=1685732400000, transactions=5936, otc=None)
Agg(open=17.97, high=17.97, low=17.97, close=17.97, volume=107579, vwap=17.9698, timestamp=1685736000000, transactions=13, otc=None)
