Agg(open=6.0381, high=6.0476, low=6.019, close=6.0476, volume=1830828.3000000003, vwap=6.0323, timestamp=1673553600000, transactions=3421, otc=None)
Agg(open=6.0476, high=6.0476, low=6.0476, close=6.0476, volume=30059.4, vwap=6.0476, timestamp=1673557200000, transactions=16, otc=None)
Agg(open=6.2381, high=6.2381, low=6.2381, close=6.2381, volume=315, vwap=6.2381, timestamp=1673604000000, transactions=2, otc=None)
Agg(open=6.0381, high=6.0381, low=5.9524, close=5.9524, volume=367.5, vwap=5.9891, timestamp=1673611200000, transactions=3, otc=None)
Agg(open=6.0967, high=6.0967, low=5.9905, close=6.0476, volume=6854.4, vwap=6.0245, timestamp=1673614800000, transactions=27, otc=None)
Agg(open=6.0571, high=6.0857, low=6.0286, close=6.0429, volume=564372.9, vwap=6.053, timestamp=1673618400000, transactions=1393, otc=None)
Agg(open=6.0381, high=6.1048, low=6.019, close=6.1, volume=1545146.3999999997, vwap=6.0688, timestamp=1673622000000, transactions=4009, otc=None)
Agg(open=6.1048, high=6.1048, low=6.0619, close=6.0667, volume=751604.7000000002, vwap=6.0767, timestamp=1673625600000, transactions=1585, otc=None)
Agg(open=6.0714, high=6.0952, low=6.0667, close=6.0762, volume=497996.10000000003, vwap=6.0789, timestamp=1673629200000, transactions=1227, otc=None)
Agg(open=6.0762, high=6.0952, low=6.0667, close=6.0762, volume=686968.8, vwap=6.0799, timestamp=1673632800000, transactions=1146, otc=None)
Agg(open=6.0857, high=6.0857, low=6.0429, close=6.0571, volume=2298650.550000001, vwap=6.0552, timestamp=1673636400000, transactions=2056, otc=None)
Agg(open=6.0643, high=6.0857, low=6.0476, close=6.0857, volume=1581668.55, vwap=6.0734, timestamp=1673640000000, transactions=2923, otc=None)
Agg(open=6.0857, high=6.0952, low=6.0857, close=6.0857, volume=22094.1, vwap=6.0861, timestamp=1673643600000, transactions=14, otc=None)
Agg(open=6.0381, high=6.0857, low=6.0381, close=6.0857, volume=813.75, vwap=6.075, timestamp=1673647200000, transactions=2, otc=None)
