Agg(open=5.1714, high=5.2381, low=5.1714, close=5.2381, volume=981.75, vwap=5.2283, timestamp=1677499200000, transactions=7, otc=None)
Agg(open=5.219, high=5.219, low=5.1429, close=5.2, volume=14144.550000000001, vwap=5.1737, timestamp=1677502800000, transactions=58, otc=None)
Agg(open=5.181, high=5.2238, low=5.1619, close=5.2238, volume=535742.5499999999, vwap=5.2065, timestamp=1677506400000, transactions=1070, otc=None)
Agg(open=5.219, high=5.2476, low=5.1714, close=5.1905, volume=1996324.0500000005, vwap=5.2045, timestamp=1677510000000, transactions=2960, otc=None)
Agg(open=5.1905, high=5.2286, low=5.1859, close=5.217, volume=878480.3999999997, vwap=5.2082, timestamp=1677513600000, transactions=1643, otc=None)
Agg(open=5.2143, high=5.2286, low=5.2, close=5.2238, volume=568812.3, vwap=5.2181, timestamp=1677517200000, transactions=1422, otc=None)
Agg(open=5.2238, high=5.2438, low=5.2095, close=5.2286, volume=821475.9000000001, vwap=5.2269, timestamp=1677520800000, transactions=1559, otc=None)
Agg(open=5.2286, high=5.2333, low=5.1905, close=5.2048, volume=1072727.25, vwap=5.203, timestamp=1677524400000, transactions=1907, otc=None)
Agg(open=5.2001, high=5.219, low=5.181, close=5.1905, volume=1096805.8499999996, vwap=5.1966, timestamp=1677528000000, transactions=2162, otc=None)
Agg(open=5.181, high=5.181, low=5.181, close=5.181, volume=20985.300000000003, vwap=5.181, timestamp=1677531600000, transactions=8, otc=None)
Agg(open=5.1905, high=5.2764, low=5.181, close=5.2667, volume=5756.1, vwap=5.2387, timestamp=1677589200000, transactions=31, otc=None)
Agg(open=5.2476, high=5.2571, low=5.1857, close=5.2143, volume=885547.9500000002, vwap=5.2184, timestamp=1677592800000, transactions=1329, otc=None)
Agg(open=5.2143, high=5.2476, low=5.1905, close=5.2143, volume=962824.7999999997, vwap=5.2238, timestamp=1677596400000, transactions=1927, otc=None)
Agg(open=5.2143, high=5.2476, low=5.1905, close=5.2, volume=1104749.0999999999, vwap=5.217, timestamp=1677600000000, transactions=2325, otc=None)
Agg(open=5.2048, high=5.2667, low=5.2048, close=5.2619, volume=1198842.7500000002, vwap=5.2352, timestamp=1677603600000, transactions=1807, otc=None)
Agg(open=5.2571, high=5.2667, low=5.2286, close=5.2333, volume=625216.2000000002, vwap=5.2461, timestamp=1677607200000, transactions=1548, otc=None)
Agg(open=5.2333, high=5.2667, low=5.2286, close=5.2571, volume=953731.8000000002, vwap=5.2522, timestamp=1677610800000, transactions=2161, otc=None)
Agg(open=5.2524, high=5.2571, low=5.2095, close=5.2095, volume=2836917.3000000007, vwap=5.2377, timestamp=1677614400000, transactions=4618, otc=None)
Agg(open=5.2381, high=5.3143, low=5.2381, close=5.3143, volume=1262.1, vwap=5.2445, timestamp=1677618000000, transactions=5, otc=None)
Agg(open=5.2095, high=5.2095, low=5.1429, close=5.1429, volume=1275.75, vwap=5.1498, timestamp=1677628800000, transactions=6, otc=None)
Agg(open=5.3048, high=5.3143, low=5.3048, close=5.3143, volume=1050, vwap=5.3081, timestamp=1677664800000, transactions=4, otc=None)
Agg(open=5.3238, high=5.4095, low=5.3236, close=5.3429, volume=5421.150000000001, vwap=5.3404, timestamp=1677675600000, transactions=26, otc=None)
Agg(open=5.3429, high=5.4095, low=5.3048, close=5.3667, volume=2018747.8500000006, vwap=5.3473, timestamp=1677679200000, transactions=3021, otc=None)
Agg(open=5.3667, high=5.3667, low=5.2857, close=5.3529, volume=2340297.75, vwap=5.3287, timestamp=1677682800000, transactions=3075, otc=None)
Agg(open=5.3524, high=5.3619, low=5.2952, close=5.319, volume=1528330.65, vwap=5.3281, timestamp=1677686400000, transactions=2793, otc=None)
Agg(open=5.323, high=5.381, low=5.3048, close=5.381, volume=1657291.6499999997, vwap=5.3505, timestamp=1677690000000, transactions=2373, otc=None)
Agg(open=5.381, high=5.4952, low=5.3743, close=5.4143, volume=3759071.399999999, vwap=5.4467, timestamp=1677693600000, transactions=5265, otc=None)
Agg(open=5.4143, high=5.4667, low=5.3857, close=5.4524, volume=2055928.3500000006, vwap=5.427, timestamp=1677697200000, transactions=3798, otc=None)
Agg(open=5.4524, high=5.4571, low=5.4024, close=5.419, volume=2349327.75, vwap=5.4238, timestamp=1677700800000, transactions=4822, otc=None)
Agg(open=5.419, high=5.4667, low=5.419, close=5.4667, volume=63589.05, vwap=5.4194, timestamp=1677704400000, transactions=15, otc=None)
Agg(open=5.4286, high=5.4286, low=5.419, close=5.419, volume=401.1, vwap=5.4282, timestamp=1677758400000, transactions=4, otc=None)
Agg(open=5.3527, high=5.4762, low=5.3524, close=5.4571, volume=19759.949999999997, vwap=5.4528, timestamp=1677762000000, transactions=31, otc=None)
Agg(open=5.4571, high=5.4571, low=5.3238, close=5.4, volume=941104.5000000001, vwap=5.3703, timestamp=1677765600000, transactions=1494, otc=None)
Agg(open=5.3905, high=5.4429, low=5.3857, close=5.4175, volume=1839923.3999999994, vwap=5.4129, timestamp=1677769200000, transactions=1710, otc=None)
Agg(open=5.4143, high=5.419, low=5.3619, close=5.3762, volume=758402.4000000003, vwap=5.3917, timestamp=1677772800000, transactions=1080, otc=None)
Agg(open=5.3762, high=5.3905, low=5.3619, close=5.3905, volume=602034.3, vwap=5.3773, timestamp=1677776400000, transactions=1030, otc=None)
Agg(open=5.3857, high=5.419, low=5.3714, close=5.4048, volume=1148397.6, vwap=5.3896, timestamp=1677780000000, transactions=1629, otc=None)
Agg(open=5.4048, high=5.419, low=5.3524, close=5.3905, volume=889880.2499999999, vwap=5.381, timestamp=1677783600000, transactions=1639, otc=None)
Agg(open=5.3762, high=5.4381, low=5.3714, close=5.3905, volume=3142432.65, vwap=5.4005, timestamp=1677787200000, transactions=5199, otc=None)
Agg(open=5.4, high=5.4, low=5.4, close=5.4, volume=19386.15, vwap=5.4, timestamp=1677790800000, transactions=9, otc=None)
Agg(open=5.4286, high=5.4286, low=5.4286, close=5.4286, volume=210, vwap=5.4286, timestamp=1677798000000, transactions=1, otc=None)
Agg(open=5.4286, high=5.4286, low=5.4286, close=5.4286, volume=131.25, vwap=5.4286, timestamp=1677837600000, transactions=2, otc=None)
Agg(open=5.4286, high=5.4857, low=5.4286, close=5.4857, volume=16791.600000000002, vwap=5.4588, timestamp=1677848400000, transactions=36, otc=None)
Agg(open=5.4857, high=5.5429, low=5.4571, close=5.4667, volume=675539.5500000002, vwap=5.4775, timestamp=1677852000000, transactions=1288, otc=None)
Agg(open=5.4761, high=5.4761, low=5.4024, close=5.4238, volume=1201446.7500000005, vwap=5.4275, timestamp=1677855600000, transactions=2566, otc=None)
Agg(open=5.4238, high=5.4286, low=5.3905, close=5.3952, volume=610959.3, vwap=5.4036, timestamp=1677859200000, transactions=1497, otc=None)
