Agg(open=21.705, high=22.09, low=20.98, close=21, volume=19778, vwap=21.4977, timestamp=1678694400000, transactions=182, otc=None)
Agg(open=21.17, high=21.17, low=20.7, close=20.94, volume=12382, vwap=20.9225, timestamp=1678698000000, transactions=138, otc=None)
Agg(open=20.84, high=20.85, low=20.55, close=20.85, volume=5905, vwap=20.7089, timestamp=1678701600000, transactions=51, otc=None)
Agg(open=20.85, high=21.46, low=20.74, close=20.85, volume=28824, vwap=21.0733, timestamp=1678705200000, transactions=389, otc=None)
Agg(open=21.0397, high=21.38, low=20.2, close=20.41, volume=103236, vwap=20.6838, timestamp=1678708800000, transactions=638, otc=None)
Agg(open=20.5, high=21.1, low=19.38, close=20.26, volume=3273246.0, vwap=20.0049, timestamp=1678712400000, transactions=24590, otc=None)
Agg(open=20.23, high=20.93, low=20.19, close=20.88, volume=2637691.0, vwap=20.5226, timestamp=1678716000000, transactions=21995, otc=None)
Agg(open=20.88, high=21.67, low=20.85, close=21.655, volume=3005583.0, vwap=21.2789, timestamp=1678719600000, transactions=22064, otc=None)
Agg(open=21.66, high=22.16, low=21.125, close=21.16, volume=2305614.0, vwap=21.6995, timestamp=1678723200000, transactions=20231, otc=None)
Agg(open=21.15, high=21.2, low=20.795, close=21.155, volume=1411490.0, vwap=21.0537, timestamp=1678726800000, transactions=11396, otc=None)
Agg(open=21.16, high=21.2966, low=21, close=21.23, volume=1509885.0, vwap=21.1593, timestamp=1678730400000, transactions=12557, otc=None)
Agg(open=21.225, high=21.3, low=20.875, close=21.255, volume=2317908.0, vwap=21.1125, timestamp=1678734000000, transactions=21886, otc=None)
Agg(open=21.26, high=21.29, low=21.26, close=21.26, volume=25793, vwap=21.2623, timestamp=1678737600000, transactions=40, otc=None)
Agg(open=21.25, high=21.27, low=21.0903, close=21.27, volume=3555, vwap=21.1739, timestamp=1678741200000, transactions=7, otc=None)
Agg(open=21.25, high=21.3, low=21.22, close=21.22, volume=9072, vwap=21.2652, timestamp=1678744800000, transactions=17, otc=None)
Agg(open=21.43, high=21.78, low=21.43, close=21.5, volume=4032, vwap=21.5363, timestamp=1678748400000, transactions=26, otc=None)
Agg(open=21.12, high=21.12, low=21.12, close=21.12, volume=150, vwap=21.1206, timestamp=1678780800000, transactions=3, otc=None)
Agg(open=21.6, high=21.6, low=21.26, close=21.26, volume=888, vwap=21.301, timestamp=1678784400000, transactions=16, otc=None)
Agg(open=21.4, high=21.56, low=21.4, close=21.53, volume=3692, vwap=21.5152, timestamp=1678791600000, transactions=45, otc=None)
Agg(open=21.53, high=22.25, low=21.3, close=22.19, volume=74059, vwap=21.8735, timestamp=1678795200000, transactions=442, otc=None)
Agg(open=22.19, high=22.7, low=21.76, close=21.7699, volume=1467435.0, vwap=22.238, timestamp=1678798800000, transactions=10378, otc=None)
Agg(open=21.76, high=21.89, low=21.08, close=21.1641, volume=1529965.0, vwap=21.5767, timestamp=1678802400000, transactions=11953, otc=None)
Agg(open=21.2, high=21.35, low=20.76, close=20.8209, volume=1681448.0, vwap=21.051, timestamp=1678806000000, transactions=13602, otc=None)
Agg(open=20.825, high=20.92, low=20.515, close=20.6692, volume=1859343.0, vwap=20.69, timestamp=1678809600000, transactions=14542, otc=None)
Agg(open=20.68, high=20.705, low=20.21, close=20.43, volume=1671253.0, vwap=20.4347, timestamp=1678813200000, transactions=13959, otc=None)
Agg(open=20.43, high=20.46, low=20.18, close=20.2899, volume=1287909.0, vwap=20.3539, timestamp=1678816800000, transactions=9954, otc=None)
Agg(open=20.285, high=20.39, low=20.05, close=20.36, volume=2399878.0, vwap=20.2435, timestamp=1678820400000, transactions=21816, otc=None)
Agg(open=20.35, high=20.37, low=20.3, close=20.3387, volume=134220, vwap=20.3475, timestamp=1678824000000, transactions=115, otc=None)
Agg(open=20.3, high=20.35, low=20.3, close=20.34, volume=3928, vwap=20.3407, timestamp=1678827600000, transactions=13, otc=None)
Agg(open=20.34, high=20.35, low=20.33, close=20.35, volume=7574, vwap=20.341, timestamp=1678831200000, transactions=36, otc=None)
Agg(open=20.35, high=20.37, low=20.35, close=20.37, volume=4148, vwap=20.3644, timestamp=1678834800000, transactions=9, otc=None)
Agg(open=20.35, high=20.35, low=20.19, close=20.19, volume=1125, vwap=20.2817, timestamp=1678870800000, transactions=24, otc=None)
Agg(open=20.19, high=20.25, low=19.7, close=19.7, volume=3055, vwap=20.0125, timestamp=1678874400000, transactions=62, otc=None)
Agg(open=19.8, high=20.07, low=19.68, close=19.69, volume=15040, vwap=19.829, timestamp=1678878000000, transactions=151, otc=None)
Agg(open=19.94, high=20.1983, low=19.65, close=19.7, volume=64341, vwap=19.7791, timestamp=1678881600000, transactions=386, otc=None)
Agg(open=19.8, high=19.9, low=18.81, close=19.22, volume=2070740.0, vwap=19.2825, timestamp=1678885200000, transactions=15347, otc=None)
Agg(open=19.26, high=19.56, low=18.99, close=19.17, volume=2059571.0, vwap=19.1809, timestamp=1678888800000, transactions=17687, otc=None)
Agg(open=19.16, high=19.18, low=18.5, close=18.52, volume=2538758.0, vwap=18.7567, timestamp=1678892400000, transactions=20421, otc=None)
Agg(open=18.53, high=18.635, low=18.2, close=18.25, volume=2074036.0, vwap=18.4263, timestamp=1678896000000, transactions=14691, otc=None)
Agg(open=18.24, high=18.52, low=18.08, close=18.51, volume=1698603.0, vwap=18.2631, timestamp=1678899600000, transactions=14107, otc=None)
Agg(open=18.51, high=19.35, low=18.41, close=19.185, volume=2451297.0, vwap=18.9522, timestamp=1678903200000, transactions=19694, otc=None)
Agg(open=19.19, high=19.69, low=19.06, close=19.68, volume=2906633.0, vwap=19.3759, timestamp=1678906800000, transactions=24366, otc=None)
Agg(open=19.67, high=19.75, low=19.56, close=19.75, volume=21682, vwap=19.657, timestamp=1678910400000, transactions=54, otc=None)
Agg(open=19.7, high=19.7, low=19.6, close=19.67, volume=2362, vwap=19.6441, timestamp=1678914000000, transactions=15, otc=None)
Agg(open=19.6, high=19.74, low=19.56, close=19.6, volume=6488, vwap=19.6825, timestamp=1678917600000, transactions=38, otc=None)
Agg(open=19.67, high=19.72, low=19.6, close=19.6, volume=2730, vwap=19.6559, timestamp=1678921200000, transactions=24, otc=None)
Agg(open=19.73, high=19.73, low=19.73, close=19.73, volume=313, vwap=19.7304, timestamp=1678957200000, transactions=14, otc=None)
Agg(open=19.61, high=19.61, low=19.57, close=19.57, volume=731, vwap=19.5938, timestamp=1678960800000, transactions=15, otc=None)
Agg(open=19.55, high=19.64, low=19.46, close=19.64, volume=13278, vwap=19.5354, timestamp=1678964400000, transactions=48, otc=None)
Agg(open=19.5, high=19.7325, low=19.45, close=19.5171, volume=44090, vwap=19.5642, timestamp=1678968000000, transactions=176, otc=None)
Agg(open=19.62, high=19.9, low=18.81, close=19.115, volume=1106152.0, vwap=19.2538, timestamp=1678971600000, transactions=8107, otc=None)
Agg(open=19.1088, high=19.19, low=18.29, close=18.97, volume=2664172.0, vwap=18.6144, timestamp=1678975200000, transactions=17649, otc=None)
Agg(open=18.97, high=19.0075, low=18.745, close=18.76, volume=1387011.0, vwap=18.8838, timestamp=1678978800000, transactions=11927, otc=None)
Agg(open=18.765, high=19.04, low=18.55, close=19.03, volume=1426075.0, vwap=18.7289, timestamp=1678982400000, transactions=11651, otc=None)
Agg(open=19.04, high=19.26, low=18.875, close=18.975, volume=1049212.0, vwap=19.0897, timestamp=1678986000000, transactions=9751, otc=None)
Agg(open=18.97, high=19.06, low=18.82, close=19.025, volume=798794, vwap=18.9728, timestamp=1678989600000, transactions=7541, otc=None)
Agg(open=19.025, high=19.11, low=18.865, close=19.02, volume=1926324.0, vwap=18.9658, timestamp=1678993200000, transactions=15752, otc=None)
Agg(open=19.01, high=19.07, low=18.91, close=19.01, volume=16808, vwap=19.0023, timestamp=1678996800000, transactions=60, otc=None)
Agg(open=19.05, high=19.05, low=18.98, close=19.02, volume=11952, vwap=18.995, timestamp=1679000400000, transactions=23, otc=None)
Agg(open=19.02, high=19.05, low=18.63, close=19.04, volume=10684, vwap=18.8771, timestamp=1679004000000, transactions=73, otc=None)
Agg(open=19, high=19.06, low=19, close=19, volume=3816, vwap=19.0294, timestamp=1679007600000, transactions=18, otc=None)
Agg(open=19.29, high=19.29, low=19.06, close=19.06, volume=799, vwap=19.1389, timestamp=1679043600000, transactions=9, otc=None)
Agg(open=19.06, high=19.06, low=19.06, close=19.06, volume=200, vwap=19.06, timestamp=1679047200000, transactions=3, otc=None)
Agg(open=19.24, high=19.24, low=18.91, close=19.01, volume=14796, vwap=18.9982, timestamp=1679050800000, transactions=127, otc=None)
Agg(open=19.2784, high=19.3985, low=18.75, close=18.86, volume=43133, vwap=18.8849, timestamp=1679054400000, transactions=248, otc=None)
Agg(open=18.81, high=18.85, low=17.8, close=18.09, volume=2691113.0, vwap=18.1185, timestamp=1679058000000, transactions=16868, otc=None)
Agg(open=18.085, high=18.36, low=17.035, close=17.095, volume=5446636.0, vwap=17.5044, timestamp=1679061600000, transactions=40825, otc=None)
Agg(open=17.1, high=17.195, low=16.69, close=17.0272, volume=3660204.0, vwap=16.9452, timestamp=1679065200000, transactions=25162, otc=None)
Agg(open=17.0281, high=17.17, low=16.76, close=16.785, volume=2241873.0, vwap=16.9595, timestamp=1679068800000, transactions=15736, otc=None)
Agg(open=16.79, high=17.22, low=16.755, close=17.2099, volume=1883467.0, vwap=16.8892, timestamp=1679072400000, transactions=13478, otc=None)
Agg(open=17.21, high=17.55, low=17.06, close=17.385, volume=2207198.0, vwap=17.3052, timestamp=1679076000000, transactions=13661, otc=None)
Agg(open=17.38, high=17.44, low=17.16, close=17.295, volume=3297018.0, vwap=17.2853, timestamp=1679079600000, transactions=25315, otc=None)
Agg(open=17.32, high=17.415, low=17.29, close=17.36, volume=55081, vwap=17.3289, timestamp=1679083200000, transactions=82, otc=None)
Agg(open=17.32, high=17.32, low=17.21, close=17.31, volume=15008, vwap=17.2958, timestamp=1679086800000, transactions=77, otc=None)
Agg(open=17.3, high=17.3, low=17.03, close=17.15, volume=7212, vwap=17.1591, timestamp=1679090400000, transactions=34, otc=None)
Agg(open=17.17, high=17.29, low=17.17, close=17.29, volume=11181, vwap=17.2165, timestamp=1679094000000, transactions=43, otc=None)
