Agg(open=4, high=4, low=3.93, close=3.93, volume=12064, vwap=3.9489, timestamp=1682938800000, transactions=16, otc=None)
Agg(open=3.95, high=4.01, low=3.93, close=4.01, volume=20789, vwap=3.9746, timestamp=1682942400000, transactions=48, otc=None)
Agg(open=4.0199, high=4.025, low=3.98, close=3.99, volume=733129, vwap=4.007, timestamp=1682946000000, transactions=1147, otc=None)
Agg(open=3.98, high=3.99, low=3.95, close=3.96, volume=1352838.0, vwap=3.9686, timestamp=1682949600000, transactions=1986, otc=None)
Agg(open=3.9589, high=3.96, low=3.94, close=3.945, volume=726150, vwap=3.9497, timestamp=1682953200000, transactions=1226, otc=None)
Agg(open=3.945, high=3.965, low=3.935, close=3.955, volume=506776, vwap=3.9512, timestamp=1682956800000, transactions=764, otc=None)
Agg(open=3.955, high=3.985, low=3.95, close=3.975, volume=1029743.0, vwap=3.9688, timestamp=1682960400000, transactions=1103, otc=None)
Agg(open=3.975, high=3.985, low=3.96, close=3.97, volume=635734, vwap=3.9755, timestamp=1682964000000, transactions=1197, otc=None)
Agg(open=3.97, high=3.97, low=3.93, close=3.93, volume=1436521.0, vwap=3.9474, timestamp=1682967600000, transactions=2893, otc=None)
Agg(open=3.94, high=3.94, low=3.92, close=3.9201, volume=6299, vwap=3.9254, timestamp=1682971200000, transactions=16, otc=None)
Agg(open=3.96, high=3.96, low=3.92, close=3.92, volume=3200, vwap=3.9576, timestamp=1682974800000, transactions=3, otc=None)
Agg(open=3.95, high=3.95, low=3.95, close=3.95, volume=254, vwap=3.95, timestamp=1682978400000, transactions=1, otc=None)
Agg(open=3.92, high=3.94, low=3.92, close=3.92, volume=842, vwap=3.934, timestamp=1683028800000, transactions=12, otc=None)
Agg(open=3.93, high=3.93, low=3.89, close=3.895, volume=558191, vwap=3.9082, timestamp=1683032400000, transactions=814, otc=None)
Agg(open=3.895, high=3.97, low=3.895, close=3.96, volume=1630899.0, vwap=3.9431, timestamp=1683036000000, transactions=2850, otc=None)
Agg(open=3.96, high=4.035, low=3.95, close=4.03, volume=1709116.0, vwap=3.9901, timestamp=1683039600000, transactions=2512, otc=None)
Agg(open=4.035, high=4.05, low=4.005, close=4.015, volume=1166725.0, vwap=4.0235, timestamp=1683043200000, transactions=1698, otc=None)
