Agg(open=8.98, high=9, low=8.98, close=9, volume=1100, vwap=8.9909, timestamp=1672747200000, transactions=3, otc=None)
Agg(open=8.85, high=8.85, low=8.85, close=8.85, volume=100, vwap=8.85, timestamp=1672750800000, transactions=1, otc=None)
Agg(open=9.02, high=9.195, low=8.9142, close=8.9399, volume=247621, vwap=9.0788, timestamp=1672754400000, transactions=1546, otc=None)
Agg(open=8.94, high=9.09, low=8.92, close=9.09, volume=216029, vwap=8.993, timestamp=1672758000000, transactions=1490, otc=None)
Agg(open=9.09, high=9.105, low=8.965, close=8.985, volume=190087, vwap=9.0071, timestamp=1672761600000, transactions=1383, otc=None)
Agg(open=8.99, high=9.04, low=8.93, close=8.965, volume=143056, vwap=8.9834, timestamp=1672765200000, transactions=1141, otc=None)
Agg(open=8.965, high=9.03, low=8.95, close=9, volume=140193, vwap=8.9909, timestamp=1672768800000, transactions=1048, otc=None)
Agg(open=9.005, high=9.01, low=8.9025, close=8.95, volume=152166, vwap=8.947, timestamp=1672772400000, transactions=1312, otc=None)
Agg(open=8.95, high=8.98, low=8.87, close=8.89, volume=563836, vwap=8.9028, timestamp=1672776000000, transactions=3094, otc=None)
Agg(open=8.89, high=8.89, low=8.89, close=8.89, volume=281441, vwap=8.89, timestamp=1672779600000, transactions=14, otc=None)
Agg(open=8.89, high=8.89, low=8.89, close=8.89, volume=1200025.0, vwap=8.89, timestamp=1672786800000, transactions=3, otc=None)
Agg(open=9.16, high=9.17, low=9.02, close=9.12, volume=255881, vwap=9.0514, timestamp=1672840800000, transactions=866, otc=None)
Agg(open=9.1, high=9.275, low=9.03, close=9.23, volume=586615, vwap=9.186, timestamp=1672844400000, transactions=2979, otc=None)
Agg(open=9.23, high=9.38, low=9.19, close=9.33, volume=223568, vwap=9.2756, timestamp=1672848000000, transactions=1375, otc=None)
Agg(open=9.325, high=9.39, low=9.28, close=9.39, volume=161420, vwap=9.3419, timestamp=1672851600000, transactions=1077, otc=None)
Agg(open=9.39, high=9.48, low=9.3662, close=9.4, volume=373815, vwap=9.4421, timestamp=1672855200000, transactions=2509, otc=None)
Agg(open=9.4, high=9.46, low=9.265, close=9.38, volume=350887, vwap=9.3498, timestamp=1672858800000, transactions=1992, otc=None)
Agg(open=9.385, high=9.42, low=9.305, close=9.39, volume=581053, vwap=9.3611, timestamp=1672862400000, transactions=3392, otc=None)
Agg(open=9.4, high=9.4196, low=9.4, close=9.4196, volume=11655, vwap=9.4002, timestamp=1672866000000, transactions=12, otc=None)
Agg(open=9.4, high=9.4, low=9.4, close=9.4, volume=702, vwap=9.4, timestamp=1672869600000, transactions=3, otc=None)
Agg(open=9.4, high=9.4, low=9.4, close=9.4, volume=326, vwap=9.3978, timestamp=1672923600000, transactions=4, otc=None)
Agg(open=9.25, high=9.27, low=9.1, close=9.155, volume=163896, vwap=9.1593, timestamp=1672927200000, transactions=1022, otc=None)
Agg(open=9.155, high=9.37, low=9.145, close=9.265, volume=183552, vwap=9.2881, timestamp=1672930800000, transactions=1296, otc=None)
Agg(open=9.26, high=9.265, low=9.15, close=9.155, volume=212185, vwap=9.2026, timestamp=1672934400000, transactions=1507, otc=None)
Agg(open=9.155, high=9.215, low=9.1301, close=9.15, volume=163221, vwap=9.1583, timestamp=1672938000000, transactions=1289, otc=None)
Agg(open=9.15, high=9.22, low=9.12, close=9.185, volume=102743, vwap=9.1783, timestamp=1672941600000, transactions=863, otc=None)
Agg(open=9.1808, high=9.27, low=9.175, close=9.22, volume=101415, vwap=9.2229, timestamp=1672945200000, transactions=1014, otc=None)
Agg(open=9.22, high=9.22, low=9.16, close=9.185, volume=579976, vwap=9.1866, timestamp=1672948800000, transactions=4401, otc=None)
Agg(open=9.19, high=9.2, low=9.19, close=9.2, volume=37188, vwap=9.1901, timestamp=1672952400000, transactions=19, otc=None)
Agg(open=9.34, high=9.36, low=9.23, close=9.245, volume=143794, vwap=9.2908, timestamp=1673013600000, transactions=1062, otc=None)
Agg(open=9.24, high=9.48, low=9.24, close=9.46, volume=223012, vwap=9.3886, timestamp=1673017200000, transactions=1458, otc=None)
Agg(open=9.46, high=9.48, low=9.38, close=9.475, volume=172030, vwap=9.4357, timestamp=1673020800000, transactions=1222, otc=None)
Agg(open=9.472, high=9.5, low=9.465, close=9.485, volume=183089, vwap=9.4881, timestamp=1673024400000, transactions=1310, otc=None)
Agg(open=9.485, high=9.52, low=9.48, close=9.5, volume=129864, vwap=9.4976, timestamp=1673028000000, transactions=971, otc=None)
Agg(open=9.5, high=9.55, low=9.48, close=9.545, volume=179440, vwap=9.5011, timestamp=1673031600000, transactions=1192, otc=None)
Agg(open=9.545, high=9.58, low=9.52, close=9.53, volume=398520, vwap=9.5467, timestamp=1673035200000, transactions=2714, otc=None)
Agg(open=9.53, high=9.53, low=9.53, close=9.53, volume=26899, vwap=9.53, timestamp=1673038800000, transactions=20, otc=None)
Agg(open=9.6, high=9.6, low=9.6, close=9.6, volume=300, vwap=9.6, timestamp=1673049600000, transactions=1, otc=None)
