Agg(open=9.2401, high=9.31, low=9.2401, close=9.31, volume=305, vwap=9.2871, timestamp=1674774000000, transactions=4, otc=None)
Agg(open=9.31, high=9.31, low=9.31, close=9.31, volume=475, vwap=9.31, timestamp=1674777600000, transactions=4, otc=None)
Agg(open=9.3, high=9.3, low=9.3, close=9.3, volume=100, vwap=9.3, timestamp=1674820800000, transactions=1, otc=None)
Agg(open=9.27, high=9.4, low=9.27, close=9.36, volume=17358, vwap=9.3419, timestamp=1674824400000, transactions=99, otc=None)
Agg(open=9.36, high=9.44, low=9.31, close=9.315, volume=838698, vwap=9.3688, timestamp=1674828000000, transactions=2721, otc=None)
Agg(open=9.3125, high=9.4, low=9.31, close=9.315, volume=1033018.0, vwap=9.3575, timestamp=1674831600000, transactions=3620, otc=None)
Agg(open=9.31, high=9.345, low=9.29, close=9.33, volume=725021, vwap=9.3225, timestamp=1674835200000, transactions=2777, otc=None)
Agg(open=9.32, high=9.36, low=9.32, close=9.33, volume=822840, vwap=9.3411, timestamp=1674838800000, transactions=2430, otc=None)
Agg(open=9.335, high=9.35, low=9.31, close=9.325, volume=510500, vwap=9.3345, timestamp=1674842400000, transactions=1966, otc=None)
Agg(open=9.325, high=9.35, low=9.315, close=9.325, volume=402382, vwap=9.3337, timestamp=1674846000000, transactions=1968, otc=None)
Agg(open=9.3265, high=9.37, low=9.31, close=9.33, volume=1037814.0, vwap=9.3361, timestamp=1674849600000, transactions=4374, otc=None)
Agg(open=9.33, high=9.39, low=9.3102, close=9.39, volume=155367, vwap=9.33, timestamp=1674853200000, transactions=25, otc=None)
Agg(open=9.426, high=9.43, low=9.426, close=9.4299, volume=1300, vwap=9.4284, timestamp=1674856800000, transactions=3, otc=None)
