Agg(open=12.95, high=13, low=12.95, close=13, volume=607, vwap=12.9885, timestamp=1684753200000, transactions=7, otc=None)
Agg(open=12.9401, high=12.9899, low=12.9401, close=12.9899, volume=1490, vwap=12.9759, timestamp=1684756800000, transactions=14, otc=None)
Agg(open=13.13, high=13.13, low=12.969, close=13.04, volume=148002, vwap=13.0091, timestamp=1684760400000, transactions=1473, otc=None)
Agg(open=13.04, high=13.06, low=12.9812, close=12.995, volume=166252, vwap=13.011, timestamp=1684764000000, transactions=2061, otc=None)
Agg(open=12.995, high=13.1694, low=12.99, close=13.125, volume=216020, vwap=13.0783, timestamp=1684767600000, transactions=2093, otc=None)
Agg(open=13.12, high=13.13, low=13.0538, close=13.105, volume=603950, vwap=13.0799, timestamp=1684771200000, transactions=2399, otc=None)
Agg(open=13.11, high=13.175, low=13.085, close=13.165, volume=211363, vwap=13.138, timestamp=1684774800000, transactions=2037, otc=None)
Agg(open=13.16, high=13.25, low=13.13, close=13.23, volume=189314, vwap=13.1792, timestamp=1684778400000, transactions=2205, otc=None)
Agg(open=13.2275, high=13.25, low=13.19, close=13.22, volume=505126, vwap=13.2214, timestamp=1684782000000, transactions=5431, otc=None)
Agg(open=13.22, high=13.22, low=13.22, close=13.22, volume=26459, vwap=13.22, timestamp=1684785600000, transactions=11, otc=None)
Agg(open=13.2489, high=13.2489, low=13.2489, close=13.2489, volume=500, vwap=13.2489, timestamp=1684792800000, transactions=1, otc=None)
Agg(open=13.23, high=13.23, low=13.23, close=13.23, volume=3599, vwap=13.23, timestamp=1684796400000, transactions=8, otc=None)
Agg(open=13.23, high=13.23, low=13.23, close=13.23, volume=150, vwap=13.23, timestamp=1684836000000, transactions=1, otc=None)
Agg(open=13.25, high=13.25, low=13.25, close=13.25, volume=1362, vwap=13.2497, timestamp=1684843200000, transactions=4, otc=None)
Agg(open=13.15, high=13.21, low=13.09, close=13.2, volume=140405, vwap=13.1404, timestamp=1684846800000, transactions=1190, otc=None)
Agg(open=13.21, high=13.29, low=13.165, close=13.245, volume=243933, vwap=13.2223, timestamp=1684850400000, transactions=2260, otc=None)
Agg(open=13.25, high=13.255, low=13.1801, close=13.24, volume=128028, vwap=13.2129, timestamp=1684854000000, transactions=1543, otc=None)
Agg(open=13.25, high=13.295, low=13.155, close=13.18, volume=178998, vwap=13.2163, timestamp=1684857600000, transactions=1823, otc=None)
Agg(open=13.18, high=13.255, low=13.17, close=13.205, volume=145783, vwap=13.208, timestamp=1684861200000, transactions=1553, otc=None)
Agg(open=13.2, high=13.21, low=13.06, close=13.075, volume=181326, vwap=13.117, timestamp=1684864800000, transactions=1844, otc=None)
Agg(open=13.075, high=13.13, low=13.03, close=13.1, volume=399586, vwap=13.0915, timestamp=1684868400000, transactions=3819, otc=None)
Agg(open=13.09, high=13.23, low=13.09, close=13.2, volume=44215, vwap=13.0916, timestamp=1684872000000, transactions=14, otc=None)
Agg(open=13.1, high=13.1, low=13.1, close=13.1, volume=200, vwap=13.1, timestamp=1684882800000, transactions=1, otc=None)
Agg(open=13.09, high=13.15, low=13.09, close=13.14, volume=2241, vwap=13.1419, timestamp=1684926000000, transactions=9, otc=None)
Agg(open=13.05, high=13.15, low=13.05, close=13.15, volume=347, vwap=13.0814, timestamp=1684929600000, transactions=8, otc=None)
Agg(open=13.05, high=13.28, low=13.04, close=13.06, volume=322306, vwap=13.1962, timestamp=1684933200000, transactions=2860, otc=None)
Agg(open=13.055, high=13.21, low=12.98, close=12.985, volume=160268, vwap=13.0407, timestamp=1684936800000, transactions=2228, otc=None)
Agg(open=12.995, high=13.09, low=12.935, close=12.985, volume=211825, vwap=13.0076, timestamp=1684940400000, transactions=2665, otc=None)
Agg(open=12.99, high=13.03, low=12.94, close=13, volume=146652, vwap=12.9863, timestamp=1684944000000, transactions=2030, otc=None)
