Agg(open=22.86, high=23, low=22.86, close=23, volume=300, vwap=22.9533, timestamp=1693224000000, transactions=2, otc=None)
Agg(open=22.8619, high=23.1904, low=22.51, close=22.73, volume=318956, vwap=22.811, timestamp=1693227600000, transactions=3184, otc=None)
Agg(open=22.73, high=23.12, low=22.63, close=23.095, volume=442383, vwap=22.8647, timestamp=1693231200000, transactions=5863, otc=None)
Agg(open=23.095, high=23.32, low=23.01, close=23.3, volume=349912, vwap=23.2009, timestamp=1693234800000, transactions=4877, otc=None)
Agg(open=23.295, high=23.325, low=23.085, close=23.3187, volume=236056, vwap=23.1993, timestamp=1693238400000, transactions=3080, otc=None)
Agg(open=23.3199, high=23.34, low=23.03, close=23.065, volume=280357, vwap=23.1972, timestamp=1693242000000, transactions=3353, otc=None)
Agg(open=23.065, high=23.48, low=23.065, close=23.47, volume=483009, vwap=23.2924, timestamp=1693245600000, transactions=5978, otc=None)
Agg(open=23.465, high=23.475, low=23.2325, close=23.295, volume=847669, vwap=23.3177, timestamp=1693249200000, transactions=10075, otc=None)
Agg(open=23.28, high=23.28, low=23.28, close=23.28, volume=81638, vwap=23.28, timestamp=1693252800000, transactions=20, otc=None)
Agg(open=23.23, high=23.23, low=23.23, close=23.23, volume=400, vwap=23.2424, timestamp=1693263600000, transactions=2, otc=None)
Agg(open=23.23, high=23.23, low=23.23, close=23.23, volume=1000, vwap=23.23, timestamp=1693306800000, transactions=2, otc=None)
Agg(open=23.2, high=23.2, low=23.17, close=23.17, volume=2243, vwap=23.174, timestamp=1693310400000, transactions=3, otc=None)
Agg(open=23.29, high=23.92, low=23.21, close=23.865, volume=452684, vwap=23.6401, timestamp=1693314000000, transactions=4585, otc=None)
Agg(open=23.8699, high=24.93, low=23.8699, close=24.795, volume=1569306.0, vwap=24.5746, timestamp=1693317600000, transactions=16789, otc=None)
Agg(open=24.79, high=24.855, low=24.61, close=24.755, volume=567082, vwap=24.7232, timestamp=1693321200000, transactions=7168, otc=None)
Agg(open=24.74, high=24.905, low=24.71, close=24.885, volume=563514, vwap=24.8284, timestamp=1693324800000, transactions=5678, otc=None)
Agg(open=24.885, high=25.14, low=24.8002, close=24.995, volume=934049, vwap=25, timestamp=1693328400000, transactions=8751, otc=None)
Agg(open=24.995, high=25.03, low=24.715, close=24.82, volume=627300, vwap=24.8741, timestamp=1693332000000, transactions=7179, otc=None)
Agg(open=24.825, high=24.86, low=24.63, close=24.7, volume=1573701.0, vwap=24.7339, timestamp=1693335600000, transactions=17179, otc=None)
Agg(open=24.7, high=24.72, low=24.7, close=24.72, volume=38299, vwap=24.7001, timestamp=1693339200000, transactions=31, otc=None)
Agg(open=24.88, high=24.88, low=24.88, close=24.88, volume=280, vwap=24.88, timestamp=1693342800000, transactions=1, otc=None)
Agg(open=24.83, high=24.85, low=24.83, close=24.85, volume=200, vwap=24.84, timestamp=1693382400000, transactions=2, otc=None)
Agg(open=24.79, high=24.79, low=24.79, close=24.79, volume=200, vwap=24.763, timestamp=1693393200000, transactions=4, otc=None)
Agg(open=24.7928, high=24.8, low=24.7, close=24.7, volume=3893, vwap=24.7924, timestamp=1693396800000, transactions=15, otc=None)
Agg(open=24.82, high=24.99, low=24.4, close=24.51, volume=379361, vwap=24.6172, timestamp=1693400400000, transactions=4467, otc=None)
Agg(open=24.5, high=24.785, low=24.275, close=24.59, volume=566206, vwap=24.5449, timestamp=1693404000000, transactions=6781, otc=None)
Agg(open=24.6, high=24.89, low=24.57, close=24.77, volume=409303, vwap=24.7319, timestamp=1693407600000, transactions=5434, otc=None)
Agg(open=24.77, high=24.98, low=24.74, close=24.8899, volume=356494, vwap=24.8487, timestamp=1693411200000, transactions=4478, otc=None)
Agg(open=24.88, high=24.88, low=24.69, close=24.69, volume=238001, vwap=24.8185, timestamp=1693414800000, transactions=3486, otc=None)
Agg(open=24.695, high=24.705, low=24.515, close=24.52, volume=316520, vwap=24.6136, timestamp=1693418400000, transactions=4759, otc=None)
Agg(open=24.525, high=24.725, low=24.51, close=24.68, volume=728779, vwap=24.6578, timestamp=1693422000000, transactions=10098, otc=None)
Agg(open=24.68, high=24.7, low=24.5, close=24.66, volume=65448, vwap=24.6802, timestamp=1693425600000, transactions=52, otc=None)
Agg(open=24.67, high=24.67, low=24.67, close=24.67, volume=200, vwap=24.67, timestamp=1693429200000, transactions=2, otc=None)
Agg(open=24.25, high=24.35, low=24.25, close=24.25, volume=3159, vwap=24.2673, timestamp=1693432800000, transactions=13, otc=None)
Agg(open=24.55, high=24.55, low=24.55, close=24.55, volume=174, vwap=24.55, timestamp=1693472400000, transactions=2, otc=None)
Agg(open=24.55, high=24.55, low=24.53, close=24.53, volume=200, vwap=24.54, timestamp=1693476000000, transactions=2, otc=None)
Agg(open=24.68, high=24.68, low=24.65, close=24.65, volume=609, vwap=24.6745, timestamp=1693479600000, transactions=6, otc=None)
Agg(open=24.65, high=25, low=24.65, close=25, volume=913, vwap=24.7066, timestamp=1693483200000, transactions=8, otc=None)
Agg(open=24.71, high=25.99, low=24.71, close=25.62, volume=809806, vwap=25.5029, timestamp=1693486800000, transactions=7065, otc=None)
Agg(open=25.63, high=25.76, low=25.08, close=25.125, volume=742246, vwap=25.3867, timestamp=1693490400000, transactions=9467, otc=None)
Agg(open=25.11, high=25.245, low=24.905, close=24.96, volume=520967, vwap=25.0465, timestamp=1693494000000, transactions=5722, otc=None)
Agg(open=24.955, high=25.04, low=24.77, close=24.84, volume=554751, vwap=24.936, timestamp=1693497600000, transactions=5500, otc=None)
Agg(open=24.845, high=25.05, low=24.76, close=25.01, volume=233539, vwap=24.9243, timestamp=1693501200000, transactions=3254, otc=None)
Agg(open=25.0199, high=25.235, low=25.005, close=25.095, volume=275647, vwap=25.1382, timestamp=1693504800000, transactions=3769, otc=None)
Agg(open=25.095, high=25.16, low=24.86, close=24.86, volume=669090, vwap=24.9782, timestamp=1693508400000, transactions=7911, otc=None)
Agg(open=24.87, high=24.95, low=24.87, close=24.95, volume=34621, vwap=24.8717, timestamp=1693512000000, transactions=23, otc=None)
Agg(open=24.87, high=24.87, low=24.87, close=24.87, volume=150, vwap=24.87, timestamp=1693515600000, transactions=1, otc=None)
Agg(open=24.88, high=24.88, low=24.88, close=24.88, volume=200, vwap=24.88, timestamp=1693522800000, transactions=2, otc=None)
Agg(open=24.96, high=24.96, low=24.96, close=24.96, volume=2375, vwap=24.96, timestamp=1693566000000, transactions=3, otc=None)
Agg(open=25.04, high=25.05, low=24.84, close=25.05, volume=811, vwap=25.0021, timestamp=1693569600000, transactions=6, otc=None)
Agg(open=25.25, high=25.61, low=24.8263, close=24.91, volume=292651, vwap=25.1927, timestamp=1693573200000, transactions=3224, otc=None)
Agg(open=24.895, high=25.485, low=24.775, close=25.05, volume=354486, vwap=25.1794, timestamp=1693576800000, transactions=5255, otc=None)
Agg(open=25.05, high=25.47, low=25.02, close=25.14, volume=346836, vwap=25.2531, timestamp=1693580400000, transactions=4893, otc=None)
Agg(open=25.14, high=25.3394, low=25.12, close=25.22, volume=280291, vwap=25.2509, timestamp=1693584000000, transactions=3431, otc=None)
Agg(open=25.22, high=25.29, low=24.905, close=25.09, volume=236331, vwap=25.0915, timestamp=1693587600000, transactions=3712, otc=None)
Agg(open=25.07, high=25.12, low=24.85, close=24.945, volume=259568, vwap=24.9889, timestamp=1693591200000, transactions=3947, otc=None)
Agg(open=24.945, high=25.06, low=24.81, close=24.94, volume=735589, vwap=24.9639, timestamp=1693594800000, transactions=9857, otc=None)
Agg(open=24.95, high=24.95, low=24.7, close=24.9, volume=43765, vwap=24.9453, timestamp=1693598400000, transactions=32, otc=None)
Agg(open=24.75, high=24.75, low=24.75, close=24.75, volume=450, vwap=24.75, timestamp=1693609200000, transactions=3, otc=None)
