Agg(open=5.84, high=6, low=5.75, close=5.89, volume=5600, vwap=5.9162, timestamp=1682334000000, transactions=28, otc=None)
Agg(open=6.02, high=6.02, low=5.75, close=5.83, volume=17502, vwap=5.9557, timestamp=1682337600000, transactions=44, otc=None)
Agg(open=5.76, high=5.8, low=5.61, close=5.625, volume=330510, vwap=5.6752, timestamp=1682341200000, transactions=2165, otc=None)
Agg(open=5.63, high=5.63, low=5.57, close=5.61, volume=370904, vwap=5.5962, timestamp=1682344800000, transactions=3081, otc=None)
Agg(open=5.61, high=5.6169, low=5.54, close=5.561, volume=306515, vwap=5.5802, timestamp=1682348400000, transactions=2666, otc=None)
Agg(open=5.56, high=5.64, low=5.545, close=5.64, volume=224684, vwap=5.5976, timestamp=1682352000000, transactions=2043, otc=None)
Agg(open=5.645, high=5.72, low=5.61, close=5.695, volume=184093, vwap=5.6529, timestamp=1682355600000, transactions=1749, otc=None)
Agg(open=5.7, high=5.7, low=5.6, close=5.645, volume=239247, vwap=5.6548, timestamp=1682359200000, transactions=2368, otc=None)
Agg(open=5.645, high=5.705, low=5.63, close=5.69, volume=649222, vwap=5.6776, timestamp=1682362800000, transactions=4820, otc=None)
Agg(open=5.7, high=5.7, low=5.7, close=5.7, volume=28884, vwap=5.7, timestamp=1682366400000, transactions=14, otc=None)
Agg(open=5.82, high=5.82, low=5.82, close=5.82, volume=200, vwap=5.82, timestamp=1682409600000, transactions=1, otc=None)
Agg(open=5.71, high=5.71, low=5.71, close=5.71, volume=100, vwap=5.71, timestamp=1682420400000, transactions=1, otc=None)
Agg(open=5.715, high=5.73, low=5.7, close=5.7001, volume=4000, vwap=5.7229, timestamp=1682424000000, transactions=5, otc=None)
Agg(open=5.65, high=5.794, low=5.61, close=5.705, volume=253726, vwap=5.7296, timestamp=1682427600000, transactions=1308, otc=None)
Agg(open=5.7, high=5.75, low=5.555, close=5.595, volume=249137, vwap=5.6324, timestamp=1682431200000, transactions=2410, otc=None)
Agg(open=5.595, high=5.61, low=5.53, close=5.55, volume=176121, vwap=5.5773, timestamp=1682434800000, transactions=1700, otc=None)
Agg(open=5.54, high=5.56, low=5.46, close=5.465, volume=282700, vwap=5.5147, timestamp=1682438400000, transactions=2186, otc=None)
Agg(open=5.475, high=5.48, low=5.42, close=5.4799, volume=257062, vwap=5.447, timestamp=1682442000000, transactions=2112, otc=None)
Agg(open=5.475, high=5.5, low=5.43, close=5.475, volume=236459, vwap=5.463, timestamp=1682445600000, transactions=2093, otc=None)
Agg(open=5.47, high=5.52, low=5.44, close=5.52, volume=580618, vwap=5.4777, timestamp=1682449200000, transactions=4343, otc=None)
Agg(open=5.51, high=5.6184, low=5.51, close=5.6184, volume=37968, vwap=5.5107, timestamp=1682452800000, transactions=22, otc=None)
Agg(open=5.6082, high=5.6082, low=5.53, close=5.53, volume=741, vwap=5.5564, timestamp=1682456400000, transactions=2, otc=None)
Agg(open=5.6, high=5.6, low=5.6, close=5.6, volume=500, vwap=5.6, timestamp=1682460000000, transactions=1, otc=None)
Agg(open=5.59, high=5.6, low=5.59, close=5.6, volume=1000, vwap=5.599, timestamp=1682506800000, transactions=4, otc=None)
Agg(open=5.51, high=5.5691, low=5.5, close=5.52, volume=3095, vwap=5.5167, timestamp=1682510400000, transactions=5, otc=None)
Agg(open=5.59, high=5.625, low=5.43, close=5.445, volume=127296, vwap=5.534, timestamp=1682514000000, transactions=1041, otc=None)
Agg(open=5.445, high=5.45, low=5.35, close=5.39, volume=199473, vwap=5.3969, timestamp=1682517600000, transactions=1694, otc=None)
Agg(open=5.4, high=5.475, low=5.395, close=5.46, volume=198959, vwap=5.4335, timestamp=1682521200000, transactions=1720, otc=None)
Agg(open=5.47, high=5.51, low=5.46, close=5.46, volume=149459, vwap=5.483, timestamp=1682524800000, transactions=1555, otc=None)
Agg(open=5.47, high=5.5, low=5.465, close=5.48, volume=187591, vwap=5.4795, timestamp=1682528400000, transactions=1685, otc=None)
Agg(open=5.48, high=5.505, low=5.43, close=5.455, volume=249753, vwap=5.4759, timestamp=1682532000000, transactions=2115, otc=None)
Agg(open=5.46, high=5.47, low=5.4, close=5.47, volume=609363, vwap=5.4378, timestamp=1682535600000, transactions=4438, otc=None)
Agg(open=5.47, high=5.48, low=5.41, close=5.47, volume=31812, vwap=5.4701, timestamp=1682539200000, transactions=24, otc=None)
Agg(open=5.54, high=5.54, low=5.52, close=5.53, volume=400, vwap=5.5275, timestamp=1682593200000, transactions=4, otc=None)
Agg(open=5.56, high=5.56, low=5.52, close=5.54, volume=18500, vwap=5.5552, timestamp=1682596800000, transactions=7, otc=None)
Agg(open=5.48, high=5.52, low=5.41, close=5.5, volume=104547, vwap=5.4692, timestamp=1682600400000, transactions=758, otc=None)
Agg(open=5.505, high=5.57, low=5.33, close=5.35, volume=316778, vwap=5.4167, timestamp=1682604000000, transactions=2505, otc=None)
Agg(open=5.355, high=5.44, low=5.32, close=5.425, volume=173874, vwap=5.3756, timestamp=1682607600000, transactions=1670, otc=None)
Agg(open=5.43, high=5.52, low=5.41, close=5.42, volume=173296, vwap=5.4643, timestamp=1682611200000, transactions=1823, otc=None)
Agg(open=5.42, high=5.45, low=5.38, close=5.43, volume=206438, vwap=5.4197, timestamp=1682614800000, transactions=2307, otc=None)
Agg(open=5.43, high=5.46, low=5.4125, close=5.445, volume=225059, vwap=5.4348, timestamp=1682618400000, transactions=2463, otc=None)
Agg(open=5.45, high=5.485, low=5.35, close=5.375, volume=840501, vwap=5.3988, timestamp=1682622000000, transactions=6380, otc=None)
Agg(open=5.36, high=5.46, low=5.3215, close=5.41, volume=50420, vwap=5.3628, timestamp=1682625600000, transactions=36, otc=None)
Agg(open=5.41, high=5.46, low=5.35, close=5.35, volume=13450, vwap=5.3842, timestamp=1682629200000, transactions=7, otc=None)
Agg(open=5.38, high=5.46, low=5.38, close=5.41, volume=1000, vwap=5.391, timestamp=1682636400000, transactions=9, otc=None)
Agg(open=5.38, high=5.38, low=5.36, close=5.36, volume=535, vwap=5.368, timestamp=1682683200000, transactions=7, otc=None)
Agg(open=5.37, high=5.4, low=5.28, close=5.385, volume=153421, vwap=5.338, timestamp=1682686800000, transactions=1150, otc=None)
Agg(open=5.39, high=5.575, low=5.39, close=5.55, volume=298874, vwap=5.5055, timestamp=1682690400000, transactions=2604, otc=None)
Agg(open=5.55, high=5.665, low=5.51, close=5.6415, volume=286952, vwap=5.6004, timestamp=1682694000000, transactions=2114, otc=None)
Agg(open=5.645, high=5.73, low=5.625, close=5.715, volume=474534, vwap=5.6657, timestamp=1682697600000, transactions=3092, otc=None)
Agg(open=5.7189, high=5.73, low=5.6247, close=5.625, volume=321102, vwap=5.6906, timestamp=1682701200000, transactions=2825, otc=None)
Agg(open=5.63, high=5.6399, low=5.59, close=5.62, volume=194942, vwap=5.6107, timestamp=1682704800000, transactions=2017, otc=None)
Agg(open=5.615, high=5.66, low=5.61, close=5.63, volume=707967, vwap=5.6293, timestamp=1682708400000, transactions=5498, otc=None)
Agg(open=5.64, high=5.66, low=5.59, close=5.6, volume=49277, vwap=5.6388, timestamp=1682712000000, transactions=23, otc=None)
Agg(open=5.59, high=5.66, low=5.59, close=5.59, volume=2200, vwap=5.6536, timestamp=1682715600000, transactions=3, otc=None)
Agg(open=5.66, high=5.66, low=5.65, close=5.65, volume=650, vwap=5.6577, timestamp=1682719200000, transactions=4, otc=None)
Agg(open=5.66, high=5.71, low=5.66, close=5.71, volume=1200, vwap=5.6708, timestamp=1682722800000, transactions=6, otc=None)
