Agg(open=14.652, high=15, low=14.56, close=14.945, volume=173924, vwap=14.8754, timestamp=1693227600000, transactions=1531, otc=None)
Agg(open=14.95, high=14.985, low=14.84, close=14.855, volume=154088, vwap=14.9296, timestamp=1693231200000, transactions=1625, otc=None)
Agg(open=14.855, high=14.885, low=14.83, close=14.875, volume=96536, vwap=14.8542, timestamp=1693234800000, transactions=1102, otc=None)
Agg(open=14.875, high=14.885, low=14.825, close=14.88, volume=74194, vwap=14.8573, timestamp=1693238400000, transactions=868, otc=None)
Agg(open=14.88, high=14.91, low=14.84, close=14.865, volume=107228, vwap=14.8796, timestamp=1693242000000, transactions=1184, otc=None)
Agg(open=14.86, high=14.89, low=14.85, close=14.89, volume=81397, vwap=14.8663, timestamp=1693245600000, transactions=1092, otc=None)
Agg(open=14.885, high=14.94, low=14.865, close=14.9, volume=468577, vwap=14.9039, timestamp=1693249200000, transactions=3262, otc=None)
Agg(open=14.9, high=14.9, low=14.9, close=14.9, volume=31157, vwap=14.9, timestamp=1693252800000, transactions=15, otc=None)
Agg(open=14.8264, high=14.8264, low=14.8264, close=14.8264, volume=150, vwap=14.8264, timestamp=1693310400000, transactions=1, otc=None)
Agg(open=14.88, high=14.92, low=14.825, close=14.9, volume=103639, vwap=14.8829, timestamp=1693314000000, transactions=1175, otc=None)
Agg(open=14.92, high=14.995, low=14.9125, close=14.965, volume=248642, vwap=14.9596, timestamp=1693317600000, transactions=2122, otc=None)
Agg(open=14.97, high=15.12, low=14.97, close=15.11, volume=177459, vwap=15.0796, timestamp=1693321200000, transactions=1460, otc=None)
Agg(open=15.105, high=15.22, low=15.105, close=15.195, volume=242162, vwap=15.176, timestamp=1693324800000, transactions=1796, otc=None)
Agg(open=15.19, high=15.215, low=15.155, close=15.165, volume=193208, vwap=15.1919, timestamp=1693328400000, transactions=1542, otc=None)
Agg(open=15.16, high=15.21, low=15.155, close=15.18, volume=152583, vwap=15.1833, timestamp=1693332000000, transactions=1335, otc=None)
Agg(open=15.18, high=15.25, low=15.165, close=15.25, volume=322516, vwap=15.2078, timestamp=1693335600000, transactions=2922, otc=None)
Agg(open=15.25, high=15.26, low=15.25, close=15.26, volume=42134, vwap=15.2501, timestamp=1693339200000, transactions=23, otc=None)
Agg(open=15.13, high=15.1672, low=15.0699, close=15.115, volume=69735, vwap=15.1066, timestamp=1693400400000, transactions=746, otc=None)
Agg(open=15.11, high=15.18, low=15.075, close=15.105, volume=96602, vwap=15.1186, timestamp=1693404000000, transactions=1177, otc=None)
Agg(open=15.1, high=15.1, low=15.01, close=15.025, volume=72035, vwap=15.0465, timestamp=1693407600000, transactions=968, otc=None)
Agg(open=15.025, high=15.07, low=14.9907, close=15, volume=87702, vwap=15.0275, timestamp=1693411200000, transactions=1107, otc=None)
Agg(open=15.005, high=15.02, low=14.975, close=15.01, volume=54536, vwap=15.0018, timestamp=1693414800000, transactions=875, otc=None)
Agg(open=15.015, high=15.05, low=14.995, close=15.03, volume=57568, vwap=15.0251, timestamp=1693418400000, transactions=1018, otc=None)
Agg(open=15.04, high=15.08, low=15.035, close=15.08, volume=201795, vwap=15.055, timestamp=1693422000000, transactions=2372, otc=None)
Agg(open=15.07, high=15.07, low=15.07, close=15.07, volume=41297, vwap=15.07, timestamp=1693425600000, transactions=21, otc=None)
Agg(open=15.11, high=15.11, low=14.97, close=15.06, volume=31862, vwap=15.0437, timestamp=1693486800000, transactions=399, otc=None)
Agg(open=15.07, high=15.085, low=15, close=15.01, volume=56837, vwap=15.0502, timestamp=1693490400000, transactions=887, otc=None)
Agg(open=15.015, high=15.07, low=14.99, close=15.015, volume=137109, vwap=15.0305, timestamp=1693494000000, transactions=911, otc=None)
Agg(open=15.015, high=15.02, low=14.96, close=14.975, volume=90326, vwap=14.9936, timestamp=1693497600000, transactions=830, otc=None)
Agg(open=14.975, high=15.05, low=14.965, close=15.04, volume=55256, vwap=15.0245, timestamp=1693501200000, transactions=726, otc=None)
Agg(open=15.04, high=15.05, low=15, close=15.015, volume=100977, vwap=15.0224, timestamp=1693504800000, transactions=1154, otc=None)
Agg(open=15.02, high=15.08, low=15.02, close=15.02, volume=308270, vwap=15.0464, timestamp=1693508400000, transactions=2795, otc=None)
Agg(open=15.02, high=15.02, low=15.02, close=15.02, volume=76203, vwap=15.02, timestamp=1693512000000, transactions=18, otc=None)
Agg(open=15.22, high=15.22, low=15.04, close=15.06, volume=51432, vwap=15.0958, timestamp=1693573200000, transactions=612, otc=None)
Agg(open=15.06, high=15.14, low=15.025, close=15.075, volume=85942, vwap=15.0871, timestamp=1693576800000, transactions=1047, otc=None)
Agg(open=15.075, high=15.09, low=15.005, close=15.04, volume=66089, vwap=15.043, timestamp=1693580400000, transactions=758, otc=None)
Agg(open=15.035, high=15.07, low=15.01, close=15.05, volume=99703, vwap=15.042, timestamp=1693584000000, transactions=977, otc=None)
Agg(open=15.045, high=15.07, low=15.03, close=15.045, volume=51204, vwap=15.0453, timestamp=1693587600000, transactions=900, otc=None)
