Agg(open=10.28, high=10.28, low=10, close=10.13, volume=65185, vwap=10.1312, timestamp=1696233600000, transactions=468, otc=None)
Agg(open=10.13, high=10.18, low=10.055, close=10.09, volume=30321, vwap=10.1334, timestamp=1696237200000, transactions=173, otc=None)
Agg(open=10.06, high=10.1, low=10, close=10, volume=41940, vwap=10.0366, timestamp=1696240800000, transactions=288, otc=None)
Agg(open=9.98, high=10.08, low=9.92, close=9.95, volume=89942, vwap=9.9971, timestamp=1696244400000, transactions=620, otc=None)
Agg(open=10.0455, high=10.18, low=9.8, close=10.07, volume=298909, vwap=10.0066, timestamp=1696248000000, transactions=1811, otc=None)
Agg(open=10.0689, high=10.85, low=9.95, close=10.8482, volume=8347626.0, vwap=10.5442, timestamp=1696251600000, transactions=35989, otc=None)
Agg(open=10.84, high=10.95, low=10.29, close=10.4301, volume=7680551.0, vwap=10.525, timestamp=1696255200000, transactions=32542, otc=None)
Agg(open=10.43, high=10.6, low=10.17, close=10.2154, volume=4111952.0, vwap=10.4013, timestamp=1696258800000, transactions=17727, otc=None)
Agg(open=10.22, high=10.2291, low=10.0482, close=10.105, volume=2478897.0, vwap=10.1303, timestamp=1696262400000, transactions=11759, otc=None)
Agg(open=10.1, high=10.17, low=9.98, close=10.085, volume=2266830.0, vwap=10.0819, timestamp=1696266000000, transactions=9666, otc=None)
Agg(open=10.08, high=10.165, low=9.845, close=9.89, volume=2604967.0, vwap=9.9736, timestamp=1696269600000, transactions=11471, otc=None)
Agg(open=9.885, high=9.94, low=9.8, close=9.87, volume=3832680.0, vwap=9.8648, timestamp=1696273200000, transactions=16213, otc=None)
Agg(open=9.88, high=9.98, low=9.86, close=9.98, volume=189967, vwap=9.899, timestamp=1696276800000, transactions=625, otc=None)
Agg(open=9.96, high=9.9652, low=9.62, close=9.68, volume=91706, vwap=9.8133, timestamp=1696280400000, transactions=526, otc=None)
Agg(open=9.77, high=9.88, low=9.68, close=9.8182, volume=27370, vwap=9.7659, timestamp=1696284000000, transactions=197, otc=None)
Agg(open=9.83, high=9.87, low=9.81, close=9.81, volume=15386, vwap=9.8393, timestamp=1696287600000, transactions=146, otc=None)
Agg(open=9.86, high=9.9, low=9.85, close=9.9, volume=6904, vwap=9.8544, timestamp=1696320000000, transactions=76, otc=None)
Agg(open=9.85, high=9.85, low=9.8, close=9.81, volume=2639, vwap=9.8233, timestamp=1696323600000, transactions=22, otc=None)
Agg(open=9.81, high=9.86, low=9.79, close=9.86, volume=16994, vwap=9.8383, timestamp=1696327200000, transactions=73, otc=None)
Agg(open=9.86, high=9.95, low=9.75, close=9.8, volume=52426, vwap=9.8046, timestamp=1696330800000, transactions=218, otc=None)
Agg(open=9.85, high=9.94, low=9.63, close=9.6499, volume=148654, vwap=9.7637, timestamp=1696334400000, transactions=870, otc=None)
Agg(open=9.65, high=9.89, low=9.41, close=9.515, volume=3127145.0, vwap=9.5791, timestamp=1696338000000, transactions=13861, otc=None)
Agg(open=9.515, high=9.515, low=9.0518, close=9.0646, volume=4098120.0, vwap=9.2399, timestamp=1696341600000, transactions=20595, otc=None)
Agg(open=9.06, high=9.13, low=8.96, close=9.03, volume=2394056.0, vwap=9.0516, timestamp=1696345200000, transactions=12801, otc=None)
Agg(open=9.025, high=9.095, low=8.88, close=8.89, volume=2622049.0, vwap=8.9795, timestamp=1696348800000, transactions=11986, otc=None)
Agg(open=8.89, high=8.94, low=8.7601, close=8.775, volume=1779966.0, vwap=8.8616, timestamp=1696352400000, transactions=10145, otc=None)
Agg(open=8.775, high=8.79, low=8.67, close=8.7267, volume=1717099.0, vwap=8.7262, timestamp=1696356000000, transactions=9647, otc=None)
