Agg(open=12.99, high=13, low=12.61, close=12.825, volume=324790, vwap=12.7569, timestamp=1695042000000, transactions=2914, otc=None)
Agg(open=12.83, high=12.92, low=12.77, close=12.83, volume=645459, vwap=12.8542, timestamp=1695045600000, transactions=3975, otc=None)
Agg(open=12.84, high=12.85, low=12.765, close=12.8, volume=297150, vwap=12.8086, timestamp=1695049200000, transactions=2605, otc=None)
Agg(open=12.8, high=12.81, low=12.7, close=12.785, volume=250248, vwap=12.7535, timestamp=1695052800000, transactions=2411, otc=None)
Agg(open=12.79, high=12.8, low=12.68, close=12.685, volume=225031, vwap=12.752, timestamp=1695056400000, transactions=2238, otc=None)
Agg(open=12.685, high=12.7, low=12.62, close=12.68, volume=263314, vwap=12.6543, timestamp=1695060000000, transactions=3221, otc=None)
Agg(open=12.675, high=12.68, low=12.59, close=12.64, volume=640510, vwap=12.635, timestamp=1695063600000, transactions=6135, otc=None)
Agg(open=12.65, high=12.65, low=12.65, close=12.65, volume=77838, vwap=12.65, timestamp=1695067200000, transactions=22, otc=None)
Agg(open=12.66, high=12.665, low=12.565, close=12.59, volume=136037, vwap=12.6246, timestamp=1695128400000, transactions=1602, otc=None)
Agg(open=12.585, high=12.65, low=12.545, close=12.58, volume=208588, vwap=12.6011, timestamp=1695132000000, transactions=2593, otc=None)
Agg(open=12.58, high=12.65, low=12.54, close=12.615, volume=390696, vwap=12.5845, timestamp=1695135600000, transactions=3430, otc=None)
Agg(open=12.615, high=12.65, low=12.575, close=12.62, volume=207356, vwap=12.6152, timestamp=1695139200000, transactions=2168, otc=None)
Agg(open=12.62, high=12.68, low=12.6, close=12.645, volume=206309, vwap=12.6318, timestamp=1695142800000, transactions=2276, otc=None)
Agg(open=12.65, high=12.66, low=12.6, close=12.61, volume=165925, vwap=12.6286, timestamp=1695146400000, transactions=2175, otc=None)
Agg(open=12.615, high=12.64, low=12.57, close=12.57, volume=618006, vwap=12.5955, timestamp=1695150000000, transactions=5953, otc=None)
Agg(open=12.57, high=12.57, low=12.57, close=12.57, volume=56660, vwap=12.57, timestamp=1695153600000, transactions=33, otc=None)
Agg(open=12.6, high=12.6, low=12.6, close=12.6, volume=200, vwap=12.6, timestamp=1695164400000, transactions=2, otc=None)
Agg(open=12.64, high=12.68, low=12.59, close=12.64, volume=112160, vwap=12.63, timestamp=1695214800000, transactions=1260, otc=None)
Agg(open=12.64, high=12.7, low=12.6, close=12.645, volume=264742, vwap=12.653, timestamp=1695218400000, transactions=2438, otc=None)
Agg(open=12.65, high=12.68, low=12.6, close=12.605, volume=175226, vwap=12.6409, timestamp=1695222000000, transactions=1931, otc=None)
Agg(open=12.6, high=12.65, low=12.6, close=12.605, volume=163901, vwap=12.623, timestamp=1695225600000, transactions=1807, otc=None)
Agg(open=12.605, high=12.64, low=12.54, close=12.595, volume=394007, vwap=12.5805, timestamp=1695229200000, transactions=3115, otc=None)
Agg(open=12.59, high=12.6, low=12.5, close=12.54, volume=432482, vwap=12.5402, timestamp=1695232800000, transactions=3900, otc=None)
Agg(open=12.53, high=12.54, low=12.36, close=12.37, volume=889773, vwap=12.4147, timestamp=1695236400000, transactions=7432, otc=None)
Agg(open=12.38, high=12.38, low=12.38, close=12.38, volume=70186, vwap=12.38, timestamp=1695240000000, transactions=41, otc=None)
Agg(open=12.35, high=12.35, low=12.35, close=12.35, volume=120, vwap=12.3464, timestamp=1695294000000, transactions=3, otc=None)
Agg(open=12.16, high=12.33, low=12.15, close=12.22, volume=160398, vwap=12.2604, timestamp=1695301200000, transactions=1742, otc=None)
Agg(open=12.215, high=12.32, low=12.19, close=12.25, volume=421298, vwap=12.2652, timestamp=1695304800000, transactions=3694, otc=None)
Agg(open=12.2537, high=12.265, low=12.155, close=12.175, volume=216373, vwap=12.2049, timestamp=1695308400000, transactions=2625, otc=None)
Agg(open=12.17, high=12.17, low=12.08, close=12.085, volume=203864, vwap=12.1217, timestamp=1695312000000, transactions=2841, otc=None)
Agg(open=12.085, high=12.11, low=12.0312, close=12.04, volume=278961, vwap=12.0815, timestamp=1695315600000, transactions=2955, otc=None)
Agg(open=12.04, high=12.09, low=12.01, close=12.055, volume=411438, vwap=12.0423, timestamp=1695319200000, transactions=3770, otc=None)
Agg(open=12.05, high=12.15, low=12.05, close=12.06, volume=1077596.0, vwap=12.0878, timestamp=1695322800000, transactions=7977, otc=None)
Agg(open=12.06, high=12.06, low=12.06, close=12.06, volume=68186, vwap=12.06, timestamp=1695326400000, transactions=23, otc=None)
Agg(open=12.12, high=12.2, low=12.045, close=12.11, volume=88990, vwap=12.107, timestamp=1695387600000, transactions=1025, otc=None)
Agg(open=12.1, high=12.17, low=12.085, close=12.155, volume=254620, vwap=12.1267, timestamp=1695391200000, transactions=3001, otc=None)
Agg(open=12.16, high=12.165, low=12.07, close=12.07, volume=195703, vwap=12.1168, timestamp=1695394800000, transactions=2478, otc=None)
Agg(open=12.07, high=12.11, low=12.04, close=12.06, volume=303063, vwap=12.0728, timestamp=1695398400000, transactions=2840, otc=None)
Agg(open=12.065, high=12.095, low=12.005, close=12.015, volume=280663, vwap=12.0358, timestamp=1695402000000, transactions=3029, otc=None)
Agg(open=12.015, high=12.04, low=11.99, close=12, volume=240034, vwap=12.0107, timestamp=1695405600000, transactions=2809, otc=None)
Agg(open=12, high=12.065, low=11.92, close=11.925, volume=684085, vwap=11.9874, timestamp=1695409200000, transactions=5574, otc=None)
Agg(open=11.92, high=11.92, low=11.92, close=11.92, volume=22323, vwap=11.92, timestamp=1695412800000, transactions=17, otc=None)
