Agg(open=4, high=4, low=4, close=4, volume=1002, vwap=3.9995, timestamp=1682938800000, transactions=3, otc=None)
Agg(open=3.82, high=3.82, low=3.77, close=3.77, volume=22016, vwap=3.804, timestamp=1682942400000, transactions=11, otc=None)
Agg(open=3.76, high=3.82, low=3.7, close=3.795, volume=424178, vwap=3.784, timestamp=1682946000000, transactions=1246, otc=None)
Agg(open=3.79, high=3.81, low=3.745, close=3.765, volume=208982, vwap=3.784, timestamp=1682949600000, transactions=778, otc=None)
Agg(open=3.76, high=3.76, low=3.725, close=3.755, volume=165515, vwap=3.744, timestamp=1682953200000, transactions=705, otc=None)
Agg(open=3.755, high=3.775, low=3.75, close=3.755, volume=87752, vwap=3.7614, timestamp=1682956800000, transactions=385, otc=None)
Agg(open=3.755, high=3.77, low=3.72, close=3.75, volume=254761, vwap=3.7485, timestamp=1682960400000, transactions=512, otc=None)
Agg(open=3.745, high=3.765, low=3.73, close=3.765, volume=115507, vwap=3.7468, timestamp=1682964000000, transactions=536, otc=None)
Agg(open=3.76, high=3.765, low=3.73, close=3.74, volume=269855, vwap=3.7416, timestamp=1682967600000, transactions=1423, otc=None)
Agg(open=3.7, high=3.7, low=3.55, close=3.56, volume=247594, vwap=3.6051, timestamp=1683032400000, transactions=756, otc=None)
Agg(open=3.57, high=3.58, low=3.485, close=3.505, volume=1302130.0, vwap=3.5251, timestamp=1683036000000, transactions=3317, otc=None)
Agg(open=3.5, high=3.505, low=3.44, close=3.475, volume=552819, vwap=3.4723, timestamp=1683039600000, transactions=1705, otc=None)
Agg(open=3.48, high=3.49, low=3.41, close=3.42, volume=460101, vwap=3.4386, timestamp=1683043200000, transactions=1468, otc=None)
Agg(open=3.425, high=3.48, low=3.425, close=3.4687, volume=358449, vwap=3.4539, timestamp=1683046800000, transactions=1087, otc=None)
Agg(open=3.46, high=3.47, low=3.42, close=3.46, volume=701557, vwap=3.4441, timestamp=1683050400000, transactions=2076, otc=None)
Agg(open=3.465, high=3.5, low=3.45, close=3.47, volume=760532, vwap=3.4713, timestamp=1683054000000, transactions=2584, otc=None)
Agg(open=3.4, high=3.4, low=3.4, close=3.4, volume=173, vwap=3.4162, timestamp=1683111600000, transactions=2, otc=None)
Agg(open=3.45, high=3.45, low=3.45, close=3.45, volume=101, vwap=3.4554, timestamp=1683115200000, transactions=2, otc=None)
Agg(open=3.42, high=3.435, low=3.37, close=3.395, volume=345980, vwap=3.3909, timestamp=1683118800000, transactions=877, otc=None)
Agg(open=3.4, high=3.41, low=3.34, close=3.355, volume=429988, vwap=3.3787, timestamp=1683122400000, transactions=1011, otc=None)
Agg(open=3.36, high=3.38, low=3.32, close=3.35, volume=271972, vwap=3.3483, timestamp=1683126000000, transactions=968, otc=None)
Agg(open=3.35, high=3.39, low=3.35, close=3.385, volume=284796, vwap=3.3773, timestamp=1683129600000, transactions=702, otc=None)
Agg(open=3.385, high=3.405, low=3.375, close=3.39, volume=250280, vwap=3.3923, timestamp=1683133200000, transactions=591, otc=None)
Agg(open=3.39, high=3.425, low=3.38, close=3.4, volume=449124, vwap=3.4019, timestamp=1683136800000, transactions=1381, otc=None)
Agg(open=3.4, high=3.42, low=3.34, close=3.35, volume=575469, vwap=3.3632, timestamp=1683140400000, transactions=1803, otc=None)
Agg(open=3.44, high=3.44, low=3.36, close=3.39, volume=180673, vwap=3.389, timestamp=1683205200000, transactions=675, otc=None)
Agg(open=3.38, high=3.385, low=3.33, close=3.35, volume=222500, vwap=3.356, timestamp=1683208800000, transactions=671, otc=None)
Agg(open=3.36, high=3.41, low=3.35, close=3.375, volume=197222, vwap=3.3837, timestamp=1683212400000, transactions=725, otc=None)
Agg(open=3.375, high=3.4, low=3.365, close=3.385, volume=156064, vwap=3.3836, timestamp=1683216000000, transactions=585, otc=None)
Agg(open=3.3934, high=3.465, low=3.385, close=3.445, volume=369415, vwap=3.4206, timestamp=1683219600000, transactions=958, otc=None)
Agg(open=3.45, high=3.47, low=3.44, close=3.455, volume=164300, vwap=3.4524, timestamp=1683223200000, transactions=718, otc=None)
Agg(open=3.455, high=3.47, low=3.415, close=3.42, volume=339036, vwap=3.4343, timestamp=1683226800000, transactions=1450, otc=None)
Agg(open=3.39, high=3.39, low=3.37, close=3.37, volume=1200, vwap=3.3733, timestamp=1683230400000, transactions=2, otc=None)
Agg(open=3.43, high=3.43, low=3.43, close=3.43, volume=135, vwap=3.43, timestamp=1683284400000, transactions=1, otc=None)
Agg(open=3.51, high=3.61, low=3.51, close=3.6, volume=362866, vwap=3.5748, timestamp=1683291600000, transactions=980, otc=None)
Agg(open=3.605, high=3.63, low=3.57, close=3.57, volume=207648, vwap=3.5992, timestamp=1683295200000, transactions=715, otc=None)
Agg(open=3.57, high=3.6, low=3.55, close=3.57, volume=267078, vwap=3.5827, timestamp=1683298800000, transactions=719, otc=None)
Agg(open=3.57, high=3.58, low=3.55, close=3.565, volume=122816, vwap=3.5636, timestamp=1683302400000, transactions=592, otc=None)
Agg(open=3.57, high=3.58, low=3.55, close=3.56, volume=75713, vwap=3.5644, timestamp=1683306000000, transactions=392, otc=None)
Agg(open=3.56, high=3.6, low=3.56, close=3.595, volume=192102, vwap=3.5796, timestamp=1683309600000, transactions=688, otc=None)
Agg(open=3.595, high=3.595, low=3.55, close=3.55, volume=314844, vwap=3.5632, timestamp=1683313200000, transactions=751, otc=None)
Agg(open=3.57, high=3.57, low=3.5, close=3.5, volume=1500, vwap=3.507, timestamp=1683327600000, transactions=2, otc=None)
