Agg(open=1.98, high=2.04, low=1.97, close=2, volume=15930, vwap=2.0082, timestamp=1684137600000, transactions=47, otc=None)
Agg(open=2, high=2.03, low=2, close=2.03, volume=17257, vwap=2.02, timestamp=1684141200000, transactions=54, otc=None)
Agg(open=2.03, high=2.04, low=2, close=2.01, volume=14067, vwap=2.0189, timestamp=1684144800000, transactions=34, otc=None)
Agg(open=2, high=2, low=1.96, close=1.98, volume=10277, vwap=1.9825, timestamp=1684148400000, transactions=66, otc=None)
Agg(open=2.0095, high=2.0315, low=1.95, close=2.01, volume=127017, vwap=1.9775, timestamp=1684152000000, transactions=261, otc=None)
Agg(open=2.01, high=2.01, low=1.85, close=1.855, volume=3131422.0, vwap=1.9037, timestamp=1684155600000, transactions=5765, otc=None)
Agg(open=1.855, high=1.94, low=1.855, close=1.935, volume=2651172.0, vwap=1.904, timestamp=1684159200000, transactions=4638, otc=None)
Agg(open=1.93, high=2, low=1.93, close=1.99, volume=2601370.0, vwap=1.9678, timestamp=1684162800000, transactions=3989, otc=None)
Agg(open=1.9901, high=2.025, low=1.97, close=1.9841, volume=2768851.0, vwap=1.9931, timestamp=1684166400000, transactions=4487, otc=None)
Agg(open=1.985, high=2.0099, low=1.965, close=1.981, volume=1697512.0, vwap=1.9856, timestamp=1684170000000, transactions=3261, otc=None)
Agg(open=1.985, high=2.01, low=1.98, close=2.005, volume=1672895.0, vwap=1.9964, timestamp=1684173600000, transactions=3417, otc=None)
Agg(open=2.005, high=2.1, low=2, close=2.1, volume=4525896.0, vwap=2.0558, timestamp=1684177200000, transactions=7358, otc=None)
Agg(open=2.08, high=2.1, low=2.07, close=2.08, volume=73387, vwap=2.0922, timestamp=1684180800000, transactions=78, otc=None)
Agg(open=2.08, high=2.09, low=2.06, close=2.06, volume=9466, vwap=2.0799, timestamp=1684184400000, transactions=36, otc=None)
Agg(open=2.0612, high=2.09, low=2.0612, close=2.07, volume=15454, vwap=2.0735, timestamp=1684188000000, transactions=20, otc=None)
Agg(open=2.06, high=2.12, low=2.06, close=2.08, volume=28711, vwap=2.088, timestamp=1684191600000, transactions=36, otc=None)
