Agg(open=5.3299, high=5.34, low=5.3, close=5.32, volume=32229, vwap=5.3184, timestamp=1697065200000, transactions=129, otc=None)
Agg(open=5.4, high=5.4, low=5.31, close=5.35, volume=39409, vwap=5.3444, timestamp=1697097600000, transactions=285, otc=None)
Agg(open=5.35, high=5.36, low=5.33, close=5.33, volume=16808, vwap=5.341, timestamp=1697101200000, transactions=158, otc=None)
Agg(open=5.34, high=5.34, low=5.32, close=5.32, volume=9860, vwap=5.33, timestamp=1697104800000, transactions=137, otc=None)
Agg(open=5.31, high=5.33, low=5.3, close=5.31, volume=42788, vwap=5.3126, timestamp=1697108400000, transactions=289, otc=None)
Agg(open=5.32, high=5.38, low=5.28, close=5.31, volume=177889, vwap=5.3115, timestamp=1697112000000, transactions=1107, otc=None)
Agg(open=5.31, high=5.35, low=5.15, close=5.2118, volume=2307783.0, vwap=5.2283, timestamp=1697115600000, transactions=8653, otc=None)
Agg(open=5.2161, high=5.31, low=5.2, close=5.215, volume=4597633.0, vwap=5.2334, timestamp=1697119200000, transactions=11033, otc=None)
Agg(open=5.22, high=5.25, low=5.19, close=5.225, volume=2034509.0, vwap=5.2213, timestamp=1697122800000, transactions=7218, otc=None)
Agg(open=5.23, high=5.23, low=5.2, close=5.205, volume=1481608.0, vwap=5.2179, timestamp=1697126400000, transactions=5173, otc=None)
Agg(open=5.205, high=5.21, low=5.07, close=5.08, volume=4433539.0, vwap=5.1224, timestamp=1697130000000, transactions=10458, otc=None)
Agg(open=5.09, high=5.09, low=5.035, close=5.07, volume=2899068.0, vwap=5.0652, timestamp=1697133600000, transactions=8720, otc=None)
Agg(open=5.07, high=5.08, low=5.05, close=5.06, volume=4802132.0, vwap=5.0651, timestamp=1697137200000, transactions=13864, otc=None)
Agg(open=5.07, high=5.0885, low=5.06, close=5.06, volume=248004, vwap=5.0684, timestamp=1697140800000, transactions=715, otc=None)
Agg(open=5.06, high=5.07, low=5.05, close=5.06, volume=73564, vwap=5.0629, timestamp=1697144400000, transactions=526, otc=None)
Agg(open=5.07, high=5.07, low=5.05, close=5.06, volume=63274, vwap=5.0622, timestamp=1697148000000, transactions=227, otc=None)
Agg(open=5.05, high=5.07, low=5.05, close=5.06, volume=61348, vwap=5.0582, timestamp=1697151600000, transactions=216, otc=None)
Agg(open=5.06, high=5.13, low=5.06, close=5.1, volume=30377, vwap=5.1001, timestamp=1697184000000, transactions=247, otc=None)
Agg(open=5.09, high=5.09, low=5.06, close=5.06, volume=20494, vwap=5.0795, timestamp=1697187600000, transactions=185, otc=None)
Agg(open=5.07, high=5.08, low=5.07, close=5.075, volume=6822, vwap=5.0705, timestamp=1697191200000, transactions=52, otc=None)
Agg(open=5.07, high=5.07, low=5.05, close=5.07, volume=35683, vwap=5.062, timestamp=1697194800000, transactions=269, otc=None)
Agg(open=5.0702, high=5.13, low=5.0305, close=5.09, volume=210994, vwap=5.066, timestamp=1697198400000, transactions=1404, otc=None)
Agg(open=5.09, high=5.13, low=4.99, close=5.1, volume=3248375.0, vwap=5.0594, timestamp=1697202000000, transactions=9881, otc=None)
Agg(open=5.1, high=5.11, low=5.04, close=5.07, volume=2421969.0, vwap=5.0736, timestamp=1697205600000, transactions=9573, otc=None)
Agg(open=5.075, high=5.11, low=5.0501, close=5.0714, volume=1543510.0, vwap=5.0828, timestamp=1697209200000, transactions=6916, otc=None)
Agg(open=5.075, high=5.1, low=5.04, close=5.04, volume=1233717.0, vwap=5.0718, timestamp=1697212800000, transactions=4693, otc=None)
Agg(open=5.0499, high=5.12, low=5.03, close=5.115, volume=2093176.0, vwap=5.078, timestamp=1697216400000, transactions=6443, otc=None)
Agg(open=5.1105, high=5.15, low=5.1, close=5.145, volume=1875224.0, vwap=5.1225, timestamp=1697220000000, transactions=5884, otc=None)
Agg(open=5.145, high=5.16, low=5.09, close=5.155, volume=4589698.0, vwap=5.1311, timestamp=1697223600000, transactions=12683, otc=None)
Agg(open=5.16, high=5.16, low=5.12, close=5.13, volume=663420, vwap=5.1568, timestamp=1697227200000, transactions=373, otc=None)
Agg(open=5.14, high=5.15, low=5.12, close=5.15, volume=25354, vwap=5.1354, timestamp=1697230800000, transactions=163, otc=None)
Agg(open=5.15, high=5.15, low=5.13, close=5.14, volume=28197, vwap=5.1401, timestamp=1697234400000, transactions=103, otc=None)
Agg(open=5.135, high=5.14, low=5.11, close=5.12, volume=18819, vwap=5.1251, timestamp=1697238000000, transactions=106, otc=None)
