Agg(open=5.885, high=5.89, low=5.88, close=5.89, volume=35531, vwap=5.8856, timestamp=1694646000000, transactions=116, otc=None)
Agg(open=5.9, high=5.9, low=5.88, close=5.89, volume=6675, vwap=5.885, timestamp=1694678400000, transactions=63, otc=None)
Agg(open=5.88, high=5.89, low=5.88, close=5.88, volume=6222, vwap=5.884, timestamp=1694682000000, transactions=42, otc=None)
Agg(open=5.88, high=5.91, low=5.88, close=5.91, volume=22358, vwap=5.8939, timestamp=1694685600000, transactions=107, otc=None)
Agg(open=5.91, high=5.91, low=5.89, close=5.9, volume=18606, vwap=5.8994, timestamp=1694689200000, transactions=125, otc=None)
Agg(open=5.91, high=5.91, low=5.87, close=5.9, volume=108831, vwap=5.8943, timestamp=1694692800000, transactions=902, otc=None)
Agg(open=5.89, high=5.99, low=5.85, close=5.9209, volume=2486149.0, vwap=5.9235, timestamp=1694696400000, transactions=7977, otc=None)
Agg(open=5.925, high=5.95, low=5.86, close=5.94, volume=2385659.0, vwap=5.9153, timestamp=1694700000000, transactions=10898, otc=None)
Agg(open=5.945, high=5.96, low=5.9, close=5.925, volume=2327376.0, vwap=5.9363, timestamp=1694703600000, transactions=8934, otc=None)
Agg(open=5.92, high=5.93, low=5.875, close=5.93, volume=1931811.0, vwap=5.9018, timestamp=1694707200000, transactions=6878, otc=None)
Agg(open=5.92, high=6, low=5.92, close=5.9906, volume=2319121.0, vwap=5.9633, timestamp=1694710800000, transactions=6663, otc=None)
Agg(open=6, high=6.06, low=5.96, close=6.0333, volume=3153250.0, vwap=6.0126, timestamp=1694714400000, transactions=7889, otc=None)
Agg(open=6.0396, high=6.05, low=6, close=6.01, volume=3206038.0, vwap=6.0296, timestamp=1694718000000, transactions=11570, otc=None)
Agg(open=6.01, high=6.03, low=5.98, close=6.01, volume=556711, vwap=6.0088, timestamp=1694721600000, transactions=416, otc=None)
Agg(open=6.01, high=6.02, low=5.99, close=6.01, volume=38384, vwap=6.0005, timestamp=1694725200000, transactions=195, otc=None)
Agg(open=6.01, high=6.02, low=6.01, close=6.02, volume=31462, vwap=6.0152, timestamp=1694728800000, transactions=113, otc=None)
Agg(open=6.01, high=6.03, low=6.01, close=6.03, volume=42155, vwap=6.0183, timestamp=1694732400000, transactions=156, otc=None)
Agg(open=6.01, high=6.04, low=6, close=6.02, volume=58597, vwap=6.0069, timestamp=1694764800000, transactions=301, otc=None)
Agg(open=6.02, high=6.03, low=6.01, close=6.01, volume=33775, vwap=6.0184, timestamp=1694768400000, transactions=189, otc=None)
Agg(open=6.02, high=6.02, low=6, close=6.02, volume=8679, vwap=6.0119, timestamp=1694772000000, transactions=81, otc=None)
Agg(open=6.02, high=6.03, low=6.01, close=6.03, volume=16892, vwap=6.0223, timestamp=1694775600000, transactions=152, otc=None)
