Agg(open=29, high=29.36, low=28.69, close=29.24, volume=347301, vwap=29.0544, timestamp=1679922000000, transactions=2813, otc=None)
Agg(open=29.22, high=29.44, low=28.91, close=28.92, volume=292725, vwap=29.1526, timestamp=1679925600000, transactions=3820, otc=None)
Agg(open=28.915, high=28.93, low=28.64, close=28.66, volume=121910, vwap=28.8313, timestamp=1679929200000, transactions=1743, otc=None)
Agg(open=28.655, high=28.725, low=28.42, close=28.71, volume=357250, vwap=28.6168, timestamp=1679932800000, transactions=3297, otc=None)
Agg(open=28.71, high=28.82, low=28.635, close=28.78, volume=256350, vwap=28.7101, timestamp=1679936400000, transactions=2418, otc=None)
Agg(open=28.79, high=28.9596, low=28.75, close=28.915, volume=204425, vwap=28.8573, timestamp=1679940000000, transactions=2688, otc=None)
Agg(open=28.915, high=28.98, low=28.52, close=28.54, volume=1362493.0, vwap=28.6585, timestamp=1679943600000, transactions=9257, otc=None)
Agg(open=28.55, high=28.55, low=28.55, close=28.55, volume=32552, vwap=28.55, timestamp=1679947200000, transactions=15, otc=None)
Agg(open=28.54, high=28.93, low=28.54, close=28.7775, volume=166336, vwap=28.8124, timestamp=1680008400000, transactions=1065, otc=None)
Agg(open=28.785, high=28.79, low=28.46, close=28.495, volume=565659, vwap=28.6173, timestamp=1680012000000, transactions=4312, otc=None)
Agg(open=28.495, high=28.575, low=28.245, close=28.285, volume=246554, vwap=28.4153, timestamp=1680015600000, transactions=2697, otc=None)
Agg(open=28.285, high=28.435, low=28.26, close=28.4, volume=183804, vwap=28.3485, timestamp=1680019200000, transactions=2146, otc=None)
Agg(open=28.405, high=28.53, low=28.01, close=28.05, volume=249649, vwap=28.3197, timestamp=1680022800000, transactions=2317, otc=None)
Agg(open=28.045, high=28.045, low=27.555, close=27.665, volume=706242, vwap=27.8114, timestamp=1680026400000, transactions=5545, otc=None)
Agg(open=27.67, high=27.68, low=27.15, close=27.24, volume=1505758.0, vwap=27.3702, timestamp=1680030000000, transactions=11122, otc=None)
