Agg(open=5.8899, high=5.9, low=5.8899, close=5.9, volume=2356, vwap=5.8981, timestamp=1689890400000, transactions=3, otc=None)
Agg(open=5.93, high=5.93, low=5.93, close=5.93, volume=100, vwap=5.93, timestamp=1689937200000, transactions=1, otc=None)
Agg(open=5.96, high=5.96, low=5.87, close=5.87, volume=4774, vwap=5.9163, timestamp=1689940800000, transactions=23, otc=None)
Agg(open=5.86, high=5.93, low=5.85, close=5.85, volume=693405, vwap=5.883, timestamp=1689944400000, transactions=1681, otc=None)
Agg(open=5.855, high=5.89, low=5.82, close=5.835, volume=569406, vwap=5.8451, timestamp=1689948000000, transactions=2618, otc=None)
Agg(open=5.835, high=5.87, low=5.82, close=5.83, volume=321383, vwap=5.8501, timestamp=1689951600000, transactions=1799, otc=None)
Agg(open=5.83, high=5.84, low=5.81, close=5.8201, volume=309903, vwap=5.8249, timestamp=1689955200000, transactions=1936, otc=None)
Agg(open=5.825, high=5.84, low=5.82, close=5.825, volume=233550, vwap=5.8311, timestamp=1689958800000, transactions=1554, otc=None)
Agg(open=5.825, high=5.84, low=5.81, close=5.825, volume=244247, vwap=5.8276, timestamp=1689962400000, transactions=1719, otc=None)
Agg(open=5.825, high=5.85, low=5.81, close=5.845, volume=533728, vwap=5.8372, timestamp=1689966000000, transactions=3487, otc=None)
Agg(open=5.84, high=5.84, low=5.8102, close=5.84, volume=27171, vwap=5.8398, timestamp=1689969600000, transactions=12, otc=None)
Agg(open=5.84, high=5.8404, low=5.84, close=5.8404, volume=2900, vwap=5.8401, timestamp=1689973200000, transactions=9, otc=None)
Agg(open=5.84, high=5.84, low=5.84, close=5.84, volume=410, vwap=5.8402, timestamp=1689980400000, transactions=7, otc=None)
