Agg(open=3.46, high=3.5, low=3.46, close=3.48, volume=4214, vwap=3.4739, timestamp=1672736400000, transactions=22, otc=None)
Agg(open=3.5, high=3.5, low=3.47, close=3.47, volume=1101, vwap=3.4837, timestamp=1672740000000, transactions=6, otc=None)
Agg(open=3.5, high=3.5, low=3.47, close=3.47, volume=902, vwap=3.4762, timestamp=1672743600000, transactions=7, otc=None)
Agg(open=3.49, high=3.49, low=3.4, close=3.43, volume=45427, vwap=3.4155, timestamp=1672747200000, transactions=102, otc=None)
Agg(open=3.4555, high=3.49, low=3.4, close=3.45, volume=61146, vwap=3.4241, timestamp=1672750800000, transactions=214, otc=None)
Agg(open=3.45, high=3.67, low=3.43, close=3.4394, volume=2008811.0, vwap=3.5665, timestamp=1672754400000, transactions=6389, otc=None)
Agg(open=3.4365, high=3.47, low=3.355, close=3.445, volume=1306699.0, vwap=3.4066, timestamp=1672758000000, transactions=4530, otc=None)
Agg(open=3.445, high=3.45, low=3.34, close=3.355, volume=769089, vwap=3.3903, timestamp=1672761600000, transactions=2951, otc=None)
Agg(open=3.355, high=3.4, low=3.3, close=3.325, volume=807279, vwap=3.3438, timestamp=1672765200000, transactions=3025, otc=None)
Agg(open=3.325, high=3.35, low=3.3, close=3.345, volume=413866, vwap=3.3278, timestamp=1672768800000, transactions=2323, otc=None)
Agg(open=3.3459, high=3.38, low=3.32, close=3.36, volume=332791, vwap=3.3416, timestamp=1672772400000, transactions=2004, otc=None)
Agg(open=3.365, high=3.415, low=3.36, close=3.375, volume=1321597.0, vwap=3.388, timestamp=1672776000000, transactions=4795, otc=None)
Agg(open=3.37, high=3.38, low=3.34, close=3.36, volume=18452, vwap=3.3614, timestamp=1672779600000, transactions=71, otc=None)
Agg(open=3.37, high=3.37, low=3.35, close=3.37, volume=4308, vwap=3.3655, timestamp=1672783200000, transactions=29, otc=None)
Agg(open=3.37, high=3.37, low=3.34, close=3.36, volume=12760, vwap=3.3504, timestamp=1672786800000, transactions=19, otc=None)
Agg(open=3.37, high=3.3909, low=3.35, close=3.3909, volume=17857, vwap=3.3712, timestamp=1672790400000, transactions=33, otc=None)
Agg(open=3.42, high=3.43, low=3.42, close=3.43, volume=1170, vwap=3.4278, timestamp=1672822800000, transactions=8, otc=None)
Agg(open=3.42, high=3.44, low=3.42, close=3.44, volume=497, vwap=3.428, timestamp=1672830000000, transactions=4, otc=None)
Agg(open=3.42, high=3.43, low=3.4, close=3.42, volume=7763, vwap=3.4118, timestamp=1672833600000, transactions=46, otc=None)
Agg(open=3.42, high=3.45, low=3.38, close=3.43, volume=87974, vwap=3.4326, timestamp=1672837200000, transactions=157, otc=None)
Agg(open=3.44, high=3.6099, low=3.38, close=3.535, volume=1535292.0, vwap=3.5156, timestamp=1672840800000, transactions=3756, otc=None)
Agg(open=3.52, high=3.75, low=3.44, close=3.71, volume=1758755.0, vwap=3.5893, timestamp=1672844400000, transactions=5405, otc=None)
Agg(open=3.715, high=3.91, low=3.7, close=3.825, volume=2799956.0, vwap=3.8327, timestamp=1672848000000, transactions=7224, otc=None)
Agg(open=3.8275, high=3.88, low=3.77, close=3.8299, volume=1186918.0, vwap=3.8352, timestamp=1672851600000, transactions=3857, otc=None)
Agg(open=3.825, high=3.95, low=3.78, close=3.8715, volume=1271785.0, vwap=3.8845, timestamp=1672855200000, transactions=3873, otc=None)
Agg(open=3.87, high=3.912, low=3.79, close=3.895, volume=1508227.0, vwap=3.8421, timestamp=1672858800000, transactions=5092, otc=None)
Agg(open=3.89, high=3.91, low=3.82, close=3.9, volume=1612178.0, vwap=3.869, timestamp=1672862400000, transactions=6616, otc=None)
Agg(open=3.88, high=3.93, low=3.86, close=3.92, volume=89802, vwap=3.8889, timestamp=1672866000000, transactions=188, otc=None)
Agg(open=3.9299, high=3.94, low=3.86, close=3.88, volume=60919, vwap=3.9242, timestamp=1672869600000, transactions=148, otc=None)
Agg(open=3.92, high=4.19, low=3.89, close=4.06, volume=141550, vwap=4.0028, timestamp=1672873200000, transactions=389, otc=None)
Agg(open=4.05, high=4.15, low=4.01, close=4.01, volume=77464, vwap=4.0831, timestamp=1672876800000, transactions=292, otc=None)
Agg(open=3.91, high=4, low=3.9, close=3.99, volume=5745, vwap=3.9628, timestamp=1672909200000, transactions=29, otc=None)
Agg(open=3.96, high=4.04, low=3.95, close=4.03, volume=7976, vwap=3.9996, timestamp=1672912800000, transactions=22, otc=None)
Agg(open=4.03, high=4.04, low=3.95, close=4, volume=11115, vwap=4.0092, timestamp=1672916400000, transactions=32, otc=None)
Agg(open=4.01, high=4.01, low=3.83, close=3.85, volume=117630, vwap=3.8866, timestamp=1672920000000, transactions=396, otc=None)
Agg(open=3.88, high=4.0585, low=3.75, close=3.83, volume=312177, vwap=3.8349, timestamp=1672923600000, transactions=689, otc=None)
Agg(open=3.77, high=3.98, low=3.7, close=3.865, volume=1680167.0, vwap=3.7902, timestamp=1672927200000, transactions=5835, otc=None)
Agg(open=3.86, high=4.05, low=3.81, close=3.941, volume=2783404.0, vwap=3.9318, timestamp=1672930800000, transactions=9696, otc=None)
Agg(open=3.9429, high=4.09, low=3.935, close=4.03, volume=1828567.0, vwap=4.0179, timestamp=1672934400000, transactions=5535, otc=None)
Agg(open=4.025, high=4.14, low=4.02, close=4.0533, volume=1593356.0, vwap=4.0953, timestamp=1672938000000, transactions=5278, otc=None)
Agg(open=4.055, high=4.277, low=4.045, close=4.2399, volume=2193653.0, vwap=4.1806, timestamp=1672941600000, transactions=6959, otc=None)
Agg(open=4.2308, high=4.24, low=4.16, close=4.1913, volume=923036, vwap=4.2072, timestamp=1672945200000, transactions=4146, otc=None)
Agg(open=4.19, high=4.25, low=4.16, close=4.23, volume=2324367.0, vwap=4.2205, timestamp=1672948800000, transactions=7984, otc=None)
Agg(open=4.22, high=4.24, low=4.2075, close=4.23, volume=67742, vwap=4.2226, timestamp=1672952400000, transactions=201, otc=None)
Agg(open=4.22, high=4.23, low=4.16, close=4.2, volume=8684, vwap=4.2, timestamp=1672956000000, transactions=51, otc=None)
Agg(open=4.2, high=4.2, low=4.11, close=4.2, volume=15826, vwap=4.1692, timestamp=1672959600000, transactions=76, otc=None)
