Agg(open=9.02, high=9.02, low=9, close=9, volume=2742, vwap=9.0044, timestamp=1695038400000, transactions=3, otc=None)
Agg(open=9, high=9.07, low=8.965, close=8.98, volume=119122, vwap=9.012, timestamp=1695042000000, transactions=1098, otc=None)
Agg(open=8.97, high=9.035, low=8.93, close=8.95, volume=168494, vwap=8.9842, timestamp=1695045600000, transactions=2156, otc=None)
Agg(open=8.955, high=9, low=8.92, close=8.95, volume=128912, vwap=8.9541, timestamp=1695049200000, transactions=1541, otc=None)
Agg(open=8.955, high=8.965, low=8.915, close=8.9311, volume=85977, vwap=8.9358, timestamp=1695052800000, transactions=977, otc=None)
Agg(open=8.935, high=8.94, low=8.88, close=8.93, volume=116146, vwap=8.9025, timestamp=1695056400000, transactions=1116, otc=None)
Agg(open=8.925, high=8.94, low=8.84, close=8.865, volume=111072, vwap=8.8828, timestamp=1695060000000, transactions=1205, otc=None)
Agg(open=8.865, high=8.925, low=8.82, close=8.87, volume=592274, vwap=8.8812, timestamp=1695063600000, transactions=3639, otc=None)
Agg(open=8.86, high=8.88, low=8.86, close=8.88, volume=44115, vwap=8.86, timestamp=1695067200000, transactions=13, otc=None)
Agg(open=8.86, high=8.8889, low=8.66, close=8.67, volume=370153, vwap=8.7586, timestamp=1695128400000, transactions=1680, otc=None)
Agg(open=8.66, high=8.77, low=8.66, close=8.72, volume=230915, vwap=8.7336, timestamp=1695132000000, transactions=1986, otc=None)
Agg(open=8.71, high=8.715, low=8.66, close=8.665, volume=119745, vwap=8.6746, timestamp=1695135600000, transactions=1363, otc=None)
Agg(open=8.6625, high=8.6699, low=8.59, close=8.615, volume=218069, vwap=8.6227, timestamp=1695139200000, transactions=1774, otc=None)
Agg(open=8.615, high=8.69, low=8.615, close=8.66, volume=167859, vwap=8.6703, timestamp=1695142800000, transactions=1465, otc=None)
Agg(open=8.665, high=8.75, low=8.63, close=8.6346, volume=168183, vwap=8.6926, timestamp=1695146400000, transactions=2018, otc=None)
Agg(open=8.63, high=8.64, low=8.59, close=8.64, volume=550009, vwap=8.6166, timestamp=1695150000000, transactions=4260, otc=None)
Agg(open=8.64, high=8.64, low=8.64, close=8.64, volume=27879, vwap=8.64, timestamp=1695153600000, transactions=10, otc=None)
Agg(open=8.67, high=8.67, low=8.67, close=8.67, volume=200, vwap=8.67, timestamp=1695157200000, transactions=1, otc=None)
Agg(open=8.71, high=8.71, low=8.71, close=8.71, volume=500, vwap=8.71, timestamp=1695207600000, transactions=1, otc=None)
Agg(open=8.92, high=8.92, low=8.92, close=8.92, volume=1000, vwap=8.92, timestamp=1695211200000, transactions=1, otc=None)
Agg(open=8.71, high=8.785, low=8.68, close=8.69, volume=129076, vwap=8.7258, timestamp=1695214800000, transactions=1159, otc=None)
Agg(open=8.69, high=8.7, low=8.61, close=8.645, volume=168218, vwap=8.6451, timestamp=1695218400000, transactions=1842, otc=None)
Agg(open=8.64, high=8.7251, low=8.635, close=8.715, volume=204400, vwap=8.6752, timestamp=1695222000000, transactions=2138, otc=None)
Agg(open=8.715, high=8.75, low=8.68, close=8.745, volume=452362, vwap=8.7181, timestamp=1695225600000, transactions=2060, otc=None)
Agg(open=8.745, high=8.7475, low=8.68, close=8.6891, volume=323221, vwap=8.7172, timestamp=1695229200000, transactions=1945, otc=None)
Agg(open=8.68, high=8.7, low=8.625, close=8.64, volume=254664, vwap=8.6604, timestamp=1695232800000, transactions=2493, otc=None)
Agg(open=8.645, high=8.65, low=8.5, close=8.5, volume=476405, vwap=8.5523, timestamp=1695236400000, transactions=3498, otc=None)
Agg(open=8.51, high=8.51, low=8.51, close=8.51, volume=40500, vwap=8.51, timestamp=1695240000000, transactions=16, otc=None)
Agg(open=8.503, high=8.55, low=8.503, close=8.54, volume=1369, vwap=8.5316, timestamp=1695243600000, transactions=6, otc=None)
Agg(open=8.54, high=8.55, low=8.49, close=8.55, volume=1200, vwap=8.5042, timestamp=1695247200000, transactions=4, otc=None)
Agg(open=8.49, high=8.49, low=8.49, close=8.49, volume=100, vwap=8.49, timestamp=1695283200000, transactions=1, otc=None)
Agg(open=8.57, high=8.58, low=8.57, close=8.58, volume=300, vwap=8.5767, timestamp=1695290400000, transactions=3, otc=None)
Agg(open=8.4, high=8.46, low=8.4, close=8.46, volume=733, vwap=8.4308, timestamp=1695294000000, transactions=12, otc=None)
Agg(open=8.48, high=8.48, low=8.39, close=8.39, volume=800, vwap=8.4319, timestamp=1695297600000, transactions=7, otc=None)
Agg(open=8.36, high=8.46, low=8.24, close=8.29, volume=519129, vwap=8.3326, timestamp=1695301200000, transactions=3245, otc=None)
Agg(open=8.285, high=8.42, low=8.245, close=8.345, volume=537194, vwap=8.3421, timestamp=1695304800000, transactions=3407, otc=None)
Agg(open=8.35, high=8.38, low=8.29, close=8.32, volume=498694, vwap=8.3263, timestamp=1695308400000, transactions=2945, otc=None)
Agg(open=8.315, high=8.36, low=8.3, close=8.315, volume=407408, vwap=8.3277, timestamp=1695312000000, transactions=1807, otc=None)
Agg(open=8.315, high=8.42, low=8.3015, close=8.405, volume=439862, vwap=8.3658, timestamp=1695315600000, transactions=2183, otc=None)
Agg(open=8.405, high=8.42, low=8.36, close=8.365, volume=350282, vwap=8.3918, timestamp=1695319200000, transactions=1880, otc=None)
Agg(open=8.36, high=8.37, low=8.26, close=8.28, volume=585424, vwap=8.3107, timestamp=1695322800000, transactions=3902, otc=None)
Agg(open=8.27, high=8.27, low=8.27, close=8.27, volume=41003, vwap=8.27, timestamp=1695326400000, transactions=21, otc=None)
Agg(open=8.25, high=8.25, low=8.25, close=8.25, volume=3760, vwap=8.25, timestamp=1695330000000, transactions=2, otc=None)
Agg(open=8.28, high=8.28, low=8.28, close=8.28, volume=100, vwap=8.28, timestamp=1695369600000, transactions=1, otc=None)
Agg(open=8.29, high=8.29, low=8.29, close=8.29, volume=338, vwap=8.29, timestamp=1695373200000, transactions=1, otc=None)
Agg(open=8.4, high=8.4, low=8.4, close=8.4, volume=160, vwap=8.425, timestamp=1695384000000, transactions=2, otc=None)
Agg(open=8.39, high=8.5, low=8.29, close=8.355, volume=275530, vwap=8.3856, timestamp=1695387600000, transactions=2004, otc=None)
Agg(open=8.355, high=8.46, low=8.3, close=8.41, volume=286497, vwap=8.3944, timestamp=1695391200000, transactions=2671, otc=None)
Agg(open=8.415, high=8.435, low=8.375, close=8.38, volume=198824, vwap=8.399, timestamp=1695394800000, transactions=2040, otc=None)
Agg(open=8.38, high=8.41, low=8.33, close=8.395, volume=294991, vwap=8.3766, timestamp=1695398400000, transactions=1705, otc=None)
Agg(open=8.39, high=8.42, low=8.3716, close=8.385, volume=170685, vwap=8.3874, timestamp=1695402000000, transactions=1551, otc=None)
Agg(open=8.385, high=8.4, low=8.31, close=8.34, volume=244934, vwap=8.3527, timestamp=1695405600000, transactions=1679, otc=None)
Agg(open=8.33, high=8.4, low=8.33, close=8.355, volume=1100990.0, vwap=8.3578, timestamp=1695409200000, transactions=5298, otc=None)
Agg(open=8.35, high=8.35, low=8.35, close=8.35, volume=37580, vwap=8.35, timestamp=1695412800000, transactions=18, otc=None)
