Agg(open=16.83, high=17.05, low=16.83, close=16.99, volume=96508, vwap=16.9818, timestamp=1690808400000, transactions=1454, otc=None)
Agg(open=17, high=17.12, low=16.95, close=17.08, volume=210748, vwap=17.0321, timestamp=1690812000000, transactions=3084, otc=None)
Agg(open=17.07, high=17.115, low=16.98, close=17.02, volume=186884, vwap=17.045, timestamp=1690815600000, transactions=2514, otc=None)
Agg(open=17.0195, high=17.17, low=17.0195, close=17.115, volume=183439, vwap=17.1207, timestamp=1690819200000, transactions=2455, otc=None)
Agg(open=17.115, high=17.155, low=17.05, close=17.135, volume=155519, vwap=17.102, timestamp=1690822800000, transactions=2274, otc=None)
Agg(open=17.135, high=17.22, low=17.07, close=17.195, volume=269930, vwap=17.1314, timestamp=1690826400000, transactions=3091, otc=None)
Agg(open=17.195, high=17.29, low=17.135, close=17.28, volume=804934, vwap=17.2031, timestamp=1690830000000, transactions=7447, otc=None)
Agg(open=17.28, high=17.28, low=17.28, close=17.28, volume=24201, vwap=17.28, timestamp=1690833600000, transactions=18, otc=None)
Agg(open=17.26, high=17.52, low=17.14, close=17.395, volume=258145, vwap=17.3704, timestamp=1690894800000, transactions=2305, otc=None)
Agg(open=17.395, high=17.445, low=17.24, close=17.39, volume=364067, vwap=17.356, timestamp=1690898400000, transactions=3881, otc=None)
Agg(open=17.39, high=17.595, low=17.38, close=17.48, volume=390503, vwap=17.4751, timestamp=1690902000000, transactions=4373, otc=None)
Agg(open=17.475, high=17.55, low=17.4725, close=17.55, volume=193264, vwap=17.5097, timestamp=1690905600000, transactions=2310, otc=None)
Agg(open=17.55, high=17.68, low=17.53, close=17.61, volume=236016, vwap=17.5952, timestamp=1690909200000, transactions=2885, otc=None)
Agg(open=17.61, high=17.765, low=17.58, close=17.675, volume=360831, vwap=17.661, timestamp=1690912800000, transactions=4110, otc=None)
Agg(open=17.675, high=17.7, low=17.575, close=17.68, volume=910882, vwap=17.649, timestamp=1690916400000, transactions=8808, otc=None)
Agg(open=17.65, high=17.65, low=17.65, close=17.65, volume=28506, vwap=17.65, timestamp=1690920000000, transactions=19, otc=None)
Agg(open=18.26, high=18.26, low=18.26, close=18.26, volume=2500, vwap=18.26, timestamp=1690930800000, transactions=1, otc=None)
Agg(open=18.34, high=18.34, low=18.34, close=18.34, volume=200, vwap=18.34, timestamp=1690974000000, transactions=1, otc=None)
Agg(open=17.71, high=17.71, low=17.19, close=17.19, volume=200, vwap=17.45, timestamp=1690977600000, transactions=2, otc=None)
Agg(open=16.99, high=18.465, low=16.99, close=18.31, volume=540157, vwap=18.0191, timestamp=1690981200000, transactions=5011, otc=None)
Agg(open=18.31, high=18.535, low=18.11, close=18.255, volume=686839, vwap=18.3204, timestamp=1690984800000, transactions=7419, otc=None)
Agg(open=18.255, high=18.255, low=17.835, close=17.895, volume=390466, vwap=18.0465, timestamp=1690988400000, transactions=5342, otc=None)
Agg(open=17.895, high=18.17, low=17.895, close=18.15, volume=312574, vwap=18.001, timestamp=1690992000000, transactions=3784, otc=None)
Agg(open=18.15, high=18.15, low=18.02, close=18.125, volume=212207, vwap=18.0945, timestamp=1690995600000, transactions=2800, otc=None)
Agg(open=18.125, high=18.255, low=18.005, close=18.11, volume=226990, vwap=18.1282, timestamp=1690999200000, transactions=3352, otc=None)
Agg(open=18.12, high=18.235, low=18, close=18.22, volume=1688251.0, vwap=18.1128, timestamp=1691002800000, transactions=15066, otc=None)
Agg(open=18.22, high=18.22, low=18.22, close=18.22, volume=35474, vwap=18.22, timestamp=1691006400000, transactions=21, otc=None)
Agg(open=18.54, high=18.54, low=18.54, close=18.54, volume=156, vwap=18.54, timestamp=1691010000000, transactions=1, otc=None)
Agg(open=18.53, high=18.53, low=18.05, close=18.24, volume=228545, vwap=18.3324, timestamp=1691067600000, transactions=2237, otc=None)
Agg(open=18.245, high=18.33, low=18.02, close=18.06, volume=291200, vwap=18.185, timestamp=1691071200000, transactions=4036, otc=None)
Agg(open=18.07, high=18.185, low=17.96, close=18, volume=295860, vwap=18.0305, timestamp=1691074800000, transactions=3139, otc=None)
Agg(open=17.99, high=18.02, low=17.715, close=17.725, volume=219952, vwap=17.8562, timestamp=1691078400000, transactions=2721, otc=None)
Agg(open=17.725, high=17.725, low=17.45, close=17.52, volume=223755, vwap=17.5444, timestamp=1691082000000, transactions=3041, otc=None)
Agg(open=17.52, high=17.56, low=17.37, close=17.385, volume=240315, vwap=17.4495, timestamp=1691085600000, transactions=2986, otc=None)
Agg(open=17.385, high=17.57, low=17.265, close=17.51, volume=651210, vwap=17.4526, timestamp=1691089200000, transactions=7150, otc=None)
Agg(open=17.53, high=17.53, low=17.53, close=17.53, volume=42407, vwap=17.53, timestamp=1691092800000, transactions=29, otc=None)
Agg(open=18.07, high=18.07, low=18.07, close=18.07, volume=129, vwap=18.07, timestamp=1691136000000, transactions=1, otc=None)
Agg(open=17.64, high=17.695, low=17.4639, close=17.59, volume=102984, vwap=17.6001, timestamp=1691154000000, transactions=1335, otc=None)
Agg(open=17.585, high=17.63, low=17.485, close=17.6, volume=144205, vwap=17.5782, timestamp=1691157600000, transactions=2184, otc=None)
Agg(open=17.615, high=17.615, low=17.145, close=17.19, volume=405397, vwap=17.321, timestamp=1691161200000, transactions=4716, otc=None)
Agg(open=17.2, high=17.54, low=17.18, close=17.375, volume=423749, vwap=17.3526, timestamp=1691164800000, transactions=4099, otc=None)
Agg(open=17.375, high=17.42, low=17.29, close=17.32, volume=256279, vwap=17.3467, timestamp=1691168400000, transactions=3193, otc=None)
Agg(open=17.315, high=17.32, low=17.17, close=17.235, volume=398786, vwap=17.2731, timestamp=1691172000000, transactions=4121, otc=None)
Agg(open=17.235, high=17.32, low=17.2, close=17.295, volume=502831, vwap=17.2677, timestamp=1691175600000, transactions=6452, otc=None)
Agg(open=17.3, high=17.3, low=17.3, close=17.3, volume=19561, vwap=17.3, timestamp=1691179200000, transactions=26, otc=None)
