Agg(open=16, high=16.53, low=15.9, close=15.9, volume=1032, vwap=16.1478, timestamp=1690196400000, transactions=12, otc=None)
Agg(open=15.72, high=15.79, low=15.705, close=15.745, volume=76712, vwap=15.7543, timestamp=1690203600000, transactions=845, otc=None)
Agg(open=15.75, high=15.805, low=15.735, close=15.745, volume=185997, vwap=15.7661, timestamp=1690207200000, transactions=1634, otc=None)
Agg(open=15.74, high=15.815, low=15.73, close=15.79, volume=370488, vwap=15.7779, timestamp=1690210800000, transactions=2693, otc=None)
Agg(open=15.7899, high=15.84, low=15.7899, close=15.8382, volume=214164, vwap=15.8073, timestamp=1690214400000, transactions=1725, otc=None)
Agg(open=15.835, high=15.92, low=15.83, close=15.92, volume=207301, vwap=15.8784, timestamp=1690218000000, transactions=1875, otc=None)
Agg(open=15.92, high=15.92, low=15.865, close=15.865, volume=183840, vwap=15.8911, timestamp=1690221600000, transactions=1763, otc=None)
Agg(open=15.87, high=15.87, low=15.8, close=15.815, volume=665175, vwap=15.8243, timestamp=1690225200000, transactions=3985, otc=None)
Agg(open=15.81, high=15.97, low=15.81, close=15.97, volume=26992, vwap=15.8128, timestamp=1690228800000, transactions=9, otc=None)
Agg(open=16.3019, high=16.3019, low=15.95, close=15.95, volume=700, vwap=16.0505, timestamp=1690286400000, transactions=2, otc=None)
Agg(open=15.9, high=15.9, low=15.818, close=15.835, volume=105049, vwap=15.8473, timestamp=1690290000000, transactions=1169, otc=None)
Agg(open=15.835, high=15.855, low=15.79, close=15.825, volume=255879, vwap=15.8272, timestamp=1690293600000, transactions=1905, otc=None)
Agg(open=15.825, high=15.855, low=15.8, close=15.855, volume=181448, vwap=15.8251, timestamp=1690297200000, transactions=1679, otc=None)
Agg(open=15.855, high=15.855, low=15.76, close=15.825, volume=162464, vwap=15.8039, timestamp=1690300800000, transactions=1429, otc=None)
Agg(open=15.825, high=15.83, low=15.79, close=15.79, volume=72365, vwap=15.8025, timestamp=1690304400000, transactions=846, otc=None)
Agg(open=15.8, high=15.81, low=15.77, close=15.795, volume=109488, vwap=15.7863, timestamp=1690308000000, transactions=997, otc=None)
Agg(open=15.795, high=15.815, low=15.765, close=15.81, volume=737192, vwap=15.7973, timestamp=1690311600000, transactions=3997, otc=None)
Agg(open=15.8, high=15.86, low=15.8, close=15.8, volume=155683, vwap=15.8001, timestamp=1690315200000, transactions=16, otc=None)
Agg(open=15.89, high=15.89, low=15.89, close=15.89, volume=126, vwap=15.89, timestamp=1690326000000, transactions=1, otc=None)
Agg(open=15.8, high=15.85, low=15.73, close=15.75, volume=80636, vwap=15.7778, timestamp=1690376400000, transactions=746, otc=None)
Agg(open=15.7302, high=15.7696, low=15.7, close=15.765, volume=126646, vwap=15.7322, timestamp=1690380000000, transactions=1414, otc=None)
Agg(open=15.7636, high=15.79, low=15.75, close=15.775, volume=81006, vwap=15.771, timestamp=1690383600000, transactions=918, otc=None)
