Agg(open=11, high=11, low=11, close=11, volume=1002, vwap=10.997, timestamp=1699869600000, transactions=4, otc=None)
Agg(open=10.98, high=10.98, low=10.93, close=10.93, volume=3809, vwap=10.9532, timestamp=1699876800000, transactions=16, otc=None)
Agg(open=10.94, high=11, low=10.89, close=10.94, volume=20396, vwap=10.9383, timestamp=1699880400000, transactions=58, otc=None)
Agg(open=10.94, high=10.99, low=10.59, close=10.62, volume=2016320.0, vwap=10.6997, timestamp=1699884000000, transactions=9130, otc=None)
Agg(open=10.62, high=10.7, low=10.59, close=10.645, volume=1657858.0, vwap=10.6383, timestamp=1699887600000, transactions=9883, otc=None)
Agg(open=10.645, high=10.81, low=10.63, close=10.76, volume=1655333.0, vwap=10.7126, timestamp=1699891200000, transactions=9605, otc=None)
Agg(open=10.77, high=10.77, low=10.62, close=10.68, volume=1340729.0, vwap=10.6644, timestamp=1699894800000, transactions=7780, otc=None)
Agg(open=10.67, high=10.71, low=10.6223, close=10.645, volume=1636201.0, vwap=10.6654, timestamp=1699898400000, transactions=7526, otc=None)
Agg(open=10.645, high=10.665, low=10.6, close=10.615, volume=1623873.0, vwap=10.6273, timestamp=1699902000000, transactions=7606, otc=None)
Agg(open=10.62, high=10.77, low=10.61, close=10.735, volume=4393553.0, vwap=10.7192, timestamp=1699905600000, transactions=17530, otc=None)
Agg(open=10.74, high=10.74, low=10.72, close=10.74, volume=161525, vwap=10.7391, timestamp=1699909200000, transactions=59, otc=None)
Agg(open=10.72, high=10.74, low=10.67, close=10.72, volume=18054, vwap=10.711, timestamp=1699912800000, transactions=87, otc=None)
Agg(open=10.73, high=10.7393, low=10.72, close=10.73, volume=5752, vwap=10.7286, timestamp=1699916400000, transactions=11, otc=None)
Agg(open=10.7301, high=10.78, low=10.73, close=10.78, volume=5078, vwap=10.749, timestamp=1699920000000, transactions=12, otc=None)
