Agg(open=8.71, high=9, low=8.71, close=8.99, volume=143509, vwap=8.9132, timestamp=1693227600000, transactions=1063, otc=None)
Agg(open=8.985, high=9.095, low=8.94, close=8.985, volume=260730, vwap=9.014, timestamp=1693231200000, transactions=2358, otc=None)
Agg(open=8.985, high=9.01, low=8.94, close=8.965, volume=112456, vwap=8.9716, timestamp=1693234800000, transactions=1191, otc=None)
Agg(open=8.965, high=9.01, low=8.96, close=9.005, volume=162544, vwap=8.9957, timestamp=1693238400000, transactions=1436, otc=None)
Agg(open=9.005, high=9.03, low=8.975, close=8.985, volume=227065, vwap=9.0019, timestamp=1693242000000, transactions=1431, otc=None)
Agg(open=8.985, high=9.03, low=8.975, close=8.995, volume=255033, vwap=9.0044, timestamp=1693245600000, transactions=2016, otc=None)
Agg(open=9, high=9.04, low=8.99, close=9.035, volume=720239, vwap=9.0129, timestamp=1693249200000, transactions=4248, otc=None)
Agg(open=9.04, high=9.04, low=9.04, close=9.04, volume=33619, vwap=9.04, timestamp=1693252800000, transactions=18, otc=None)
Agg(open=9.11, high=9.11, low=9, close=9.055, volume=102160, vwap=9.0473, timestamp=1693314000000, transactions=1071, otc=None)
Agg(open=9.06, high=9.145, low=9.05, close=9.105, volume=385199, vwap=9.1003, timestamp=1693317600000, transactions=3202, otc=None)
Agg(open=9.1075, high=9.16, low=9.1, close=9.115, volume=328914, vwap=9.1175, timestamp=1693321200000, transactions=2668, otc=None)
Agg(open=9.11, high=9.18, low=9.1, close=9.175, volume=861448, vwap=9.115, timestamp=1693324800000, transactions=1790, otc=None)
Agg(open=9.175, high=9.18, low=9.135, close=9.135, volume=281592, vwap=9.1561, timestamp=1693328400000, transactions=2032, otc=None)
Agg(open=9.14, high=9.25, low=9.1315, close=9.225, volume=1055664.0, vwap=9.1742, timestamp=1693332000000, transactions=2255, otc=None)
Agg(open=9.22, high=9.24, low=9.145, close=9.2, volume=1195084.0, vwap=9.1892, timestamp=1693335600000, transactions=5449, otc=None)
Agg(open=9.2, high=9.2, low=9.2, close=9.2, volume=28960, vwap=9.2, timestamp=1693339200000, transactions=14, otc=None)
Agg(open=9.21, high=9.24, low=9.11, close=9.195, volume=117250, vwap=9.1949, timestamp=1693400400000, transactions=1374, otc=None)
Agg(open=9.19, high=9.205, low=9.11, close=9.16, volume=149103, vwap=9.1631, timestamp=1693404000000, transactions=1872, otc=None)
Agg(open=9.165, high=9.2, low=9.11, close=9.185, volume=176929, vwap=9.1547, timestamp=1693407600000, transactions=2017, otc=None)
Agg(open=9.19, high=9.3, low=9.19, close=9.275, volume=473152, vwap=9.2483, timestamp=1693411200000, transactions=2394, otc=None)
Agg(open=9.27, high=9.275, low=9.21, close=9.245, volume=161724, vwap=9.2454, timestamp=1693414800000, transactions=1657, otc=None)
Agg(open=9.25, high=9.25, low=9.225, close=9.245, volume=263116, vwap=9.2442, timestamp=1693418400000, transactions=2069, otc=None)
Agg(open=9.245, high=9.25, low=9.2, close=9.2, volume=462930, vwap=9.2273, timestamp=1693422000000, transactions=4059, otc=None)
Agg(open=9.21, high=9.21, low=9.21, close=9.21, volume=40987, vwap=9.21, timestamp=1693425600000, transactions=17, otc=None)
Agg(open=9.26, high=9.305, low=9.19, close=9.265, volume=59362, vwap=9.2492, timestamp=1693486800000, transactions=1066, otc=None)
Agg(open=9.26, high=9.31, low=9.235, close=9.275, volume=141695, vwap=9.2701, timestamp=1693490400000, transactions=1706, otc=None)
Agg(open=9.275, high=9.315, low=9.2, close=9.215, volume=158773, vwap=9.2727, timestamp=1693494000000, transactions=1429, otc=None)
Agg(open=9.215, high=9.29, low=9.215, close=9.245, volume=118262, vwap=9.2655, timestamp=1693497600000, transactions=1122, otc=None)
Agg(open=9.245, high=9.2853, low=9.235, close=9.245, volume=83171, vwap=9.2588, timestamp=1693501200000, transactions=916, otc=None)
Agg(open=9.245, high=9.25, low=9.17, close=9.185, volume=105137, vwap=9.217, timestamp=1693504800000, transactions=1072, otc=None)
Agg(open=9.19, high=9.22, low=9.17, close=9.2, volume=329309, vwap=9.1921, timestamp=1693508400000, transactions=3012, otc=None)
Agg(open=9.19, high=9.19, low=9.19, close=9.19, volume=54034, vwap=9.19, timestamp=1693512000000, transactions=17, otc=None)
Agg(open=9.29, high=9.41, low=9.29, close=9.385, volume=98764, vwap=9.3691, timestamp=1693573200000, transactions=949, otc=None)
Agg(open=9.38, high=9.43, low=9.29, close=9.3, volume=114298, vwap=9.3684, timestamp=1693576800000, transactions=1252, otc=None)
Agg(open=9.3, high=9.305, low=9.21, close=9.21, volume=58376, vwap=9.2534, timestamp=1693580400000, transactions=792, otc=None)
Agg(open=9.21, high=9.235, low=9.2, close=9.215, volume=73737, vwap=9.2202, timestamp=1693584000000, transactions=1000, otc=None)
Agg(open=9.215, high=9.2895, low=9.195, close=9.2895, volume=109599, vwap=9.2373, timestamp=1693587600000, transactions=1160, otc=None)
Agg(open=9.29, high=9.33, low=9.27, close=9.33, volume=99358, vwap=9.2976, timestamp=1693591200000, transactions=1222, otc=None)
Agg(open=9.33, high=9.35, low=9.2825, close=9.32, volume=375630, vwap=9.3117, timestamp=1693594800000, transactions=2929, otc=None)
Agg(open=9.32, high=9.32, low=9.32, close=9.32, volume=16286, vwap=9.32, timestamp=1693598400000, transactions=18, otc=None)
