Agg(open=11.99, high=12.02, low=11.99, close=12, volume=2717, vwap=11.9985, timestamp=1698667200000, transactions=8, otc=None)
Agg(open=12.16, high=12.21, low=11.67, close=11.685, volume=342310, vwap=11.8795, timestamp=1698670800000, transactions=3279, otc=None)
Agg(open=11.685, high=11.795, low=11.575, close=11.735, volume=707393, vwap=11.6785, timestamp=1698674400000, transactions=6322, otc=None)
Agg(open=11.74, high=11.83, low=11.725, close=11.8, volume=431352, vwap=11.7678, timestamp=1698678000000, transactions=3886, otc=None)
Agg(open=11.81, high=11.91, low=11.78, close=11.83, volume=244560, vwap=11.8471, timestamp=1698681600000, transactions=2907, otc=None)
Agg(open=11.82, high=11.825, low=11.715, close=11.8026, volume=313180, vwap=11.7684, timestamp=1698685200000, transactions=3260, otc=None)
Agg(open=11.805, high=11.825, low=11.75, close=11.785, volume=203464, vwap=11.7805, timestamp=1698688800000, transactions=2392, otc=None)
Agg(open=11.79, high=11.86, low=11.73, close=11.77, volume=628925, vwap=11.7827, timestamp=1698692400000, transactions=6022, otc=None)
Agg(open=11.78, high=11.78, low=11.71, close=11.71, volume=217416, vwap=11.7796, timestamp=1698696000000, transactions=22, otc=None)
Agg(open=11.95, high=11.95, low=11.95, close=11.95, volume=200, vwap=11.95, timestamp=1698742800000, transactions=2, otc=None)
Agg(open=11.9, high=11.955, low=11.67, close=11.91, volume=235242, vwap=11.8253, timestamp=1698757200000, transactions=2386, otc=None)
Agg(open=11.9, high=11.93, low=11.78, close=11.84, volume=292304, vwap=11.8364, timestamp=1698760800000, transactions=3281, otc=None)
Agg(open=11.84, high=11.97, low=11.84, close=11.955, volume=405064, vwap=11.9137, timestamp=1698764400000, transactions=3342, otc=None)
Agg(open=11.96, high=12, low=11.84, close=11.875, volume=196356, vwap=11.9089, timestamp=1698768000000, transactions=2370, otc=None)
Agg(open=11.88, high=11.91, low=11.855, close=11.88, volume=160784, vwap=11.882, timestamp=1698771600000, transactions=2040, otc=None)
Agg(open=11.89, high=11.94, low=11.85, close=11.915, volume=213506, vwap=11.8916, timestamp=1698775200000, transactions=2451, otc=None)
Agg(open=11.9134, high=11.925, low=11.84, close=11.89, volume=936360, vwap=11.8698, timestamp=1698778800000, transactions=7939, otc=None)
Agg(open=11.9, high=11.9, low=11.9, close=11.9, volume=40336, vwap=11.9, timestamp=1698782400000, transactions=17, otc=None)
Agg(open=11.78, high=11.78, low=11.78, close=11.78, volume=2000, vwap=11.78, timestamp=1698789600000, transactions=2, otc=None)
Agg(open=12.03, high=12.07, low=11.67, close=11.78, volume=358183, vwap=11.8055, timestamp=1698843600000, transactions=2445, otc=None)
Agg(open=11.8, high=11.88, low=11.735, close=11.75, volume=633300, vwap=11.8038, timestamp=1698847200000, transactions=4079, otc=None)
Agg(open=11.741, high=11.745, low=11.48, close=11.495, volume=1596330.0, vwap=11.6064, timestamp=1698850800000, transactions=5954, otc=None)
Agg(open=11.495, high=11.63, low=11.415, close=11.455, volume=527091, vwap=11.517, timestamp=1698854400000, transactions=5250, otc=None)
Agg(open=11.455, high=11.48, low=11.345, close=11.375, volume=482048, vwap=11.413, timestamp=1698858000000, transactions=4103, otc=None)
Agg(open=11.38, high=11.62, low=11.3715, close=11.62, volume=604960, vwap=11.462, timestamp=1698861600000, transactions=5705, otc=None)
Agg(open=11.62, high=11.815, low=11.61, close=11.78, volume=939306, vwap=11.7279, timestamp=1698865200000, transactions=10123, otc=None)
Agg(open=11.8, high=11.8, low=11.8, close=11.8, volume=43369, vwap=11.8, timestamp=1698868800000, transactions=21, otc=None)
Agg(open=11.97, high=11.97, low=11.97, close=11.97, volume=108, vwap=11.9707, timestamp=1698915600000, transactions=3, otc=None)
Agg(open=11.73, high=11.9, low=11.73, close=11.8, volume=3323, vwap=11.857, timestamp=1698922800000, transactions=12, otc=None)
Agg(open=11.85, high=12, low=11.8, close=12, volume=3234, vwap=11.9104, timestamp=1698926400000, transactions=27, otc=None)
Agg(open=11.7819, high=12.16, low=11.7819, close=11.985, volume=447748, vwap=12.0469, timestamp=1698930000000, transactions=4129, otc=None)
Agg(open=11.97, high=11.975, low=11.805, close=11.885, volume=515745, vwap=11.8597, timestamp=1698933600000, transactions=4895, otc=None)
Agg(open=11.88, high=11.97, low=11.87, close=11.9, volume=227735, vwap=11.9193, timestamp=1698937200000, transactions=2923, otc=None)
Agg(open=11.9, high=11.97, low=11.815, close=11.885, volume=307238, vwap=11.8871, timestamp=1698940800000, transactions=3592, otc=None)
Agg(open=11.88, high=11.945, low=11.84, close=11.915, volume=480018, vwap=11.8962, timestamp=1698944400000, transactions=3913, otc=None)
Agg(open=11.91, high=11.93, low=11.88, close=11.895, volume=201452, vwap=11.8983, timestamp=1698948000000, transactions=2769, otc=None)
Agg(open=11.9, high=11.99, low=11.835, close=11.98, volume=1551091.0, vwap=11.9143, timestamp=1698951600000, transactions=10167, otc=None)
Agg(open=11.97, high=11.97, low=11.96, close=11.96, volume=249690, vwap=11.97, timestamp=1698955200000, transactions=30, otc=None)
Agg(open=11.96, high=11.96, low=11.96, close=11.96, volume=100, vwap=11.96, timestamp=1698958800000, transactions=1, otc=None)
Agg(open=12.05, high=12.15, low=12.05, close=12.08, volume=1050, vwap=12.1062, timestamp=1699012800000, transactions=5, otc=None)
