Agg(open=25.22, high=25.24, low=25.09, close=25.13, volume=3789, vwap=25.1911, timestamp=1678968000000, transactions=73, otc=None)
Agg(open=25.09, high=25.25, low=24.12, close=25, volume=265587, vwap=25.0399, timestamp=1678971600000, transactions=3116, otc=None)
Agg(open=25.01, high=25.19, low=24.54, close=25.09, volume=319467, vwap=24.8237, timestamp=1678975200000, transactions=4318, otc=None)
Agg(open=25.09, high=25.44, low=24.9455, close=25.36, volume=445270, vwap=25.2004, timestamp=1678978800000, transactions=5047, otc=None)
Agg(open=25.355, high=25.53, low=25.23, close=25.52, volume=330549, vwap=25.3563, timestamp=1678982400000, transactions=4525, otc=None)
Agg(open=25.525, high=25.565, low=25.15, close=25.175, volume=349035, vwap=25.3601, timestamp=1678986000000, transactions=4389, otc=None)
Agg(open=25.17, high=25.25, low=25.05, close=25.24, volume=247783, vwap=25.1421, timestamp=1678989600000, transactions=3971, otc=None)
Agg(open=25.24, high=25.43, low=25.17, close=25.24, volume=682350, vwap=25.2647, timestamp=1678993200000, transactions=8602, otc=None)
Agg(open=25.22, high=25.4691, low=25.01, close=25.23, volume=35017, vwap=25.2213, timestamp=1678996800000, transactions=19, otc=None)
Agg(open=25.01, high=25.45, low=25.01, close=25.45, volume=300, vwap=25.1567, timestamp=1679000400000, transactions=2, otc=None)
Agg(open=25.0101, high=25.2, low=25.0101, close=25.2, volume=600, vwap=25.1683, timestamp=1679007600000, transactions=3, otc=None)
Agg(open=25.72, high=25.97, low=25.68, close=25.7, volume=4228, vwap=25.7663, timestamp=1679040000000, transactions=65, otc=None)
Agg(open=25.52, high=25.52, low=25.33, close=25.33, volume=623, vwap=25.4677, timestamp=1679043600000, transactions=9, otc=None)
Agg(open=25.23, high=25.23, low=25.22, close=25.22, volume=379, vwap=25.2233, timestamp=1679050800000, transactions=7, otc=None)
Agg(open=25.17, high=25.17, low=24.99, close=25.01, volume=7015, vwap=25.0847, timestamp=1679054400000, transactions=82, otc=None)
Agg(open=25, high=25.25, low=24.7702, close=25.21, volume=263208, vwap=25.0574, timestamp=1679058000000, transactions=2610, otc=None)
Agg(open=25.22, high=25.42, low=24.58, close=24.68, volume=345001, vwap=24.9349, timestamp=1679061600000, transactions=4681, otc=None)
Agg(open=24.67, high=24.87, low=24.5, close=24.54, volume=237481, vwap=24.6278, timestamp=1679065200000, transactions=3860, otc=None)
Agg(open=24.535, high=24.74, low=24.42, close=24.49, volume=315265, vwap=24.547, timestamp=1679068800000, transactions=4320, otc=None)
Agg(open=24.5, high=24.685, low=24.495, close=24.685, volume=190118, vwap=24.6011, timestamp=1679072400000, transactions=2908, otc=None)
Agg(open=24.69, high=24.745, low=24.33, close=24.385, volume=247809, vwap=24.4673, timestamp=1679076000000, transactions=4026, otc=None)
Agg(open=24.39, high=24.65, low=24.35, close=24.59, volume=968337, vwap=24.5154, timestamp=1679079600000, transactions=10010, otc=None)
Agg(open=24.57, high=24.57, low=24.57, close=24.57, volume=63041, vwap=24.5701, timestamp=1679083200000, transactions=42, otc=None)
Agg(open=24.57, high=24.57, low=24.4042, close=24.56, volume=1746, vwap=24.5461, timestamp=1679086800000, transactions=7, otc=None)
Agg(open=24.57, high=24.63, low=24.57, close=24.62, volume=477, vwap=24.6008, timestamp=1679090400000, transactions=5, otc=None)
Agg(open=24.57, high=24.57, low=24.57, close=24.57, volume=1500, vwap=24.57, timestamp=1679094000000, transactions=1, otc=None)
