Agg(open=14.04, high=14.18, low=14, close=14.1, volume=3507, vwap=14.1085, timestamp=1684742400000, transactions=43, otc=None)
Agg(open=14.1, high=14.1, low=14.1, close=14.1, volume=300, vwap=14.1, timestamp=1684746000000, transactions=4, otc=None)
Agg(open=14.01, high=14.07, low=14, close=14.06, volume=2734, vwap=14.0485, timestamp=1684749600000, transactions=19, otc=None)
Agg(open=14.06, high=14.06, low=13.99, close=14, volume=3633, vwap=14.0251, timestamp=1684753200000, transactions=49, otc=None)
Agg(open=13.9999, high=14.17, low=13.95, close=14.12, volume=15785, vwap=14.1198, timestamp=1684756800000, transactions=118, otc=None)
Agg(open=14.12, high=14.35, low=13.83, close=14.25, volume=698841, vwap=14.1072, timestamp=1684760400000, transactions=5518, otc=None)
Agg(open=14.25, high=14.51, low=14.16, close=14.425, volume=1009556.0, vwap=14.3824, timestamp=1684764000000, transactions=10582, otc=None)
Agg(open=14.43, high=14.735, low=14.41, close=14.72, volume=818862, vwap=14.5531, timestamp=1684767600000, transactions=7304, otc=None)
Agg(open=14.725, high=14.88, low=14.695, close=14.768, volume=910835, vwap=14.7664, timestamp=1684771200000, transactions=6582, otc=None)
Agg(open=14.7601, high=15.04, low=14.7601, close=15.0199, volume=661587, vwap=14.9173, timestamp=1684774800000, transactions=6062, otc=None)
Agg(open=15.02, high=15.03, low=14.76, close=14.86, volume=843503, vwap=14.8799, timestamp=1684778400000, transactions=7011, otc=None)
Agg(open=14.86, high=14.87, low=14.76, close=14.78, volume=2266615.0, vwap=14.8105, timestamp=1684782000000, transactions=12203, otc=None)
Agg(open=14.78, high=14.86, low=14.74, close=14.74, volume=54073, vwap=14.7828, timestamp=1684785600000, transactions=52, otc=None)
Agg(open=14.6962, high=14.75, low=14.69, close=14.69, volume=3658, vwap=14.7058, timestamp=1684789200000, transactions=13, otc=None)
Agg(open=14.75, high=14.75, low=14.75, close=14.75, volume=200, vwap=14.7498, timestamp=1684792800000, transactions=3, otc=None)
Agg(open=14.75, high=14.95, low=14.75, close=14.95, volume=2589, vwap=14.8609, timestamp=1684796400000, transactions=10, otc=None)
Agg(open=15.2, high=15.34, low=15.2, close=15.24, volume=14812, vwap=15.272, timestamp=1684828800000, transactions=122, otc=None)
Agg(open=15.23, high=15.23, low=15.07, close=15.15, volume=3847, vwap=15.1696, timestamp=1684832400000, transactions=25, otc=None)
Agg(open=15.11, high=15.11, low=15.06, close=15.1, volume=1225, vwap=15.094, timestamp=1684836000000, transactions=10, otc=None)
Agg(open=15.08, high=15.1, low=14.95, close=14.95, volume=9749, vwap=15.0257, timestamp=1684839600000, transactions=84, otc=None)
Agg(open=15.0001, high=15.3585, low=14.85, close=14.88, volume=9376, vwap=14.9888, timestamp=1684843200000, transactions=109, otc=None)
Agg(open=14.85, high=15.07, low=14.6, close=15.01, volume=423662, vwap=14.8252, timestamp=1684846800000, transactions=3304, otc=None)
Agg(open=15.019, high=15.16, low=14.93, close=15.045, volume=678222, vwap=15.0575, timestamp=1684850400000, transactions=5928, otc=None)
Agg(open=15.04, high=15.115, low=14.9, close=15.01, volume=508748, vwap=15.0145, timestamp=1684854000000, transactions=5068, otc=None)
Agg(open=15.015, high=15.025, low=14.55, close=14.6095, volume=635266, vwap=14.7745, timestamp=1684857600000, transactions=5599, otc=None)
Agg(open=14.605, high=14.815, low=14.6, close=14.685, volume=390761, vwap=14.702, timestamp=1684861200000, transactions=3441, otc=None)
Agg(open=14.685, high=14.72, low=14.51, close=14.665, volume=592044, vwap=14.6043, timestamp=1684864800000, transactions=5177, otc=None)
Agg(open=14.665, high=14.9, low=14.63, close=14.82, volume=1465048.0, vwap=14.8016, timestamp=1684868400000, transactions=12496, otc=None)
Agg(open=14.83, high=14.83, low=14.82, close=14.8201, volume=37825, vwap=14.8298, timestamp=1684872000000, transactions=26, otc=None)
Agg(open=14.82, high=14.82, low=14.82, close=14.82, volume=1104, vwap=14.8222, timestamp=1684875600000, transactions=9, otc=None)
Agg(open=14.85, high=14.9, low=14.85, close=14.9, volume=1437, vwap=14.8709, timestamp=1684879200000, transactions=5, otc=None)
Agg(open=14.94, high=14.94, low=14.83, close=14.83, volume=1770, vwap=14.8367, timestamp=1684882800000, transactions=3, otc=None)
Agg(open=14.9, high=14.9, low=14.9, close=14.9, volume=202, vwap=14.9052, timestamp=1684915200000, transactions=4, otc=None)
Agg(open=14.9, high=14.9, low=14.9, close=14.9, volume=381, vwap=14.9052, timestamp=1684918800000, transactions=10, otc=None)
Agg(open=14.7, high=14.7, low=14.7, close=14.7, volume=257, vwap=14.7092, timestamp=1684922400000, transactions=6, otc=None)
Agg(open=14.75, high=14.8, low=14.7, close=14.75, volume=3255, vwap=14.7409, timestamp=1684926000000, transactions=30, otc=None)
Agg(open=14.75, high=14.85, low=14.7, close=14.7002, volume=12807, vwap=14.759, timestamp=1684929600000, transactions=43, otc=None)
Agg(open=14.65, high=14.69, low=13.885, close=13.895, volume=749032, vwap=14.2441, timestamp=1684933200000, transactions=5308, otc=None)
Agg(open=13.89, high=14.029, low=13.85, close=13.905, volume=814414, vwap=13.9325, timestamp=1684936800000, transactions=7645, otc=None)
Agg(open=13.91, high=13.925, low=13.68, close=13.7888, volume=662048, vwap=13.7851, timestamp=1684940400000, transactions=5890, otc=None)
Agg(open=13.79, high=13.89, low=13.63, close=13.785, volume=463863, vwap=13.7586, timestamp=1684944000000, transactions=4359, otc=None)
Agg(open=13.79, high=13.79, low=13.67, close=13.745, volume=409022, vwap=13.735, timestamp=1684947600000, transactions=3547, otc=None)
Agg(open=13.745, high=13.82, low=13.67, close=13.685, volume=452557, vwap=13.7323, timestamp=1684951200000, transactions=3959, otc=None)
Agg(open=13.685, high=13.82, low=13.67, close=13.8, volume=1745904.0, vwap=13.7514, timestamp=1684954800000, transactions=12443, otc=None)
Agg(open=13.8, high=13.9, low=13.8, close=13.86, volume=87861, vwap=13.8044, timestamp=1684958400000, transactions=39, otc=None)
Agg(open=13.85, high=13.9, low=13.8, close=13.83, volume=3234, vwap=13.8363, timestamp=1684962000000, transactions=18, otc=None)
Agg(open=13.81, high=13.9, low=13.81, close=13.9, volume=4653, vwap=13.8884, timestamp=1684965600000, transactions=9, otc=None)
Agg(open=13.9, high=13.9, low=13.9, close=13.9, volume=2476, vwap=13.9, timestamp=1684969200000, transactions=3, otc=None)
Agg(open=13.81, high=14.05, low=13.8, close=14.05, volume=500, vwap=13.856, timestamp=1685001600000, transactions=4, otc=None)
Agg(open=13.95, high=13.99, low=13.87, close=13.99, volume=505, vwap=13.9412, timestamp=1685008800000, transactions=6, otc=None)
Agg(open=13.86, high=13.86, low=13.86, close=13.86, volume=103, vwap=13.8635, timestamp=1685012400000, transactions=2, otc=None)
Agg(open=13.9999, high=13.9999, low=13.75, close=13.8, volume=9309, vwap=13.8815, timestamp=1685016000000, transactions=127, otc=None)
Agg(open=13.91, high=14.13, low=13.81, close=14.13, volume=524576, vwap=13.9735, timestamp=1685019600000, transactions=3749, otc=None)
Agg(open=14.13, high=14.19, low=13.78, close=13.86, volume=483820, vwap=13.9084, timestamp=1685023200000, transactions=4755, otc=None)
Agg(open=13.855, high=13.86, low=13.6, close=13.74, volume=412499, vwap=13.7119, timestamp=1685026800000, transactions=4107, otc=None)
Agg(open=13.74, high=13.775, low=13.585, close=13.6, volume=475793, vwap=13.6644, timestamp=1685030400000, transactions=3528, otc=None)
Agg(open=13.6, high=13.715, low=13.55, close=13.615, volume=295014, vwap=13.642, timestamp=1685034000000, transactions=2943, otc=None)
Agg(open=13.615, high=13.685, low=13.51, close=13.545, volume=379794, vwap=13.5905, timestamp=1685037600000, transactions=3805, otc=None)
Agg(open=13.55, high=13.645, low=13.53, close=13.55, volume=949578, vwap=13.5875, timestamp=1685041200000, transactions=7221, otc=None)
Agg(open=13.55, high=13.59, low=13.53, close=13.59, volume=17210, vwap=13.5506, timestamp=1685044800000, transactions=22, otc=None)
Agg(open=13.55, high=13.5992, low=13.55, close=13.5992, volume=1359, vwap=13.5612, timestamp=1685048400000, transactions=12, otc=None)
Agg(open=13.51, high=13.52, low=13.51, close=13.51, volume=3122, vwap=13.5107, timestamp=1685052000000, transactions=9, otc=None)
Agg(open=13.57, high=13.57, low=13.5, close=13.54, volume=1230, vwap=13.5276, timestamp=1685055600000, transactions=4, otc=None)
Agg(open=13.59, high=13.59, low=13.59, close=13.59, volume=100, vwap=13.59, timestamp=1685088000000, transactions=1, otc=None)
Agg(open=13.53, high=13.64, low=13.52, close=13.64, volume=3963, vwap=13.6096, timestamp=1685098800000, transactions=9, otc=None)
Agg(open=13.62, high=13.6685, low=13.5, close=13.55, volume=23654, vwap=13.615, timestamp=1685102400000, transactions=63, otc=None)
Agg(open=13.55, high=13.6588, low=13.3499, close=13.44, volume=306940, vwap=13.4478, timestamp=1685106000000, transactions=2835, otc=None)
Agg(open=13.45, high=13.95, low=13.45, close=13.945, volume=666335, vwap=13.7892, timestamp=1685109600000, transactions=5310, otc=None)
Agg(open=13.95, high=14.09, low=13.86, close=13.87, volume=928444, vwap=14.0002, timestamp=1685113200000, transactions=5888, otc=None)
Agg(open=13.8697, high=14.01, low=13.735, close=13.805, volume=828774, vwap=13.8399, timestamp=1685116800000, transactions=4138, otc=None)
Agg(open=13.81, high=13.86, low=13.74, close=13.77, volume=667941, vwap=13.8086, timestamp=1685120400000, transactions=3482, otc=None)
Agg(open=13.76, high=13.81, low=13.71, close=13.765, volume=246421, vwap=13.762, timestamp=1685124000000, transactions=2227, otc=None)
Agg(open=13.765, high=14.01, low=13.76, close=14, volume=1223889.0, vwap=13.9099, timestamp=1685127600000, transactions=7186, otc=None)
Agg(open=13.99, high=14.01, low=13.77, close=14.01, volume=42380, vwap=13.9752, timestamp=1685131200000, transactions=37, otc=None)
Agg(open=14.2, high=14.2, low=14.2, close=14.2, volume=120, vwap=14.2, timestamp=1685134800000, transactions=2, otc=None)
Agg(open=14, high=14, low=14, close=14, volume=500, vwap=14, timestamp=1685138400000, transactions=1, otc=None)
