Agg(open=16.27, high=16.45, low=16.1, close=16.4, volume=66061, vwap=16.3728, timestamp=1700488800000, transactions=441, otc=None)
Agg(open=16.38, high=16.47, low=16.32, close=16.32, volume=239616, vwap=16.3654, timestamp=1700492400000, transactions=1253, otc=None)
Agg(open=16.32, high=16.36, low=16.31, close=16.345, volume=198471, vwap=16.3386, timestamp=1700496000000, transactions=1832, otc=None)
Agg(open=16.3475, high=16.35, low=16.3, close=16.32, volume=115973, vwap=16.3278, timestamp=1700499600000, transactions=1109, otc=None)
Agg(open=16.31, high=16.35, low=16.245, close=16.25, volume=655675, vwap=16.2799, timestamp=1700503200000, transactions=2162, otc=None)
Agg(open=16.2527, high=16.31, low=16.23, close=16.23, volume=401566, vwap=16.2567, timestamp=1700506800000, transactions=1349, otc=None)
Agg(open=16.23, high=16.24, low=16.125, close=16.18, volume=350886, vwap=16.1722, timestamp=1700510400000, transactions=3580, otc=None)
Agg(open=16.18, high=16.18, low=16.08, close=16.08, volume=4411, vwap=16.1574, timestamp=1700514000000, transactions=17, otc=None)
Agg(open=16.19, high=16.335, low=16.11, close=16.125, volume=165238, vwap=16.1786, timestamp=1700575200000, transactions=674, otc=None)
Agg(open=16.125, high=16.17, low=16.05, close=16.05, volume=310534, vwap=16.1254, timestamp=1700578800000, transactions=3017, otc=None)
Agg(open=16.05, high=16.375, low=16, close=16.31, volume=1417156.0, vwap=16.0674, timestamp=1700582400000, transactions=3821, otc=None)
Agg(open=16.32, high=16.4, low=16.22, close=16.225, volume=334130, vwap=16.3242, timestamp=1700586000000, transactions=2982, otc=None)
Agg(open=16.23, high=16.36, low=16.19, close=16.29, volume=244643, vwap=16.2943, timestamp=1700589600000, transactions=1732, otc=None)
Agg(open=16.29, high=16.29, low=16.19, close=16.2, volume=98343, vwap=16.2292, timestamp=1700593200000, transactions=1345, otc=None)
Agg(open=16.21, high=16.43, low=16.19, close=16.39, volume=537535, vwap=16.3267, timestamp=1700596800000, transactions=4932, otc=None)
Agg(open=16.39, high=16.39, low=16.39, close=16.39, volume=4805, vwap=16.39, timestamp=1700600400000, transactions=14, otc=None)
Agg(open=16.31, high=16.5, low=16.3, close=16.42, volume=25806, vwap=16.4131, timestamp=1700661600000, transactions=309, otc=None)
Agg(open=16.41, high=16.56, low=16.385, close=16.55, volume=162778, vwap=16.4715, timestamp=1700665200000, transactions=1337, otc=None)
Agg(open=16.55, high=16.59, low=16.49, close=16.52, volume=83506, vwap=16.542, timestamp=1700668800000, transactions=1144, otc=None)
Agg(open=16.52, high=16.55, low=16.505, close=16.52, volume=56052, vwap=16.5277, timestamp=1700672400000, transactions=731, otc=None)
Agg(open=16.52, high=16.56, low=16.485, close=16.54, volume=220059, vwap=16.5177, timestamp=1700676000000, transactions=1636, otc=None)
Agg(open=16.5375, high=16.56, low=16.52, close=16.52, volume=111057, vwap=16.5397, timestamp=1700679600000, transactions=1408, otc=None)
Agg(open=16.5275, high=16.72, low=16.49, close=16.692, volume=909603, vwap=16.6057, timestamp=1700683200000, transactions=6118, otc=None)
Agg(open=16.7, high=16.7, low=16.7, close=16.7, volume=100, vwap=16.7, timestamp=1700830800000, transactions=1, otc=None)
Agg(open=16.7, high=16.75, low=16.6, close=16.7, volume=18061, vwap=16.6994, timestamp=1700834400000, transactions=252, otc=None)
Agg(open=16.6962, high=16.75, low=16.66, close=16.72, volume=81688, vwap=16.7096, timestamp=1700838000000, transactions=1355, otc=None)
Agg(open=16.72, high=16.82, low=16.71, close=16.8, volume=166812, vwap=16.7723, timestamp=1700841600000, transactions=2029, otc=None)
Agg(open=16.805, high=16.884, low=16.8, close=16.84, volume=210556, vwap=16.8391, timestamp=1700845200000, transactions=2445, otc=None)
Agg(open=16.85, high=16.85, low=16.85, close=16.85, volume=100, vwap=16.85, timestamp=1700848800000, transactions=1, otc=None)
