Agg(open=17.5201, high=17.66, low=17.441, close=17.6588, volume=1165148.0, vwap=17.5529, timestamp=1678982400000, transactions=7555, otc=None)
Agg(open=17.66, high=17.84, low=17.6, close=17.635, volume=1189039.0, vwap=17.699, timestamp=1678986000000, transactions=8299, otc=None)
Agg(open=17.63, high=17.77, low=17.56, close=17.7, volume=889193, vwap=17.6764, timestamp=1678989600000, transactions=7346, otc=None)
Agg(open=17.71, high=17.79, low=17.57, close=17.61, volume=1923809.0, vwap=17.6663, timestamp=1678993200000, transactions=12544, otc=None)
Agg(open=17.61, high=17.94, low=17.6, close=17.8499, volume=59830, vwap=17.7881, timestamp=1678996800000, transactions=216, otc=None)
Agg(open=17.7999, high=17.7999, low=17.5, close=17.5615, volume=38217, vwap=17.666, timestamp=1679000400000, transactions=58, otc=None)
Agg(open=17.62, high=17.67, low=17.56, close=17.56, volume=8868, vwap=17.5825, timestamp=1679004000000, transactions=32, otc=None)
Agg(open=17.63, high=17.67, low=17.57, close=17.63, volume=4732, vwap=17.6305, timestamp=1679007600000, transactions=23, otc=None)
Agg(open=17.87, high=17.88, low=17.83, close=17.83, volume=3637, vwap=17.8564, timestamp=1679040000000, transactions=17, otc=None)
Agg(open=17.94, high=17.94, low=17.89, close=17.9, volume=984, vwap=17.9033, timestamp=1679043600000, transactions=12, otc=None)
Agg(open=17.9, high=17.94, low=17.85, close=17.94, volume=3259, vwap=17.8876, timestamp=1679047200000, transactions=12, otc=None)
Agg(open=17.96, high=17.97, low=17.65, close=17.65, volume=30218, vwap=17.8072, timestamp=1679050800000, transactions=163, otc=None)
Agg(open=17.9499, high=17.9685, low=17.58, close=17.62, volume=54067, vwap=17.7259, timestamp=1679054400000, transactions=289, otc=None)
Agg(open=17.76, high=17.93, low=17.5101, close=17.575, volume=1623907.0, vwap=17.7368, timestamp=1679058000000, transactions=7060, otc=None)
Agg(open=17.58, high=17.71, low=17.37, close=17.4964, volume=1604295.0, vwap=17.5076, timestamp=1679061600000, transactions=12486, otc=None)
Agg(open=17.49, high=17.66, low=17.41, close=17.63, volume=1219845.0, vwap=17.5522, timestamp=1679065200000, transactions=9688, otc=None)
Agg(open=17.63, high=17.74, low=17.595, close=17.695, volume=1297980.0, vwap=17.6579, timestamp=1679068800000, transactions=9978, otc=None)
Agg(open=17.695, high=17.8, low=17.6, close=17.64, volume=1096732.0, vwap=17.7126, timestamp=1679072400000, transactions=8769, otc=None)
Agg(open=17.65, high=17.695, low=17.44, close=17.51, volume=1305071.0, vwap=17.5542, timestamp=1679076000000, transactions=10871, otc=None)
Agg(open=17.511, high=17.525, low=17.3, close=17.33, volume=4353143.0, vwap=17.3854, timestamp=1679079600000, transactions=25349, otc=None)
Agg(open=17.36, high=17.39, low=17.35, close=17.35, volume=844446, vwap=17.3701, timestamp=1679083200000, transactions=97, otc=None)
Agg(open=17.35, high=17.38, low=17.32, close=17.38, volume=22787, vwap=17.3588, timestamp=1679086800000, transactions=45, otc=None)
Agg(open=17.39, high=17.39, low=17.39, close=17.39, volume=1000, vwap=17.39, timestamp=1679090400000, transactions=3, otc=None)
Agg(open=17.38, high=17.39, low=17.35, close=17.36, volume=9639, vwap=17.3597, timestamp=1679094000000, transactions=23, otc=None)
