Agg(open=11, high=11.125, low=10.95, close=11.12, volume=101619, vwap=11.0219, timestamp=1689598800000, transactions=648, otc=None)
Agg(open=11.125, high=11.1781, low=11.1, close=11.15, volume=67722, vwap=11.1499, timestamp=1689602400000, transactions=784, otc=None)
Agg(open=11.14, high=11.235, low=11.07, close=11.23, volume=155241, vwap=11.1689, timestamp=1689606000000, transactions=1458, otc=None)
Agg(open=11.23, high=11.2599, low=11.16, close=11.18, volume=212747, vwap=11.2171, timestamp=1689609600000, transactions=1508, otc=None)
Agg(open=11.185, high=11.195, low=11.14, close=11.185, volume=77763, vwap=11.1656, timestamp=1689613200000, transactions=978, otc=None)
Agg(open=11.19, high=11.2, low=11.175, close=11.2, volume=75092, vwap=11.1882, timestamp=1689616800000, transactions=1129, otc=None)
Agg(open=11.205, high=11.23, low=11.17, close=11.17, volume=210437, vwap=11.1916, timestamp=1689620400000, transactions=2185, otc=None)
Agg(open=11.17, high=11.17, low=11.17, close=11.17, volume=23185, vwap=11.17, timestamp=1689624000000, transactions=13, otc=None)
Agg(open=11.39, high=11.39, low=11.3286, close=11.3286, volume=450, vwap=11.3559, timestamp=1689681600000, transactions=2, otc=None)
Agg(open=11.31, high=11.39, low=11.22, close=11.38, volume=84085, vwap=11.3149, timestamp=1689685200000, transactions=855, otc=None)
Agg(open=11.375, high=11.53, low=11.375, close=11.4797, volume=101751, vwap=11.4742, timestamp=1689688800000, transactions=1290, otc=None)
Agg(open=11.47, high=11.49, low=11.41, close=11.455, volume=118708, vwap=11.4431, timestamp=1689692400000, transactions=1255, otc=None)
Agg(open=11.4575, high=11.4575, low=11.375, close=11.4, volume=56356, vwap=11.411, timestamp=1689696000000, transactions=791, otc=None)
Agg(open=11.39, high=11.4, low=11.35, close=11.355, volume=57279, vwap=11.3776, timestamp=1689699600000, transactions=775, otc=None)
Agg(open=11.35, high=11.42, low=11.34, close=11.405, volume=64692, vwap=11.3908, timestamp=1689703200000, transactions=729, otc=None)
Agg(open=11.405, high=11.405, low=11.34, close=11.3475, volume=316253, vwap=11.3698, timestamp=1689706800000, transactions=2230, otc=None)
