Agg(open=13, high=13.13, low=12.95, close=13.12, volume=136125, vwap=13.0858, timestamp=1676296800000, transactions=486, otc=None)
Agg(open=13.11, high=13.14, low=13.02, close=13.13, volume=64222, vwap=13.0892, timestamp=1676300400000, transactions=1029, otc=None)
Agg(open=13.125, high=13.175, low=13.12, close=13.16, volume=54709, vwap=13.1463, timestamp=1676304000000, transactions=787, otc=None)
Agg(open=13.16, high=13.235, low=13.16, close=13.195, volume=40830, vwap=13.2119, timestamp=1676307600000, transactions=724, otc=None)
Agg(open=13.195, high=13.255, low=13.18, close=13.225, volume=48767, vwap=13.2222, timestamp=1676311200000, transactions=837, otc=None)
Agg(open=13.22, high=13.225, low=13.115, close=13.13, volume=141887, vwap=13.153, timestamp=1676314800000, transactions=1114, otc=None)
Agg(open=13.125, high=13.18, low=13.11, close=13.18, volume=177597, vwap=13.1392, timestamp=1676318400000, transactions=2651, otc=None)
Agg(open=13.18, high=13.18, low=13.18, close=13.18, volume=11332, vwap=13.18, timestamp=1676322000000, transactions=17, otc=None)
Agg(open=13.14, high=13.14, low=12.93, close=13.12, volume=63662, vwap=13.024, timestamp=1676383200000, transactions=741, otc=None)
Agg(open=13.12, high=13.32, low=13.08, close=13.095, volume=211255, vwap=13.2025, timestamp=1676386800000, transactions=1797, otc=None)
Agg(open=13.095, high=13.175, low=13.04, close=13.08, volume=135816, vwap=13.102, timestamp=1676390400000, transactions=1495, otc=None)
Agg(open=13.085, high=13.145, low=13.07, close=13.14, volume=93048, vwap=13.115, timestamp=1676394000000, transactions=1170, otc=None)
Agg(open=13.14, high=13.26, low=13.14, close=13.19, volume=71105, vwap=13.2041, timestamp=1676397600000, transactions=1109, otc=None)
Agg(open=13.19, high=13.27, low=13.17, close=13.265, volume=60873, vwap=13.2162, timestamp=1676401200000, transactions=1074, otc=None)
Agg(open=13.27, high=13.32, low=13.215, close=13.28, volume=295805, vwap=13.2733, timestamp=1676404800000, transactions=2906, otc=None)
Agg(open=13.28, high=13.28, low=13.28, close=13.28, volume=6451, vwap=13.28, timestamp=1676408400000, transactions=14, otc=None)
Agg(open=13.15, high=13.245, low=13.07, close=13.17, volume=41712, vwap=13.1513, timestamp=1676469600000, transactions=515, otc=None)
Agg(open=13.16, high=13.29, low=13.16, close=13.27, volume=73874, vwap=13.2471, timestamp=1676473200000, transactions=1064, otc=None)
Agg(open=13.28, high=13.3575, low=13.275, close=13.33, volume=44496, vwap=13.3132, timestamp=1676476800000, transactions=790, otc=None)
Agg(open=13.32, high=13.32, low=13.25, close=13.285, volume=49751, vwap=13.2834, timestamp=1676480400000, transactions=843, otc=None)
Agg(open=13.29, high=13.35, low=13.285, close=13.32, volume=53828, vwap=13.3241, timestamp=1676484000000, transactions=858, otc=None)
Agg(open=13.325, high=13.35, low=13.31, close=13.32, volume=81340, vwap=13.3358, timestamp=1676487600000, transactions=1268, otc=None)
Agg(open=13.32, high=13.35, low=13.31, close=13.32, volume=226949, vwap=13.3279, timestamp=1676491200000, transactions=2840, otc=None)
Agg(open=13.31, high=13.31, low=13.31, close=13.31, volume=13435, vwap=13.31, timestamp=1676494800000, transactions=16, otc=None)
Agg(open=13.01, high=13.14, low=12.97, close=13.07, volume=29832, vwap=13.0423, timestamp=1676556000000, transactions=412, otc=None)
Agg(open=13.06, high=13.15, low=13.045, close=13.11, volume=91262, vwap=13.0883, timestamp=1676559600000, transactions=1208, otc=None)
Agg(open=13.12, high=13.34, low=13.12, close=13.27, volume=408553, vwap=13.2153, timestamp=1676563200000, transactions=2531, otc=None)
Agg(open=13.275, high=13.39, low=13.23, close=13.335, volume=117243, vwap=13.2897, timestamp=1676566800000, transactions=981, otc=None)
Agg(open=13.34, high=13.36, low=13.29, close=13.295, volume=55088, vwap=13.3192, timestamp=1676570400000, transactions=699, otc=None)
Agg(open=13.29, high=13.355, low=13.27, close=13.34, volume=92648, vwap=13.3056, timestamp=1676574000000, transactions=690, otc=None)
Agg(open=13.34, high=13.35, low=13.27, close=13.28, volume=270315, vwap=13.2976, timestamp=1676577600000, transactions=2798, otc=None)
Agg(open=13.3, high=13.3, low=13.3, close=13.3, volume=20896, vwap=13.3, timestamp=1676581200000, transactions=16, otc=None)
Agg(open=13.25, high=13.27, low=13.09, close=13.13, volume=43344, vwap=13.1935, timestamp=1676642400000, transactions=562, otc=None)
Agg(open=13.125, high=13.335, low=13.125, close=13.185, volume=165132, vwap=13.2305, timestamp=1676646000000, transactions=1399, otc=None)
Agg(open=13.185, high=13.26, low=13.14, close=13.215, volume=96912, vwap=13.2006, timestamp=1676649600000, transactions=1235, otc=None)
Agg(open=13.215, high=13.235, low=13.18, close=13.2, volume=53930, vwap=13.2072, timestamp=1676653200000, transactions=969, otc=None)
Agg(open=13.195, high=13.205, low=13.14, close=13.165, volume=109108, vwap=13.178, timestamp=1676656800000, transactions=1174, otc=None)
Agg(open=13.17, high=13.2, low=13.12, close=13.155, volume=77789, vwap=13.1569, timestamp=1676660400000, transactions=1171, otc=None)
Agg(open=13.155, high=13.17, low=13.11, close=13.115, volume=259358, vwap=13.1411, timestamp=1676664000000, transactions=3233, otc=None)
Agg(open=13.11, high=13.11, low=13.11, close=13.11, volume=20743, vwap=13.11, timestamp=1676667600000, transactions=16, otc=None)
