Agg(open=10.1, high=10.27, low=10, close=10.06, volume=70833, vwap=10.1314, timestamp=1687248000000, transactions=417, otc=None)
Agg(open=10.07, high=10.09, low=10.03, close=10.07, volume=26404, vwap=10.0544, timestamp=1687251600000, transactions=188, otc=None)
Agg(open=10.06, high=10.09, low=10.02, close=10.06, volume=22764, vwap=10.0579, timestamp=1687255200000, transactions=159, otc=None)
Agg(open=10.06, high=10.14, low=9.96, close=10.09, volume=281590, vwap=10.0574, timestamp=1687258800000, transactions=1241, otc=None)
Agg(open=10.0507, high=10.29, low=9.9705, close=10.18, volume=535840, vwap=10.1067, timestamp=1687262400000, transactions=1799, otc=None)
Agg(open=10.16, high=10.71, low=10.15, close=10.3308, volume=13060027.0, vwap=10.457, timestamp=1687266000000, transactions=40976, otc=None)
Agg(open=10.335, high=10.335, low=9.8616, close=10.06, volume=9738796.0, vwap=10.0665, timestamp=1687269600000, transactions=35043, otc=None)
Agg(open=10.068, high=10.24, low=9.81, close=10.205, volume=6019690.0, vwap=9.9919, timestamp=1687273200000, transactions=22363, otc=None)
Agg(open=10.21, high=10.83, low=10.14, close=10.8091, volume=11852969.0, vwap=10.5021, timestamp=1687276800000, transactions=36643, otc=None)
Agg(open=10.81, high=11.215, low=10.76, close=11.11, volume=13705083.0, vwap=10.9606, timestamp=1687280400000, transactions=46926, otc=None)
Agg(open=11.11, high=11.54, low=11.1, close=11.5299, volume=10868392.0, vwap=11.313, timestamp=1687284000000, transactions=36963, otc=None)
Agg(open=11.52, high=11.73, low=11.28, close=11.725, volume=12821449.0, vwap=11.5245, timestamp=1687287600000, transactions=44743, otc=None)
Agg(open=11.72, high=11.82, low=11.53, close=11.82, volume=942572, vwap=11.7098, timestamp=1687291200000, transactions=3020, otc=None)
Agg(open=11.82, high=11.83, low=11.7, close=11.71, volume=278678, vwap=11.7671, timestamp=1687294800000, transactions=945, otc=None)
Agg(open=11.71, high=11.86, low=11.7, close=11.81, volume=238277, vwap=11.7915, timestamp=1687298400000, transactions=759, otc=None)
Agg(open=11.81, high=11.99, low=11.77, close=11.97, volume=290850, vwap=11.9069, timestamp=1687302000000, transactions=1195, otc=None)
Agg(open=12.16, high=12.4, low=12.08, close=12.25, volume=174536, vwap=12.2774, timestamp=1687334400000, transactions=1117, otc=None)
Agg(open=12.25, high=12.4, low=12.24, close=12.4, volume=76268, vwap=12.3458, timestamp=1687338000000, transactions=610, otc=None)
Agg(open=12.4, high=12.46, low=12.26, close=12.26, volume=125722, vwap=12.3853, timestamp=1687341600000, transactions=900, otc=None)
Agg(open=12.25, high=12.32, low=12.05, close=12.2, volume=448049, vwap=12.2171, timestamp=1687345200000, transactions=2607, otc=None)
Agg(open=12.3, high=12.44, low=12.03, close=12.23, volume=1333829.0, vwap=12.2654, timestamp=1687348800000, transactions=6038, otc=None)
Agg(open=12.22, high=12.79, low=12.01, close=12.4799, volume=19855266.0, vwap=12.4366, timestamp=1687352400000, transactions=70108, otc=None)
Agg(open=12.48, high=12.62, low=12.1, close=12.53, volume=17468796.0, vwap=12.3462, timestamp=1687356000000, transactions=60944, otc=None)
Agg(open=12.52, high=12.86, low=12.32, close=12.41, volume=14248935.0, vwap=12.5949, timestamp=1687359600000, transactions=46959, otc=None)
Agg(open=12.4087, high=12.9, low=12.24, close=12.47, volume=12590729.0, vwap=12.6329, timestamp=1687363200000, transactions=42464, otc=None)
Agg(open=12.47, high=12.5899, low=12.16, close=12.33, volume=8716804.0, vwap=12.3571, timestamp=1687366800000, transactions=28884, otc=None)
Agg(open=12.325, high=12.54, low=12.25, close=12.38, volume=5416436.0, vwap=12.4139, timestamp=1687370400000, transactions=20075, otc=None)
Agg(open=12.37, high=12.43, low=12.12, close=12.2, volume=6293169.0, vwap=12.2392, timestamp=1687374000000, transactions=23859, otc=None)
Agg(open=12.21, high=12.24, low=12.04, close=12.0798, volume=487849, vwap=12.1647, timestamp=1687377600000, transactions=1196, otc=None)
Agg(open=12.08, high=12.14, low=12.06, close=12.07, volume=152337, vwap=12.0843, timestamp=1687381200000, transactions=533, otc=None)
Agg(open=12.07, high=12.19, low=12.07, close=12.17, volume=134754, vwap=12.1408, timestamp=1687384800000, transactions=509, otc=None)
Agg(open=12.16, high=12.22, low=12.08, close=12.1, volume=158298, vwap=12.1653, timestamp=1687388400000, transactions=639, otc=None)
Agg(open=12.4, high=12.4, low=12.06, close=12.11, volume=46117, vwap=12.1534, timestamp=1687420800000, transactions=424, otc=None)
Agg(open=12.12, high=12.34, low=12.11, close=12.26, volume=42271, vwap=12.2586, timestamp=1687424400000, transactions=257, otc=None)
Agg(open=12.28, high=12.32, low=12.25, close=12.28, volume=27454, vwap=12.2739, timestamp=1687428000000, transactions=163, otc=None)
Agg(open=12.29, high=12.29, low=12.05, close=12.07, volume=276440, vwap=12.1588, timestamp=1687431600000, transactions=1128, otc=None)
