Agg(open=6.99, high=7, low=6.99, close=7, volume=5621, vwap=6.9937, timestamp=1688371200000, transactions=6, otc=None)
Agg(open=7.07, high=7.07, low=7.07, close=7.07, volume=1218, vwap=7.071, timestamp=1688374800000, transactions=6, otc=None)
Agg(open=7.08, high=7.13, low=7.08, close=7.09, volume=4740, vwap=7.106, timestamp=1688378400000, transactions=16, otc=None)
Agg(open=7.09, high=7.1, low=7.08, close=7.09, volume=6128, vwap=7.0873, timestamp=1688382000000, transactions=25, otc=None)
Agg(open=7.07, high=7.1, low=7.06, close=7.08, volume=104924, vwap=7.0837, timestamp=1688385600000, transactions=174, otc=None)
Agg(open=7.07, high=7.2907, low=7.03, close=7.155, volume=2931454.0, vwap=7.1692, timestamp=1688389200000, transactions=8611, otc=None)
Agg(open=7.155, high=7.16, low=7.065, close=7.095, volume=2464208.0, vwap=7.103, timestamp=1688392800000, transactions=9772, otc=None)
Agg(open=7.095, high=7.12, low=7, close=7.01, volume=1696357.0, vwap=7.0478, timestamp=1688396400000, transactions=7770, otc=None)
Agg(open=7.015, high=7.03, low=6.92, close=6.97, volume=3082905.0, vwap=6.9667, timestamp=1688400000000, transactions=11169, otc=None)
Agg(open=6.97, high=7.03, low=6.97, close=7.03, volume=50829, vwap=6.9726, timestamp=1688403600000, transactions=28, otc=None)
Agg(open=6.98, high=6.98, low=6.97, close=6.97, volume=1700, vwap=6.9709, timestamp=1688407200000, transactions=10, otc=None)
Agg(open=7, high=7.02, low=6.97, close=6.97, volume=2205, vwap=6.9862, timestamp=1688410800000, transactions=11, otc=None)
Agg(open=7.02, high=7.02, low=6.97, close=6.97, volume=1250, vwap=6.976, timestamp=1688414400000, transactions=3, otc=None)
Agg(open=7.1, high=7.13, low=7.06, close=7.13, volume=8607, vwap=7.1061, timestamp=1688544000000, transactions=18, otc=None)
Agg(open=7.16, high=7.16, low=7.14, close=7.15, volume=4448, vwap=7.1472, timestamp=1688547600000, transactions=13, otc=None)
Agg(open=7.22, high=7.3, low=7.21, close=7.3, volume=20162, vwap=7.2601, timestamp=1688551200000, transactions=69, otc=None)
Agg(open=7.25, high=7.26, low=7.15, close=7.25, volume=29730, vwap=7.2145, timestamp=1688554800000, transactions=145, otc=None)
Agg(open=7.21, high=7.45, low=7.16, close=7.37, volume=425567, vwap=7.3311, timestamp=1688558400000, transactions=938, otc=None)
Agg(open=7.37, high=7.43, low=7.1501, close=7.27, volume=4522744.0, vwap=7.2799, timestamp=1688562000000, transactions=14373, otc=None)
Agg(open=7.265, high=7.41, low=7.25, close=7.35, volume=5907323.0, vwap=7.3463, timestamp=1688565600000, transactions=15441, otc=None)
Agg(open=7.35, high=7.355, low=7.26, close=7.27, volume=3089329.0, vwap=7.3019, timestamp=1688569200000, transactions=9207, otc=None)
Agg(open=7.275, high=7.39, low=7.26, close=7.3708, volume=2524911.0, vwap=7.3165, timestamp=1688572800000, transactions=7265, otc=None)
Agg(open=7.37, high=7.39, low=7.35, close=7.385, volume=1592765.0, vwap=7.3712, timestamp=1688576400000, transactions=5676, otc=None)
Agg(open=7.38, high=7.39, low=7.32, close=7.36, volume=1658293.0, vwap=7.3565, timestamp=1688580000000, transactions=6211, otc=None)
