Agg(open=28.69, high=28.92, low=28.4, close=28.61, volume=322483, vwap=28.6444, timestamp=1675951200000, transactions=3039, otc=None)
Agg(open=28.62, high=28.78, low=27.95, close=28.09, volume=639470, vwap=28.4005, timestamp=1675954800000, transactions=7782, otc=None)
Agg(open=28.09, high=28.125, low=27.805, close=28.06, volume=459624, vwap=27.9504, timestamp=1675958400000, transactions=6054, otc=None)
Agg(open=28.055, high=28.27, low=27.86, close=27.915, volume=353916, vwap=28.0784, timestamp=1675962000000, transactions=4533, otc=None)
Agg(open=27.9, high=27.97, low=27.745, close=27.815, volume=338594, vwap=27.8338, timestamp=1675965600000, transactions=4836, otc=None)
Agg(open=27.81, high=27.84, low=27.47, close=27.54, volume=758430, vwap=27.6205, timestamp=1675969200000, transactions=7700, otc=None)
Agg(open=27.535, high=27.715, low=27.29, close=27.56, volume=2103412.0, vwap=27.5485, timestamp=1675972800000, transactions=22123, otc=None)
Agg(open=27.57, high=27.57, low=27.56, close=27.56, volume=67274, vwap=27.57, timestamp=1675976400000, transactions=47, otc=None)
Agg(open=27.58, high=27.58, low=27.58, close=27.58, volume=200, vwap=27.58, timestamp=1675980000000, transactions=1, otc=None)
Agg(open=27.27, high=27.28, low=27.27, close=27.28, volume=851, vwap=27.2771, timestamp=1676023200000, transactions=7, otc=None)
Agg(open=26.92, high=26.92, low=26.92, close=26.92, volume=116, vwap=26.9234, timestamp=1676026800000, transactions=5, otc=None)
Agg(open=27, high=27.23, low=27, close=27.23, volume=1400, vwap=27.1643, timestamp=1676034000000, transactions=4, otc=None)
Agg(open=27.27, high=27.34, low=26.37, close=26.415, volume=450981, vwap=26.7351, timestamp=1676037600000, transactions=4484, otc=None)
Agg(open=26.41, high=26.825, low=26.14, close=26.31, volume=997402, vwap=26.4006, timestamp=1676041200000, transactions=12453, otc=None)
Agg(open=26.3, high=26.48, low=26.09, close=26.11, volume=419470, vwap=26.3034, timestamp=1676044800000, transactions=5006, otc=None)
Agg(open=26.105, high=26.14, low=25.8275, close=25.965, volume=611688, vwap=25.9477, timestamp=1676048400000, transactions=6941, otc=None)
Agg(open=25.97, high=26.295, low=25.911, close=26, volume=585930, vwap=26.0836, timestamp=1676052000000, transactions=5798, otc=None)
Agg(open=25.995, high=26.0585, low=25.85, close=26.01, volume=529313, vwap=25.9366, timestamp=1676055600000, transactions=5630, otc=None)
Agg(open=26.02, high=26.05, low=25.775, close=25.79, volume=1272486.0, vwap=25.8926, timestamp=1676059200000, transactions=13243, otc=None)
Agg(open=25.8, high=26.34, low=25.8, close=25.8, volume=56009, vwap=25.801, timestamp=1676062800000, transactions=63, otc=None)
Agg(open=26.25, high=26.25, low=26.25, close=26.25, volume=348, vwap=26.2414, timestamp=1676073600000, transactions=4, otc=None)
