Agg(open=23, high=23.99, low=22.25, close=22.25, volume=23271, vwap=22.8124, timestamp=1678694400000, transactions=72, otc=None)
Agg(open=22, high=22, low=22, close=22, volume=200, vwap=22, timestamp=1678698000000, transactions=2, otc=None)
Agg(open=21.85, high=22.42, low=21.85, close=22.3, volume=9051, vwap=22.2998, timestamp=1678705200000, transactions=131, otc=None)
Agg(open=22, high=22.44, low=21.77, close=21.77, volume=15823, vwap=22.1553, timestamp=1678708800000, transactions=145, otc=None)
Agg(open=21.9399, high=22.09, low=21.0707, close=21.46, volume=1045822.0, vwap=21.4415, timestamp=1678712400000, transactions=10262, otc=None)
Agg(open=21.44, high=21.5, low=20.72, close=21.16, volume=2276440.0, vwap=21.0616, timestamp=1678716000000, transactions=17785, otc=None)
Agg(open=21.16, high=21.82, low=21.141, close=21.49, volume=1825386.0, vwap=21.4924, timestamp=1678719600000, transactions=14564, otc=None)
Agg(open=21.49, high=21.78, low=21.26, close=21.345, volume=2067407.0, vwap=21.4928, timestamp=1678723200000, transactions=14407, otc=None)
Agg(open=21.345, high=21.72, low=21.23, close=21.655, volume=1391522.0, vwap=21.5086, timestamp=1678726800000, transactions=11315, otc=None)
Agg(open=21.665, high=21.965, low=21.565, close=21.73, volume=2390114.0, vwap=21.7407, timestamp=1678730400000, transactions=14567, otc=None)
Agg(open=21.735, high=21.83, low=21.28, close=21.41, volume=3364444.0, vwap=21.4642, timestamp=1678734000000, transactions=29839, otc=None)
Agg(open=21.42, high=22.42, low=21.4, close=22.42, volume=234803, vwap=21.4213, timestamp=1678737600000, transactions=33, otc=None)
Agg(open=22, high=22.85, low=22, close=22.85, volume=1196, vwap=22.0962, timestamp=1678788000000, transactions=6, otc=None)
Agg(open=22.4, high=22.42, low=22.3, close=22.4, volume=3558, vwap=22.3938, timestamp=1678791600000, transactions=44, otc=None)
Agg(open=22.4, high=22.54, low=22.09, close=22.39, volume=9946, vwap=22.3233, timestamp=1678795200000, transactions=58, otc=None)
Agg(open=22.38, high=22.99, low=21.67, close=21.77, volume=1403006.0, vwap=22.2803, timestamp=1678798800000, transactions=12718, otc=None)
Agg(open=21.77, high=22, low=21.59, close=21.615, volume=1222338.0, vwap=21.8076, timestamp=1678802400000, transactions=12992, otc=None)
Agg(open=21.62, high=21.96, low=21.55, close=21.815, volume=623195, vwap=21.7735, timestamp=1678806000000, transactions=8119, otc=None)
Agg(open=21.82, high=21.82, low=21.52, close=21.66, volume=607988, vwap=21.6303, timestamp=1678809600000, transactions=6781, otc=None)
Agg(open=21.655, high=21.67, low=21.35, close=21.4, volume=578011, vwap=21.4801, timestamp=1678813200000, transactions=6750, otc=None)
Agg(open=21.41, high=21.615, low=21.26, close=21.555, volume=825342, vwap=21.4515, timestamp=1678816800000, transactions=10000, otc=None)
Agg(open=21.56, high=21.56, low=21.3, close=21.35, volume=2249677.0, vwap=21.417, timestamp=1678820400000, transactions=22249, otc=None)
Agg(open=21.36, high=21.36, low=21.35, close=21.35, volume=68486, vwap=21.36, timestamp=1678824000000, transactions=40, otc=None)
Agg(open=21.36, high=21.36, low=21.33, close=21.33, volume=500, vwap=21.3469, timestamp=1678834800000, transactions=7, otc=None)
Agg(open=20.99, high=21.02, low=20.99, close=21.01, volume=1600, vwap=20.9984, timestamp=1678878000000, transactions=17, otc=None)
Agg(open=21.01, high=21.01, low=21.01, close=21.01, volume=356, vwap=21.0112, timestamp=1678881600000, transactions=5, otc=None)
Agg(open=21.01, high=21.5673, low=20.88, close=21.27, volume=479390, vwap=21.2626, timestamp=1678885200000, transactions=3134, otc=None)
Agg(open=21.27, high=21.52, low=21.11, close=21.3586, volume=973263, vwap=21.2878, timestamp=1678888800000, transactions=10770, otc=None)
Agg(open=21.36, high=21.51, low=21.2953, close=21.44, volume=1020497.0, vwap=21.4432, timestamp=1678892400000, transactions=8973, otc=None)
Agg(open=21.445, high=21.845, low=21.44, close=21.745, volume=1010378.0, vwap=21.6059, timestamp=1678896000000, transactions=10165, otc=None)
Agg(open=21.74, high=21.95, low=21.67, close=21.94, volume=466436, vwap=21.8173, timestamp=1678899600000, transactions=5489, otc=None)
Agg(open=21.94, high=22.29, low=21.69, close=22.29, volume=839773, vwap=22.0249, timestamp=1678903200000, transactions=9574, otc=None)
Agg(open=22.29, high=22.45, low=22.1, close=22.24, volume=1950289.0, vwap=22.2844, timestamp=1678906800000, transactions=17291, otc=None)
Agg(open=22.22, high=22.22, low=22.22, close=22.22, volume=67207, vwap=22.22, timestamp=1678910400000, transactions=48, otc=None)
Agg(open=22.22, high=22.22, low=22.22, close=22.22, volume=319, vwap=22.2228, timestamp=1678917600000, transactions=2, otc=None)
Agg(open=22.21, high=22.22, low=22.21, close=22.22, volume=387, vwap=22.2163, timestamp=1678964400000, transactions=3, otc=None)
Agg(open=22.23, high=22.65, low=22.11, close=22.48, volume=297505, vwap=22.4221, timestamp=1678971600000, transactions=3792, otc=None)
Agg(open=22.485, high=22.79, low=22.0401, close=22.785, volume=504056, vwap=22.3562, timestamp=1678975200000, transactions=6214, otc=None)
Agg(open=22.795, high=22.91, low=22.7, close=22.82, volume=651208, vwap=22.8207, timestamp=1678978800000, transactions=6501, otc=None)
Agg(open=22.82, high=22.84, low=22.58, close=22.705, volume=572463, vwap=22.7366, timestamp=1678982400000, transactions=7041, otc=None)
Agg(open=22.71, high=22.81, low=22.58, close=22.745, volume=544888, vwap=22.7039, timestamp=1678986000000, transactions=6768, otc=None)
Agg(open=22.745, high=22.815, low=22.69, close=22.79, volume=455461, vwap=22.7578, timestamp=1678989600000, transactions=5969, otc=None)
Agg(open=22.79, high=23.05, low=22.735, close=22.95, volume=1550659.0, vwap=22.9304, timestamp=1678993200000, transactions=16637, otc=None)
Agg(open=22.94, high=22.94, low=22.9, close=22.9, volume=55486, vwap=22.9398, timestamp=1678996800000, transactions=47, otc=None)
