Agg(open=13, high=13, low=12.78, close=12.89, volume=164932, vwap=12.875, timestamp=1695646800000, transactions=1428, otc=None)
Agg(open=12.9, high=13.01, low=12.81, close=12.89, volume=306621, vwap=12.9114, timestamp=1695650400000, transactions=2996, otc=None)
Agg(open=12.9, high=12.99, low=12.87, close=12.965, volume=238527, vwap=12.9219, timestamp=1695654000000, transactions=3036, otc=None)
Agg(open=12.965, high=12.98, low=12.885, close=12.905, volume=168155, vwap=12.9352, timestamp=1695657600000, transactions=1941, otc=None)
Agg(open=12.91, high=12.94, low=12.875, close=12.91, volume=197618, vwap=12.9133, timestamp=1695661200000, transactions=2411, otc=None)
Agg(open=12.915, high=12.93, low=12.82, close=12.82, volume=173861, vwap=12.8835, timestamp=1695664800000, transactions=1966, otc=None)
Agg(open=12.825, high=12.92, low=12.825, close=12.84, volume=597458, vwap=12.8711, timestamp=1695668400000, transactions=5561, otc=None)
Agg(open=12.85, high=12.85, low=12.85, close=12.85, volume=15774, vwap=12.85, timestamp=1695672000000, transactions=15, otc=None)
Agg(open=12.8, high=12.8, low=12.8, close=12.8, volume=230, vwap=12.8, timestamp=1695729600000, transactions=2, otc=None)
Agg(open=12.75, high=12.95, low=12.75, close=12.88, volume=56536, vwap=12.8763, timestamp=1695733200000, transactions=762, otc=None)
Agg(open=12.89, high=12.9, low=12.71, close=12.85, volume=140797, vwap=12.7875, timestamp=1695736800000, transactions=1915, otc=None)
Agg(open=12.85, high=12.865, low=12.79, close=12.845, volume=131765, vwap=12.8282, timestamp=1695740400000, transactions=1694, otc=None)
Agg(open=12.84, high=12.85, low=12.76, close=12.76, volume=110757, vwap=12.8129, timestamp=1695744000000, transactions=1541, otc=None)
Agg(open=12.76, high=12.77, low=12.58, close=12.615, volume=174000, vwap=12.6975, timestamp=1695747600000, transactions=2305, otc=None)
Agg(open=12.615, high=12.6175, low=12.535, close=12.56, volume=194595, vwap=12.5706, timestamp=1695751200000, transactions=2499, otc=None)
Agg(open=12.555, high=12.6295, low=12.47, close=12.49, volume=580965, vwap=12.5332, timestamp=1695754800000, transactions=6382, otc=None)
Agg(open=12.5, high=12.5, low=12.5, close=12.5, volume=11517, vwap=12.5, timestamp=1695758400000, transactions=15, otc=None)
Agg(open=12.52, high=12.68, low=12.475, close=12.48, volume=51227, vwap=12.5761, timestamp=1695819600000, transactions=860, otc=None)
Agg(open=12.5, high=12.54, low=12.26, close=12.26, volume=233141, vwap=12.3975, timestamp=1695823200000, transactions=2974, otc=None)
Agg(open=12.26, high=12.5, low=12.17, close=12.315, volume=573158, vwap=12.2949, timestamp=1695826800000, transactions=5171, otc=None)
Agg(open=12.32, high=12.33, low=12.2, close=12.315, volume=291402, vwap=12.2672, timestamp=1695830400000, transactions=2817, otc=None)
Agg(open=12.32, high=12.36, low=12.25, close=12.3, volume=245151, vwap=12.3025, timestamp=1695834000000, transactions=2664, otc=None)
Agg(open=12.305, high=12.44, low=12.3, close=12.4, volume=439336, vwap=12.3827, timestamp=1695837600000, transactions=3991, otc=None)
Agg(open=12.395, high=12.57, low=12.38, close=12.46, volume=809168, vwap=12.4663, timestamp=1695841200000, transactions=7340, otc=None)
Agg(open=12.46, high=12.46, low=12.46, close=12.46, volume=14459, vwap=12.46, timestamp=1695844800000, transactions=26, otc=None)
Agg(open=12.09, high=12.09, low=12.08, close=12.08, volume=200, vwap=12.085, timestamp=1695888000000, transactions=2, otc=None)
Agg(open=12.46, high=12.61, low=12.37, close=12.46, volume=112557, vwap=12.4478, timestamp=1695906000000, transactions=834, otc=None)
Agg(open=12.46, high=12.56, low=12.35, close=12.415, volume=141494, vwap=12.4446, timestamp=1695909600000, transactions=2336, otc=None)
Agg(open=12.42, high=12.66, low=12.405, close=12.63, volume=162338, vwap=12.5051, timestamp=1695913200000, transactions=2470, otc=None)
Agg(open=12.63, high=12.725, low=12.56, close=12.67, volume=219939, vwap=12.6316, timestamp=1695916800000, transactions=2625, otc=None)
Agg(open=12.675, high=12.71, low=12.645, close=12.705, volume=168760, vwap=12.6838, timestamp=1695920400000, transactions=1921, otc=None)
Agg(open=12.7, high=12.7651, low=12.65, close=12.67, volume=151345, vwap=12.7057, timestamp=1695924000000, transactions=2109, otc=None)
Agg(open=12.675, high=12.71, low=12.55, close=12.62, volume=408668, vwap=12.6161, timestamp=1695927600000, transactions=4355, otc=None)
Agg(open=12.61, high=12.61, low=12.61, close=12.61, volume=13656, vwap=12.61, timestamp=1695931200000, transactions=16, otc=None)
Agg(open=12.75, high=12.87, low=12.75, close=12.79, volume=52352, vwap=12.7962, timestamp=1695992400000, transactions=689, otc=None)
Agg(open=12.79, high=12.79, low=12.63, close=12.71, volume=91660, vwap=12.6891, timestamp=1695996000000, transactions=1235, otc=None)
Agg(open=12.705, high=12.72, low=12.555, close=12.605, volume=80246, vwap=12.6588, timestamp=1695999600000, transactions=1315, otc=None)
Agg(open=12.6, high=12.64, low=12.55, close=12.57, volume=76956, vwap=12.6042, timestamp=1696003200000, transactions=1227, otc=None)
Agg(open=12.56, high=12.59, low=12.5, close=12.515, volume=77485, vwap=12.5477, timestamp=1696006800000, transactions=1111, otc=None)
Agg(open=12.515, high=12.605, low=12.5088, close=12.605, volume=87810, vwap=12.5452, timestamp=1696010400000, transactions=1367, otc=None)
Agg(open=12.6025, high=12.62, low=12.54, close=12.58, volume=348217, vwap=12.5812, timestamp=1696014000000, transactions=4121, otc=None)
Agg(open=12.59, high=12.61, low=12.59, close=12.61, volume=12327, vwap=12.5905, timestamp=1696017600000, transactions=18, otc=None)
