Agg(open=11.1, high=11.36, low=10.35, close=11, volume=215057, vwap=10.9728, timestamp=1698048000000, transactions=1415, otc=None)
Agg(open=10.92, high=11.18, low=10.8, close=10.98, volume=79443, vwap=10.9683, timestamp=1698051600000, transactions=430, otc=None)
Agg(open=10.96, high=11.13, low=10.75, close=10.75, volume=1004906.0, vwap=11.0136, timestamp=1698055200000, transactions=917, otc=None)
Agg(open=10.81, high=10.95, low=9.8, close=10.25, volume=1437424.0, vwap=10.166, timestamp=1698058800000, transactions=1943, otc=None)
Agg(open=10.9498, high=10.95, low=9.8, close=10.25, volume=1806359.0, vwap=10.3819, timestamp=1698062400000, transactions=1996, otc=None)
Agg(open=10.25, high=10.4, low=9.53, close=9.705, volume=7189741.0, vwap=9.8208, timestamp=1698066000000, transactions=26513, otc=None)
Agg(open=9.705, high=9.8, low=9.475, close=9.58, volume=4126335.0, vwap=9.6179, timestamp=1698069600000, transactions=23272, otc=None)
Agg(open=9.585, high=9.61, low=9.26, close=9.295, volume=3078345.0, vwap=9.3964, timestamp=1698073200000, transactions=21638, otc=None)
Agg(open=9.2901, high=9.39, low=9.115, close=9.205, volume=2057606.0, vwap=9.2155, timestamp=1698076800000, transactions=16830, otc=None)
Agg(open=9.205, high=9.225, low=8.955, close=8.965, volume=3021772.0, vwap=9.1013, timestamp=1698080400000, transactions=16716, otc=None)
Agg(open=8.96, high=8.965, low=8.78, close=8.805, volume=3209229.0, vwap=8.865, timestamp=1698084000000, transactions=17014, otc=None)
Agg(open=8.805, high=8.875, low=8.57, close=8.595, volume=8601749.0, vwap=8.7177, timestamp=1698087600000, transactions=30760, otc=None)
Agg(open=8.595, high=8.7, low=8.595, close=8.7, volume=4118658.0, vwap=8.6718, timestamp=1698091200000, transactions=72, otc=None)
Agg(open=8.63, high=8.75, low=8.63, close=8.75, volume=3700, vwap=8.7172, timestamp=1698094800000, transactions=23, otc=None)
Agg(open=8.7, high=8.72, low=8.7, close=8.72, volume=776, vwap=8.7056, timestamp=1698098400000, transactions=9, otc=None)
Agg(open=8.72, high=8.8, low=8.72, close=8.8, volume=3977, vwap=8.7262, timestamp=1698102000000, transactions=21, otc=None)
