Agg(open=5.71, high=5.93, low=5.71, close=5.855, volume=238024, vwap=5.844, timestamp=1684155600000, transactions=1659, otc=None)
Agg(open=5.855, high=5.96, low=5.83, close=5.9488, volume=373436, vwap=5.8975, timestamp=1684159200000, transactions=2625, otc=None)
Agg(open=5.945, high=6.03, low=5.915, close=5.92, volume=369852, vwap=5.9864, timestamp=1684162800000, transactions=2006, otc=None)
Agg(open=5.92, high=6.02, low=5.88, close=6.015, volume=303946, vwap=5.9678, timestamp=1684166400000, transactions=1497, otc=None)
Agg(open=6.015, high=6.07, low=6, close=6.02, volume=216471, vwap=6.0363, timestamp=1684170000000, transactions=1358, otc=None)
Agg(open=6.03, high=6.06, low=6.01, close=6.025, volume=182999, vwap=6.0292, timestamp=1684173600000, transactions=1460, otc=None)
Agg(open=6.025, high=6.07, low=6.01, close=6.04, volume=703676, vwap=6.0358, timestamp=1684177200000, transactions=4373, otc=None)
Agg(open=6.03, high=6.03, low=6.03, close=6.03, volume=44766, vwap=6.03, timestamp=1684180800000, transactions=6, otc=None)
Agg(open=5.94, high=5.975, low=5.86, close=5.95, volume=287472, vwap=5.9303, timestamp=1684242000000, transactions=1598, otc=None)
Agg(open=5.9415, high=6.06, low=5.87, close=6.04, volume=477142, vwap=5.9775, timestamp=1684245600000, transactions=2633, otc=None)
Agg(open=6.04, high=6.07, low=6, close=6.045, volume=243422, vwap=6.0293, timestamp=1684249200000, transactions=1821, otc=None)
Agg(open=6.045, high=6.065, low=6.01, close=6.0241, volume=416527, vwap=6.0302, timestamp=1684252800000, transactions=1567, otc=None)
Agg(open=6.03, high=6.12, low=6.03, close=6.075, volume=426879, vwap=6.0791, timestamp=1684256400000, transactions=2330, otc=None)
Agg(open=6.08, high=6.09, low=6.06, close=6.07, volume=191696, vwap=6.0729, timestamp=1684260000000, transactions=1230, otc=None)
Agg(open=6.0799, high=6.0799, low=6.01, close=6.03, volume=520730, vwap=6.0277, timestamp=1684263600000, transactions=2799, otc=None)
Agg(open=6.02, high=6.02, low=6.02, close=6.02, volume=31233, vwap=6.02, timestamp=1684267200000, transactions=10, otc=None)
Agg(open=6.08, high=6.125, low=6, close=6.01, volume=183740, vwap=6.0597, timestamp=1684328400000, transactions=1020, otc=None)
Agg(open=6, high=6.17, low=6, close=6.165, volume=829098, vwap=6.0728, timestamp=1684332000000, transactions=2097, otc=None)
Agg(open=6.165, high=6.18, low=6.0907, close=6.115, volume=263379, vwap=6.1501, timestamp=1684335600000, transactions=1370, otc=None)
Agg(open=6.115, high=8.51, low=6.1, close=7.7277, volume=13202859.0, vwap=7.5806, timestamp=1684339200000, transactions=60545, otc=None)
Agg(open=7.7215, high=8.56, low=7.275, close=7.985, volume=7711684.0, vwap=7.9704, timestamp=1684342800000, transactions=34128, otc=None)
Agg(open=7.98, high=8.03, low=7.49, close=7.555, volume=4972697.0, vwap=7.6889, timestamp=1684346400000, transactions=24114, otc=None)
Agg(open=7.555, high=7.69, low=7.42, close=7.48, volume=4297177.0, vwap=7.4991, timestamp=1684350000000, transactions=21134, otc=None)
Agg(open=7.47, high=7.52, low=7.43, close=7.5, volume=85159, vwap=7.4674, timestamp=1684353600000, transactions=110, otc=None)
Agg(open=7.51, high=7.9, low=7.51, close=7.79, volume=112702, vwap=7.7089, timestamp=1684357200000, transactions=259, otc=None)
Agg(open=7.8321, high=7.88, low=7.68, close=7.85, volume=28687, vwap=7.7991, timestamp=1684360800000, transactions=59, otc=None)
Agg(open=7.84, high=7.84, low=7.55, close=7.55, volume=18032, vwap=7.7118, timestamp=1684364400000, transactions=49, otc=None)
Agg(open=7.37, high=7.7, low=7.37, close=7.69, volume=2190, vwap=7.5873, timestamp=1684396800000, transactions=18, otc=None)
Agg(open=7.58, high=7.58, low=7.58, close=7.58, volume=100, vwap=7.58, timestamp=1684400400000, transactions=1, otc=None)
