Agg(open=3.915, high=3.95, low=3.89, close=3.945, volume=503262, vwap=3.9292, timestamp=1673539200000, transactions=1710, otc=None)
Agg(open=3.945, high=3.97, low=3.935, close=3.94, volume=548093, vwap=3.9496, timestamp=1673542800000, transactions=1685, otc=None)
Agg(open=3.94, high=3.95, low=3.89, close=3.935, volume=410382, vwap=3.9265, timestamp=1673546400000, transactions=1563, otc=None)
Agg(open=3.935, high=3.95, low=3.925, close=3.95, volume=391980, vwap=3.9383, timestamp=1673550000000, transactions=1578, otc=None)
Agg(open=3.95, high=3.95, low=3.93, close=3.94, volume=798284, vwap=3.9395, timestamp=1673553600000, transactions=2894, otc=None)
Agg(open=3.94, high=3.94, low=3.92, close=3.93, volume=47917, vwap=3.9394, timestamp=1673557200000, transactions=13, otc=None)
Agg(open=3.94, high=3.94, low=3.93, close=3.94, volume=2332, vwap=3.9388, timestamp=1673560800000, transactions=8, otc=None)
Agg(open=3.93, high=3.94, low=3.92, close=3.94, volume=4468, vwap=3.9354, timestamp=1673564400000, transactions=9, otc=None)
Agg(open=3.92, high=3.94, low=3.92, close=3.94, volume=10102, vwap=3.9398, timestamp=1673568000000, transactions=4, otc=None)
Agg(open=3.91, high=3.91, low=3.9, close=3.9, volume=6035, vwap=3.9087, timestamp=1673600400000, transactions=10, otc=None)
Agg(open=3.92, high=3.92, low=3.9, close=3.9, volume=1860, vwap=3.9189, timestamp=1673611200000, transactions=5, otc=None)
Agg(open=3.92, high=3.92, low=3.9, close=3.9, volume=19990, vwap=3.9022, timestamp=1673614800000, transactions=54, otc=None)
Agg(open=3.9, high=3.9499, low=3.88, close=3.93, volume=541062, vwap=3.9144, timestamp=1673618400000, transactions=1330, otc=None)
Agg(open=3.92, high=3.96, low=3.9, close=3.94, volume=592938, vwap=3.9404, timestamp=1673622000000, transactions=1684, otc=None)
Agg(open=3.94, high=3.95, low=3.9, close=3.915, volume=510522, vwap=3.9228, timestamp=1673625600000, transactions=1390, otc=None)
Agg(open=3.915, high=3.92, low=3.88, close=3.905, volume=404365, vwap=3.9014, timestamp=1673629200000, transactions=1488, otc=None)
Agg(open=3.905, high=3.92, low=3.88, close=3.915, volume=611428, vwap=3.9007, timestamp=1673632800000, transactions=2184, otc=None)
Agg(open=3.915, high=3.92, low=3.9, close=3.905, volume=310982, vwap=3.9086, timestamp=1673636400000, transactions=1311, otc=None)
Agg(open=3.9, high=3.95, low=3.9, close=3.94, volume=1092245.0, vwap=3.9309, timestamp=1673640000000, transactions=3759, otc=None)
Agg(open=3.94, high=3.94, low=3.92, close=3.9399, volume=40883, vwap=3.938, timestamp=1673643600000, transactions=23, otc=None)
Agg(open=3.94, high=3.94, low=3.94, close=3.94, volume=100, vwap=3.94, timestamp=1673647200000, transactions=1, otc=None)
Agg(open=3.92, high=3.92, low=3.92, close=3.92, volume=110, vwap=3.92, timestamp=1673650800000, transactions=1, otc=None)
Agg(open=3.93, high=3.93, low=3.9, close=3.9, volume=5513, vwap=3.906, timestamp=1673654400000, transactions=6, otc=None)
