Agg(open=25, high=25, low=24.69, close=24.69, volume=2700, vwap=24.977, timestamp=1698048000000, transactions=3, otc=None)
Agg(open=24.68, high=24.69, low=24.68, close=24.69, volume=1118, vwap=24.6889, timestamp=1698051600000, transactions=8, otc=None)
Agg(open=24.61, high=24.61, low=24.5, close=24.5, volume=1465, vwap=24.5313, timestamp=1698055200000, transactions=6, otc=None)
Agg(open=24.76, high=24.76, low=24.76, close=24.76, volume=1025, vwap=24.76, timestamp=1698058800000, transactions=3, otc=None)
Agg(open=24.85, high=25.13, low=24.03, close=24.7, volume=129056, vwap=24.4906, timestamp=1698066000000, transactions=1184, otc=None)
Agg(open=24.7843, high=25.36, low=24.7, close=25.33, volume=91060, vwap=25.0924, timestamp=1698069600000, transactions=1100, otc=None)
Agg(open=25.35, high=25.38, low=25.12, close=25.36, volume=71969, vwap=25.2594, timestamp=1698073200000, transactions=1149, otc=None)
Agg(open=25.37, high=25.57, low=25.33, close=25.565, volume=42510, vwap=25.445, timestamp=1698076800000, transactions=726, otc=None)
Agg(open=25.58, high=25.73, low=25.53, close=25.57, volume=59584, vwap=25.6259, timestamp=1698080400000, transactions=921, otc=None)
Agg(open=25.575, high=25.7, low=25.575, close=25.6, volume=48487, vwap=25.6473, timestamp=1698084000000, transactions=800, otc=None)
Agg(open=25.585, high=25.6, low=25.36, close=25.45, volume=186072, vwap=25.4355, timestamp=1698087600000, transactions=2087, otc=None)
Agg(open=25.45, high=25.45, low=25.45, close=25.45, volume=3148, vwap=25.45, timestamp=1698091200000, transactions=3, otc=None)
Agg(open=25.8, high=25.96, low=25.8, close=25.96, volume=400, vwap=25.8802, timestamp=1698145200000, transactions=4, otc=None)
Agg(open=25.97, high=25.98, low=25.96, close=25.97, volume=3517, vwap=25.9702, timestamp=1698148800000, transactions=38, otc=None)
Agg(open=25.99, high=27.19, low=25.98, close=27.16, volume=538359, vwap=26.8467, timestamp=1698152400000, transactions=3828, otc=None)
Agg(open=27.1775, high=27.96, low=27.13, close=27.73, volume=649685, vwap=27.652, timestamp=1698156000000, transactions=6038, otc=None)
Agg(open=27.72, high=28.07, low=27.63, close=28.005, volume=262720, vwap=27.9072, timestamp=1698159600000, transactions=2818, otc=None)
Agg(open=28.005, high=28.04, low=27.82, close=27.98, volume=164417, vwap=27.9362, timestamp=1698163200000, transactions=1814, otc=None)
Agg(open=27.9797, high=28.18, low=27.8999, close=28.02, volume=194835, vwap=28.0212, timestamp=1698166800000, transactions=2028, otc=None)
Agg(open=28.02, high=28.25, low=28, close=28.11, volume=171194, vwap=28.1346, timestamp=1698170400000, transactions=2216, otc=None)
Agg(open=28.12, high=28.28, low=28, close=28.11, volume=457092, vwap=28.0869, timestamp=1698174000000, transactions=4907, otc=None)
Agg(open=28.11, high=28.11, low=28.1, close=28.11, volume=606, vwap=28.1064, timestamp=1698177600000, transactions=6, otc=None)
Agg(open=28.11, high=28.11, low=28.11, close=28.11, volume=1200, vwap=28.11, timestamp=1698181200000, transactions=1, otc=None)
Agg(open=28.11, high=28.11, low=28.11, close=28.11, volume=1000, vwap=28.11, timestamp=1698184800000, transactions=2, otc=None)
Agg(open=28, high=28.07, low=28, close=28.07, volume=1082, vwap=28.0556, timestamp=1698188400000, transactions=13, otc=None)
Agg(open=27.7, high=27.7, low=27.5, close=27.5, volume=759, vwap=27.5418, timestamp=1698220800000, transactions=8, otc=None)
Agg(open=27.69, high=27.69, low=27.69, close=27.69, volume=200, vwap=27.69, timestamp=1698224400000, transactions=5, otc=None)
Agg(open=27.6, high=27.61, low=27.6, close=27.61, volume=1200, vwap=27.6088, timestamp=1698228000000, transactions=5, otc=None)
Agg(open=27.96, high=28, low=27.95, close=27.99, volume=1000, vwap=27.968, timestamp=1698231600000, transactions=11, otc=None)
Agg(open=27.85, high=27.9, low=27.01, close=27.655, volume=210056, vwap=27.3304, timestamp=1698238800000, transactions=2319, otc=None)
Agg(open=27.645, high=27.68, low=27.32, close=27.57, volume=238749, vwap=27.5155, timestamp=1698242400000, transactions=3485, otc=None)
Agg(open=27.59, high=27.63, low=27.21, close=27.35, volume=159312, vwap=27.4023, timestamp=1698246000000, transactions=2223, otc=None)
Agg(open=27.34, high=27.49, low=27.18, close=27.33, volume=117866, vwap=27.3228, timestamp=1698249600000, transactions=1767, otc=None)
Agg(open=27.33, high=27.39, low=26.86, close=26.93, volume=190587, vwap=27.1623, timestamp=1698253200000, transactions=2342, otc=None)
Agg(open=26.92, high=26.93, low=26.666, close=26.79, volume=131110, vwap=26.797, timestamp=1698256800000, transactions=1795, otc=None)
Agg(open=26.78, high=27.09, low=26.73, close=26.93, volume=344595, vwap=26.945, timestamp=1698260400000, transactions=4516, otc=None)
Agg(open=26.91, high=26.91, low=26.91, close=26.91, volume=12722, vwap=26.91, timestamp=1698264000000, transactions=9, otc=None)
Agg(open=26.95, high=26.95, low=26.8, close=26.8, volume=558, vwap=26.8726, timestamp=1698271200000, transactions=6, otc=None)
Agg(open=26.5, high=26.51, low=26.5, close=26.51, volume=250, vwap=26.506, timestamp=1698307200000, transactions=2, otc=None)
Agg(open=26.65, high=26.65, low=26.62, close=26.63, volume=1492, vwap=26.6387, timestamp=1698318000000, transactions=16, otc=None)
Agg(open=26.6, high=26.6, low=26.55, close=26.55, volume=496, vwap=26.5601, timestamp=1698321600000, transactions=3, otc=None)
Agg(open=26.55, high=27.23, low=25.8701, close=26.16, volume=235153, vwap=26.3772, timestamp=1698325200000, transactions=3025, otc=None)
Agg(open=26.14, high=26.5, low=25.78, close=26.45, volume=242637, vwap=26.133, timestamp=1698328800000, transactions=3321, otc=None)
Agg(open=26.46, high=26.5094, low=26.04, close=26.165, volume=158271, vwap=26.22, timestamp=1698332400000, transactions=2087, otc=None)
Agg(open=26.15, high=26.1627, low=25.84, close=25.84, volume=104698, vwap=25.9828, timestamp=1698336000000, transactions=1457, otc=None)
Agg(open=25.82, high=25.995, low=25.77, close=25.94, volume=81537, vwap=25.8847, timestamp=1698339600000, transactions=1185, otc=None)
Agg(open=25.94, high=26.05, low=25.83, close=26.03, volume=106746, vwap=25.9295, timestamp=1698343200000, transactions=1436, otc=None)
Agg(open=26.05, high=26.09, low=25.795, close=25.96, volume=336466, vwap=25.9223, timestamp=1698346800000, transactions=4036, otc=None)
Agg(open=26.8, high=27, low=26.78, close=27, volume=2870, vwap=26.8239, timestamp=1698393600000, transactions=30, otc=None)
Agg(open=26.99, high=26.99, low=26.99, close=26.99, volume=401, vwap=26.9907, timestamp=1698397200000, transactions=7, otc=None)
Agg(open=27, high=27.01, low=26.99, close=27, volume=4659, vwap=27.0019, timestamp=1698400800000, transactions=56, otc=None)
Agg(open=26.81, high=26.81, low=26.8, close=26.8, volume=4152, vwap=26.8007, timestamp=1698404400000, transactions=7, otc=None)
Agg(open=26.78, high=26.88, low=26.78, close=26.8, volume=1320, vwap=26.8072, timestamp=1698408000000, transactions=10, otc=None)
Agg(open=26.7, high=27.195, low=26.32, close=26.5969, volume=160124, vwap=26.6456, timestamp=1698411600000, transactions=1408, otc=None)
Agg(open=26.54, high=26.6927, low=25.88, close=25.9, volume=170032, vwap=26.3399, timestamp=1698415200000, transactions=1710, otc=None)
Agg(open=25.895, high=26.05, low=25.81, close=25.855, volume=88176, vwap=25.9086, timestamp=1698418800000, transactions=1170, otc=None)
Agg(open=25.84, high=25.99, low=25.76, close=25.94, volume=58723, vwap=25.8839, timestamp=1698422400000, transactions=788, otc=None)
Agg(open=25.925, high=26.12, low=25.81, close=26.06, volume=68856, vwap=25.9928, timestamp=1698426000000, transactions=973, otc=None)
Agg(open=26.07, high=26.1389, low=25.98, close=26.05, volume=61263, vwap=26.0756, timestamp=1698429600000, transactions=911, otc=None)
Agg(open=26.06, high=26.199, low=26, close=26.01, volume=268952, vwap=26.0584, timestamp=1698433200000, transactions=3127, otc=None)
