Agg(open=8.01, high=8.01, low=8, close=8, volume=250, vwap=8.004, timestamp=1675080000000, transactions=3, otc=None)
Agg(open=8.06, high=8.13, low=8.06, close=8.0899, volume=1479, vwap=8.0857, timestamp=1675083600000, transactions=4, otc=None)
Agg(open=8.0301, high=8.08, low=8.0301, close=8.045, volume=351110, vwap=8.0495, timestamp=1675087200000, transactions=328, otc=None)
Agg(open=8.0428, high=8.0699, low=8.02, close=8.035, volume=386083, vwap=8.0481, timestamp=1675090800000, transactions=450, otc=None)
Agg(open=8.0346, high=8.0494, low=8.015, close=8.045, volume=216664, vwap=8.0325, timestamp=1675094400000, transactions=327, otc=None)
Agg(open=8.045, high=8.05, low=8.0234, close=8.035, volume=226207, vwap=8.0356, timestamp=1675098000000, transactions=261, otc=None)
Agg(open=8.035, high=8.05, low=8.01, close=8.015, volume=161273, vwap=8.0292, timestamp=1675101600000, transactions=190, otc=None)
Agg(open=8.015, high=8.04, low=8.01, close=8.015, volume=340710, vwap=8.0247, timestamp=1675105200000, transactions=284, otc=None)
Agg(open=8.02, high=8.0299, low=8, close=8.02, volume=383144, vwap=8.0135, timestamp=1675108800000, transactions=528, otc=None)
Agg(open=8.04, high=8.04, low=8.04, close=8.04, volume=1000, vwap=8.04, timestamp=1675112400000, transactions=1, otc=None)
Agg(open=8.04, high=8.04, low=8.035, close=8.04, volume=500, vwap=8.038, timestamp=1675116000000, transactions=3, otc=None)
Agg(open=7.9, high=7.9, low=7.9, close=7.9, volume=2300, vwap=7.9003, timestamp=1675155600000, transactions=7, otc=None)
Agg(open=7.95, high=7.95, low=7.87, close=7.87, volume=1986, vwap=7.9018, timestamp=1675162800000, transactions=8, otc=None)
Agg(open=7.98, high=7.98, low=7.86, close=7.86, volume=13093, vwap=7.9066, timestamp=1675166400000, transactions=22, otc=None)
Agg(open=7.9, high=7.9299, low=7.86, close=7.9, volume=28586, vwap=7.8668, timestamp=1675170000000, transactions=27, otc=None)
Agg(open=7.92, high=8.03, low=7.92, close=8.02, volume=515661, vwap=7.9892, timestamp=1675173600000, transactions=421, otc=None)
Agg(open=8.0267, high=8.05, low=7.99, close=8.0419, volume=294763, vwap=8.02, timestamp=1675177200000, transactions=463, otc=None)
Agg(open=8.045, high=8.0699, low=8.0311, close=8.045, volume=200957, vwap=8.0518, timestamp=1675180800000, transactions=321, otc=None)
Agg(open=8.0401, high=8.07, low=8.035, close=8.06, volume=77576, vwap=8.0499, timestamp=1675184400000, transactions=216, otc=None)
Agg(open=8.06, high=8.075, low=8.0538, close=8.06, volume=142486, vwap=8.0607, timestamp=1675188000000, transactions=296, otc=None)
Agg(open=8.06, high=8.07, low=8.04, close=8.045, volume=164234, vwap=8.0622, timestamp=1675191600000, transactions=181, otc=None)
Agg(open=8.0479, high=8.0699, low=8.04, close=8.06, volume=197591, vwap=8.0517, timestamp=1675195200000, transactions=403, otc=None)
Agg(open=8.07, high=8.07, low=8.07, close=8.07, volume=1550, vwap=8.07, timestamp=1675198800000, transactions=5, otc=None)
Agg(open=8.06, high=8.06, low=8.06, close=8.06, volume=1400, vwap=8.06, timestamp=1675202400000, transactions=1, otc=None)
Agg(open=8.02, high=8.02, low=8.02, close=8.02, volume=600, vwap=8.02, timestamp=1675209600000, transactions=1, otc=None)
Agg(open=8.04, high=8.04, low=8.03, close=8.04, volume=3650, vwap=8.0397, timestamp=1675252800000, transactions=20, otc=None)
Agg(open=8.03, high=8.03, low=7.99, close=7.99, volume=14451, vwap=8.0203, timestamp=1675256400000, transactions=15, otc=None)
Agg(open=8.04, high=8.0498, low=8.01, close=8.0105, volume=292883, vwap=8.0248, timestamp=1675260000000, transactions=346, otc=None)
Agg(open=8.02, high=8.04, low=7.971, close=8.039, volume=930883, vwap=8.003, timestamp=1675263600000, transactions=795, otc=None)
Agg(open=8.04, high=8.0499, low=7.98, close=7.985, volume=380800, vwap=8.0184, timestamp=1675267200000, transactions=387, otc=None)
Agg(open=7.985, high=7.9899, low=7.9401, close=7.98, volume=364480, vwap=7.9635, timestamp=1675270800000, transactions=535, otc=None)
Agg(open=7.9701, high=7.9999, low=7.97, close=7.985, volume=310566, vwap=7.9842, timestamp=1675274400000, transactions=357, otc=None)
Agg(open=7.98, high=8.13, low=7.956, close=8.111, volume=1216113.0, vwap=8.0543, timestamp=1675278000000, transactions=1337, otc=None)
Agg(open=8.12, high=8.17, low=8.105, close=8.15, volume=915412, vwap=8.144, timestamp=1675281600000, transactions=1166, otc=None)
Agg(open=8.15, high=8.16, low=8.15, close=8.16, volume=441, vwap=8.1543, timestamp=1675285200000, transactions=3, otc=None)
Agg(open=8.12, high=8.12, low=8.12, close=8.12, volume=4000, vwap=8.12, timestamp=1675288800000, transactions=4, otc=None)
Agg(open=8.15, high=8.15, low=8.13, close=8.13, volume=3222, vwap=8.1486, timestamp=1675292400000, transactions=5, otc=None)
Agg(open=8.17, high=8.17, low=8.14, close=8.17, volume=1025, vwap=8.1668, timestamp=1675296000000, transactions=5, otc=None)
Agg(open=8.2, high=8.24, low=8.2, close=8.24, volume=1200, vwap=8.2208, timestamp=1675328400000, transactions=5, otc=None)
Agg(open=8.25, high=8.3, low=8.25, close=8.3, volume=3727, vwap=8.2719, timestamp=1675335600000, transactions=8, otc=None)
Agg(open=8.28, high=8.28, low=8.2, close=8.23, volume=6545, vwap=8.2493, timestamp=1675339200000, transactions=13, otc=None)
Agg(open=8.2792, high=8.3, low=8.2, close=8.29, volume=34170, vwap=8.2754, timestamp=1675342800000, transactions=84, otc=None)
Agg(open=8.29, high=8.35, low=8.15, close=8.15, volume=794027, vwap=8.2563, timestamp=1675346400000, transactions=981, otc=None)
Agg(open=8.155, high=8.1899, low=8.09, close=8.105, volume=2420141.0, vwap=8.1163, timestamp=1675350000000, transactions=1729, otc=None)
Agg(open=8.105, high=8.105, low=7.98, close=8.01, volume=1105524.0, vwap=8.0169, timestamp=1675353600000, transactions=1474, otc=None)
Agg(open=8.0155, high=8.03, low=7.97, close=7.9875, volume=446804, vwap=7.9979, timestamp=1675357200000, transactions=623, otc=None)
Agg(open=7.985, high=8.03, low=7.9718, close=8.03, volume=452814, vwap=8.0067, timestamp=1675360800000, transactions=676, otc=None)
Agg(open=8.03, high=8.03, low=7.96, close=7.965, volume=402572, vwap=7.9884, timestamp=1675364400000, transactions=642, otc=None)
Agg(open=7.965, high=7.98, low=7.96, close=7.97, volume=584769, vwap=7.9684, timestamp=1675368000000, transactions=961, otc=None)
Agg(open=7.99, high=7.99, low=7.97, close=7.99, volume=5600, vwap=7.9882, timestamp=1675371600000, transactions=6, otc=None)
Agg(open=7.99, high=7.99, low=7.97, close=7.97, volume=6025, vwap=7.98, timestamp=1675375200000, transactions=10, otc=None)
Agg(open=7.97, high=8, low=7.96, close=8, volume=2175, vwap=7.9718, timestamp=1675378800000, transactions=7, otc=None)
