Agg(open=20.05, high=20.05, low=20, close=20, volume=297, vwap=20.0332, timestamp=1673269200000, transactions=2, otc=None)
Agg(open=20.09, high=20.09, low=19.68, close=19.715, volume=153971, vwap=19.8073, timestamp=1673272800000, transactions=2004, otc=None)
Agg(open=19.715, high=19.83, low=19.645, close=19.685, volume=442513, vwap=19.725, timestamp=1673276400000, transactions=4064, otc=None)
Agg(open=19.6807, high=19.785, low=19.62, close=19.7, volume=229937, vwap=19.6907, timestamp=1673280000000, transactions=2872, otc=None)
Agg(open=19.7, high=19.78, low=19.62, close=19.655, volume=182278, vwap=19.6918, timestamp=1673283600000, transactions=3008, otc=None)
Agg(open=19.655, high=19.67, low=19.53, close=19.545, volume=250285, vwap=19.6183, timestamp=1673287200000, transactions=3844, otc=None)
Agg(open=19.55, high=19.575, low=19.475, close=19.535, volume=260540, vwap=19.5265, timestamp=1673290800000, transactions=3651, otc=None)
Agg(open=19.535, high=19.63, low=19.52, close=19.545, volume=848323, vwap=19.5771, timestamp=1673294400000, transactions=9041, otc=None)
Agg(open=19.55, high=19.55, low=19.55, close=19.55, volume=117112, vwap=19.55, timestamp=1673298000000, transactions=18, otc=None)
Agg(open=19.6, high=19.6, low=19.5, close=19.5, volume=2402, vwap=19.5878, timestamp=1673352000000, transactions=8, otc=None)
Agg(open=19.43, high=19.45, low=19.43, close=19.45, volume=210, vwap=19.4405, timestamp=1673355600000, transactions=3, otc=None)
Agg(open=19.49, high=19.77, low=19.49, close=19.65, volume=209400, vwap=19.6577, timestamp=1673359200000, transactions=2396, otc=None)
Agg(open=19.635, high=19.75, low=19.515, close=19.6, volume=547131, vwap=19.6344, timestamp=1673362800000, transactions=3632, otc=None)
Agg(open=19.6, high=19.6775, low=19.51, close=19.51, volume=292845, vwap=19.6064, timestamp=1673366400000, transactions=2734, otc=None)
Agg(open=19.51, high=19.63, low=19.475, close=19.6, volume=180153, vwap=19.5798, timestamp=1673370000000, transactions=2663, otc=None)
Agg(open=19.6, high=19.78, low=19.57, close=19.7744, volume=166470, vwap=19.7011, timestamp=1673373600000, transactions=2249, otc=None)
Agg(open=19.7762, high=19.78, low=19.7, close=19.73, volume=117399, vwap=19.7471, timestamp=1673377200000, transactions=2240, otc=None)
Agg(open=19.74, high=19.85, low=19.72, close=19.84, volume=446551, vwap=19.7862, timestamp=1673380800000, transactions=5642, otc=None)
Agg(open=19.84, high=19.84, low=19.81, close=19.81, volume=15528, vwap=19.8396, timestamp=1673384400000, transactions=15, otc=None)
Agg(open=19.75, high=19.75, low=19.75, close=19.75, volume=100, vwap=19.75, timestamp=1673395200000, transactions=1, otc=None)
Agg(open=19.85, high=19.85, low=19.85, close=19.85, volume=120, vwap=19.85, timestamp=1673438400000, transactions=1, otc=None)
Agg(open=19.95, high=19.95, low=19.95, close=19.95, volume=100, vwap=19.95, timestamp=1673442000000, transactions=1, otc=None)
Agg(open=20.02, high=20.2, low=19.92, close=20.08, volume=118931, vwap=20.0487, timestamp=1673445600000, transactions=1132, otc=None)
Agg(open=20.09, high=20.17, low=20.005, close=20.02, volume=303129, vwap=20.0862, timestamp=1673449200000, transactions=2036, otc=None)
Agg(open=20.02, high=20.15147, low=19.94, close=19.96, volume=132279, vwap=20.0114, timestamp=1673452800000, transactions=1687, otc=None)
Agg(open=19.965, high=20.01, low=19.855, close=19.87, volume=137370, vwap=19.9384, timestamp=1673456400000, transactions=1798, otc=None)
Agg(open=19.865, high=19.9592, low=19.845, close=19.9, volume=183031, vwap=19.9048, timestamp=1673460000000, transactions=2390, otc=None)
Agg(open=19.905, high=19.94, low=19.87, close=19.92, volume=262670, vwap=19.9043, timestamp=1673463600000, transactions=2929, otc=None)
Agg(open=19.9148, high=20.12, low=19.9148, close=20.11, volume=658195, vwap=20.0529, timestamp=1673467200000, transactions=6648, otc=None)
Agg(open=20.11, high=20.11, low=20.08, close=20.08, volume=64534, vwap=20.1099, timestamp=1673470800000, transactions=19, otc=None)
