Agg(open=8, high=8.03, low=7.93, close=7.93, volume=147724, vwap=7.9866, timestamp=1690808400000, transactions=991, otc=None)
Agg(open=7.93, high=7.94, low=7.78, close=7.865, volume=229352, vwap=7.8733, timestamp=1690812000000, transactions=1838, otc=None)
Agg(open=7.86, high=7.88, low=7.79, close=7.805, volume=130767, vwap=7.841, timestamp=1690815600000, transactions=1318, otc=None)
Agg(open=7.805, high=7.82, low=7.72, close=7.735, volume=185899, vwap=7.7667, timestamp=1690819200000, transactions=1193, otc=None)
Agg(open=7.735, high=7.77, low=7.71, close=7.765, volume=130366, vwap=7.7329, timestamp=1690822800000, transactions=1229, otc=None)
Agg(open=7.765, high=7.795, low=7.74, close=7.75, volume=129441, vwap=7.7591, timestamp=1690826400000, transactions=1373, otc=None)
Agg(open=7.76, high=7.79, low=7.75, close=7.79, volume=353981, vwap=7.7649, timestamp=1690830000000, transactions=2912, otc=None)
Agg(open=7.78, high=7.78, low=7.78, close=7.78, volume=4104, vwap=7.78, timestamp=1690833600000, transactions=9, otc=None)
Agg(open=7.4217, high=7.4217, low=7.4217, close=7.4217, volume=130, vwap=7.4217, timestamp=1690891200000, transactions=1, otc=None)
Agg(open=7.77, high=7.85, low=7.75, close=7.83, volume=38443, vwap=7.7839, timestamp=1690894800000, transactions=374, otc=None)
Agg(open=7.83, high=7.84, low=7.69, close=7.78, volume=237776, vwap=7.731, timestamp=1690898400000, transactions=1614, otc=None)
Agg(open=7.78, high=7.86, low=7.77, close=7.85, volume=90997, vwap=7.8108, timestamp=1690902000000, transactions=981, otc=None)
Agg(open=7.85, high=7.88, low=7.81, close=7.835, volume=155014, vwap=7.8402, timestamp=1690905600000, transactions=898, otc=None)
Agg(open=7.84, high=7.9, low=7.81, close=7.9, volume=141807, vwap=7.8625, timestamp=1690909200000, transactions=1185, otc=None)
Agg(open=7.8973, high=7.92, low=7.89, close=7.91, volume=212638, vwap=7.9031, timestamp=1690912800000, transactions=1316, otc=None)
Agg(open=7.91, high=7.94, low=7.88, close=7.9, volume=460615, vwap=7.916, timestamp=1690916400000, transactions=3407, otc=None)
Agg(open=7.89, high=7.89, low=7.89, close=7.89, volume=1589, vwap=7.89, timestamp=1690920000000, transactions=9, otc=None)
Agg(open=7.99, high=7.99, low=7.99, close=7.99, volume=200, vwap=7.9948, timestamp=1690966800000, transactions=3, otc=None)
Agg(open=7.98, high=8, low=7.94, close=8, volume=1428, vwap=7.9895, timestamp=1690974000000, transactions=9, otc=None)
Agg(open=7.95, high=7.95, low=7.95, close=7.95, volume=150, vwap=7.95, timestamp=1690977600000, transactions=1, otc=None)
Agg(open=7.87, high=7.9, low=7.755, close=7.79, volume=75985, vwap=7.8093, timestamp=1690981200000, transactions=537, otc=None)
Agg(open=7.785, high=7.95, low=7.765, close=7.765, volume=209533, vwap=7.8473, timestamp=1690984800000, transactions=1411, otc=None)
Agg(open=7.77, high=7.94, low=7.77, close=7.935, volume=2065793.0, vwap=7.8948, timestamp=1690988400000, transactions=1601, otc=None)
Agg(open=7.94, high=8.02, low=7.85, close=7.855, volume=396273, vwap=7.9048, timestamp=1690992000000, transactions=1821, otc=None)
Agg(open=7.855, high=7.9, low=7.84, close=7.9, volume=249563, vwap=7.8713, timestamp=1690995600000, transactions=1047, otc=None)
