Agg(open=10.98, high=11, low=10.97, close=11, volume=43142, vwap=10.9869, timestamp=1690203600000, transactions=148, otc=None)
Agg(open=10.995, high=11.005, low=10.98, close=10.995, volume=137491, vwap=10.9902, timestamp=1690207200000, transactions=353, otc=None)
Agg(open=10.995, high=11, low=10.99, close=10.995, volume=46170, vwap=10.9954, timestamp=1690210800000, transactions=138, otc=None)
Agg(open=10.995, high=11, low=10.99, close=11, volume=81114, vwap=10.9939, timestamp=1690214400000, transactions=290, otc=None)
Agg(open=11, high=11, low=10.97, close=10.975, volume=58374, vwap=10.9909, timestamp=1690218000000, transactions=358, otc=None)
Agg(open=10.975, high=10.98, low=10.97, close=10.98, volume=54784, vwap=10.9748, timestamp=1690221600000, transactions=315, otc=None)
Agg(open=10.98, high=10.98, low=10.96, close=10.96, volume=74542, vwap=10.974, timestamp=1690225200000, transactions=450, otc=None)
Agg(open=10.9943, high=10.9943, low=10.9943, close=10.9943, volume=164851, vwap=10.9943, timestamp=1690228800000, transactions=1, otc=None)
Agg(open=10.93, high=10.97, low=10.93, close=10.955, volume=46886, vwap=10.9469, timestamp=1690290000000, transactions=182, otc=None)
Agg(open=10.95, high=10.97, low=10.95, close=10.97, volume=59206, vwap=10.9612, timestamp=1690293600000, transactions=245, otc=None)
Agg(open=10.97, high=10.97, low=10.9644, close=10.965, volume=56221, vwap=10.9677, timestamp=1690297200000, transactions=157, otc=None)
Agg(open=10.965, high=10.97, low=10.96, close=10.9601, volume=28652, vwap=10.9633, timestamp=1690300800000, transactions=106, otc=None)
Agg(open=10.96, high=10.97, low=10.95, close=10.95, volume=55244, vwap=10.9577, timestamp=1690304400000, transactions=190, otc=None)
Agg(open=10.9511, high=10.96, low=10.95, close=10.9511, volume=38507, vwap=10.9561, timestamp=1690308000000, transactions=96, otc=None)
Agg(open=10.955, high=10.96, low=10.94, close=10.94, volume=84856, vwap=10.9482, timestamp=1690311600000, transactions=369, otc=None)
Agg(open=10.94, high=10.95, low=10.92, close=10.94, volume=93386, vwap=10.9317, timestamp=1690376400000, transactions=245, otc=None)
Agg(open=10.94, high=10.94, low=10.92, close=10.925, volume=122961, vwap=10.9282, timestamp=1690380000000, transactions=625, otc=None)
Agg(open=10.925, high=10.94, low=10.92, close=10.9299, volume=93211, vwap=10.93, timestamp=1690383600000, transactions=321, otc=None)
Agg(open=10.925, high=10.94, low=10.925, close=10.935, volume=61799, vwap=10.9341, timestamp=1690387200000, transactions=287, otc=None)
Agg(open=10.9353, high=10.94, low=10.93, close=10.935, volume=77058, vwap=10.9325, timestamp=1690390800000, transactions=446, otc=None)
Agg(open=10.9303, high=10.94, low=10.91, close=10.915, volume=146633, vwap=10.9216, timestamp=1690394400000, transactions=677, otc=None)
Agg(open=10.915, high=10.95, low=10.915, close=10.95, volume=212302, vwap=10.9302, timestamp=1690398000000, transactions=789, otc=None)
Agg(open=10.95, high=10.95, low=10.95, close=10.95, volume=2500, vwap=10.95, timestamp=1690401600000, transactions=1, otc=None)
Agg(open=10.9, high=10.9, low=10.9, close=10.9, volume=1500, vwap=10.9, timestamp=1690459200000, transactions=1, otc=None)
Agg(open=10.92, high=10.92, low=10.86, close=10.87, volume=124108, vwap=10.8851, timestamp=1690462800000, transactions=352, otc=None)
Agg(open=10.87, high=10.88, low=10.85, close=10.86, volume=241624, vwap=10.8672, timestamp=1690466400000, transactions=948, otc=None)
Agg(open=10.86, high=10.89, low=10.86, close=10.89, volume=86832, vwap=10.8766, timestamp=1690470000000, transactions=298, otc=None)
Agg(open=10.88, high=10.89, low=10.87, close=10.875, volume=75189, vwap=10.8801, timestamp=1690473600000, transactions=240, otc=None)
Agg(open=10.875, high=10.88, low=10.84, close=10.85, volume=124977, vwap=10.8651, timestamp=1690477200000, transactions=574, otc=None)
Agg(open=10.845, high=10.85, low=10.82, close=10.84, volume=158868, vwap=10.8358, timestamp=1690480800000, transactions=726, otc=None)
Agg(open=10.84, high=10.85, low=10.83, close=10.84, volume=142847, vwap=10.8421, timestamp=1690484400000, transactions=642, otc=None)
Agg(open=10.88, high=10.89, low=10.85, close=10.885, volume=117034, vwap=10.8713, timestamp=1690549200000, transactions=438, otc=None)
Agg(open=10.885, high=10.95, low=10.885, close=10.935, volume=125890, vwap=10.9127, timestamp=1690552800000, transactions=704, otc=None)
Agg(open=10.935, high=10.94, low=10.925, close=10.93, volume=50295, vwap=10.9326, timestamp=1690556400000, transactions=240, otc=None)
Agg(open=10.93, high=10.9386, low=10.9101, close=10.915, volume=59534, vwap=10.9256, timestamp=1690560000000, transactions=247, otc=None)
Agg(open=10.91, high=10.92, low=10.89, close=10.898, volume=86713, vwap=10.9075, timestamp=1690563600000, transactions=332, otc=None)
Agg(open=10.895, high=10.9, low=10.88, close=10.9, volume=74802, vwap=10.8891, timestamp=1690567200000, transactions=264, otc=None)
Agg(open=10.895, high=10.91, low=10.89, close=10.91, volume=95963, vwap=10.905, timestamp=1690570800000, transactions=301, otc=None)
Agg(open=10.8, high=10.8, low=10.8, close=10.8, volume=171, vwap=10.8, timestamp=1690585200000, transactions=2, otc=None)
