Agg(open=7.01, high=7.045, low=6.67, close=6.945, volume=4628970.0, vwap=6.8672, timestamp=1683208800000, transactions=29769, otc=None)
Agg(open=6.945, high=7.275, low=6.94, close=6.9599, volume=1946126.0, vwap=7.1098, timestamp=1683212400000, transactions=13372, otc=None)
Agg(open=6.965, high=7.085, low=6.865, close=6.995, volume=3568000.0, vwap=6.9766, timestamp=1683216000000, transactions=18528, otc=None)
Agg(open=6.995, high=7.14, low=6.93, close=6.995, volume=1888252.0, vwap=7.0441, timestamp=1683219600000, transactions=10395, otc=None)
Agg(open=6.995, high=7.115, low=6.93, close=7.025, volume=1573986.0, vwap=7.0478, timestamp=1683223200000, transactions=8752, otc=None)
Agg(open=7.025, high=7.155, low=6.99, close=7.14, volume=3686292.0, vwap=7.0901, timestamp=1683226800000, transactions=14964, otc=None)
Agg(open=7.14, high=7.14, low=7.14, close=7.14, volume=29169, vwap=7.1401, timestamp=1683230400000, transactions=14, otc=None)
Agg(open=7.2, high=7.2, low=7.2, close=7.2, volume=169, vwap=7.1755, timestamp=1683234000000, transactions=2, otc=None)
Agg(open=7.29, high=7.3, low=7.29, close=7.3, volume=2500, vwap=7.2953, timestamp=1683241200000, transactions=13, otc=None)
Agg(open=7.25, high=7.3, low=7.25, close=7.3, volume=2531, vwap=7.2932, timestamp=1683284400000, transactions=10, otc=None)
Agg(open=7.3, high=7.3, low=7.3, close=7.3, volume=504, vwap=7.2998, timestamp=1683288000000, transactions=2, otc=None)
Agg(open=7.5, high=7.67, low=7.355, close=7.41, volume=850272, vwap=7.5073, timestamp=1683291600000, transactions=4814, otc=None)
Agg(open=7.41, high=7.56, low=7.395, close=7.535, volume=1396869.0, vwap=7.4653, timestamp=1683295200000, transactions=9904, otc=None)
Agg(open=7.535, high=7.65, low=7.535, close=7.64, volume=1035271.0, vwap=7.589, timestamp=1683298800000, transactions=7483, otc=None)
Agg(open=7.64, high=7.685, low=7.47, close=7.515, volume=1262376.0, vwap=7.5742, timestamp=1683302400000, transactions=9345, otc=None)
Agg(open=7.52, high=7.55, low=7.41, close=7.41, volume=1121718.0, vwap=7.4722, timestamp=1683306000000, transactions=8277, otc=None)
Agg(open=7.415, high=7.51, low=7.385, close=7.47, volume=1274796.0, vwap=7.4421, timestamp=1683309600000, transactions=8180, otc=None)
Agg(open=7.465, high=7.68, low=7.46, close=7.585, volume=3260547.0, vwap=7.6026, timestamp=1683313200000, transactions=15820, otc=None)
Agg(open=7.6, high=7.64, low=7.54, close=7.54, volume=484071, vwap=7.6001, timestamp=1683316800000, transactions=22, otc=None)
Agg(open=7.62, high=7.62, low=7.62, close=7.62, volume=100, vwap=7.62, timestamp=1683324000000, transactions=1, otc=None)
Agg(open=7.61, high=7.64, low=7.61, close=7.64, volume=360, vwap=7.6317, timestamp=1683327600000, transactions=2, otc=None)
