Agg(open=5, high=5, low=4.9, close=4.9, volume=9099, vwap=4.9548, timestamp=1690185600000, transactions=43, otc=None)
Agg(open=4.9, high=4.945, low=4.89, close=4.94, volume=2730, vwap=4.9201, timestamp=1690189200000, transactions=22, otc=None)
Agg(open=4.94, high=4.95, low=4.94, close=4.95, volume=2618, vwap=4.9486, timestamp=1690192800000, transactions=6, otc=None)
Agg(open=4.95, high=4.95, low=4.94, close=4.95, volume=3832, vwap=4.9492, timestamp=1690196400000, transactions=25, otc=None)
Agg(open=4.95, high=4.97, low=4.93, close=4.97, volume=47651, vwap=4.952, timestamp=1690200000000, transactions=35, otc=None)
Agg(open=4.97, high=5.015, low=4.9, close=4.99, volume=1855249.0, vwap=4.9602, timestamp=1690203600000, transactions=4091, otc=None)
Agg(open=4.99, high=5.28, low=4.99, close=5.255, volume=2768864.0, vwap=5.1655, timestamp=1690207200000, transactions=7474, otc=None)
Agg(open=5.255, high=5.42, low=5.25, close=5.4, volume=4512055.0, vwap=5.3653, timestamp=1690210800000, transactions=10536, otc=None)
Agg(open=5.4013, high=5.46, low=5.39, close=5.43, volume=1822026.0, vwap=5.4233, timestamp=1690214400000, transactions=5942, otc=None)
Agg(open=5.43, high=5.45, low=5.36, close=5.4, volume=713430, vwap=5.4011, timestamp=1690218000000, transactions=2823, otc=None)
Agg(open=5.395, high=5.41, low=5.36, close=5.375, volume=675427, vwap=5.3886, timestamp=1690221600000, transactions=2421, otc=None)
Agg(open=5.375, high=5.39, low=5.32, close=5.3625, volume=2136594.0, vwap=5.3555, timestamp=1690225200000, transactions=6060, otc=None)
Agg(open=5.36, high=5.37, low=5.34, close=5.34, volume=57086, vwap=5.3597, timestamp=1690228800000, transactions=18, otc=None)
Agg(open=5.34, high=5.36, low=5.34, close=5.36, volume=1199, vwap=5.35, timestamp=1690232400000, transactions=3, otc=None)
Agg(open=5.39, high=5.39, low=5.34, close=5.36, volume=3356, vwap=5.3523, timestamp=1690236000000, transactions=7, otc=None)
Agg(open=5.36, high=5.37, low=5.36, close=5.37, volume=1066, vwap=5.3671, timestamp=1690239600000, transactions=7, otc=None)
Agg(open=5.46, high=5.6, low=5.46, close=5.55, volume=16511, vwap=5.5469, timestamp=1690272000000, transactions=92, otc=None)
Agg(open=5.55, high=5.56, low=5.54, close=5.56, volume=6164, vwap=5.5449, timestamp=1690275600000, transactions=26, otc=None)
Agg(open=5.56, high=5.58, low=5.56, close=5.56, volume=15326, vwap=5.5755, timestamp=1690279200000, transactions=32, otc=None)
Agg(open=5.55, high=5.56, low=5.51, close=5.51, volume=3705, vwap=5.5269, timestamp=1690282800000, transactions=34, otc=None)
Agg(open=5.5492, high=5.5785, low=5.34, close=5.56, volume=20864, vwap=5.5256, timestamp=1690286400000, transactions=99, otc=None)
Agg(open=5.54, high=5.57, low=5.4, close=5.48, volume=1751077.0, vwap=5.4611, timestamp=1690290000000, transactions=5526, otc=None)
Agg(open=5.475, high=5.5, low=5.365, close=5.435, volume=1215118.0, vwap=5.4383, timestamp=1690293600000, transactions=7022, otc=None)
Agg(open=5.435, high=5.46, low=5.315, close=5.351, volume=1055192.0, vwap=5.3656, timestamp=1690297200000, transactions=4767, otc=None)
Agg(open=5.35, high=5.36, low=5.265, close=5.275, volume=871457, vwap=5.3241, timestamp=1690300800000, transactions=2799, otc=None)
Agg(open=5.27, high=5.305, low=5.25, close=5.285, volume=493316, vwap=5.2791, timestamp=1690304400000, transactions=2152, otc=None)
Agg(open=5.29, high=5.31, low=5.27, close=5.29, volume=338387, vwap=5.2922, timestamp=1690308000000, transactions=2120, otc=None)
Agg(open=5.285, high=5.305, low=5.26, close=5.26, volume=1081748.0, vwap=5.2785, timestamp=1690311600000, transactions=5823, otc=None)
Agg(open=5.27, high=5.27, low=5.26, close=5.2615, volume=27414, vwap=5.2695, timestamp=1690315200000, transactions=18, otc=None)
Agg(open=5.27, high=5.27, low=5.27, close=5.27, volume=200, vwap=5.27, timestamp=1690318800000, transactions=1, otc=None)
Agg(open=5.27, high=5.27, low=5.27, close=5.27, volume=1413, vwap=5.27, timestamp=1690322400000, transactions=2, otc=None)
Agg(open=5.261, high=5.261, low=5.26, close=5.26, volume=2899, vwap=5.2603, timestamp=1690326000000, transactions=18, otc=None)
Agg(open=5.28, high=5.28, low=5.28, close=5.28, volume=200, vwap=5.28, timestamp=1690358400000, transactions=2, otc=None)
Agg(open=5.27, high=5.27, low=5.27, close=5.27, volume=100, vwap=5.27, timestamp=1690362000000, transactions=1, otc=None)
Agg(open=5.29, high=5.29, low=5.29, close=5.29, volume=199, vwap=5.2899, timestamp=1690365600000, transactions=2, otc=None)
Agg(open=5.26, high=5.26, low=5.25, close=5.26, volume=1650, vwap=5.2515, timestamp=1690369200000, transactions=8, otc=None)
Agg(open=5.2696, high=5.2699, low=5.24, close=5.24, volume=18707, vwap=5.2533, timestamp=1690372800000, transactions=31, otc=None)
Agg(open=5.24, high=5.45, low=5.22, close=5.435, volume=1665067.0, vwap=5.3434, timestamp=1690376400000, transactions=4454, otc=None)
Agg(open=5.435, high=5.44, low=5.3, close=5.3, volume=2966214.0, vwap=5.3628, timestamp=1690380000000, transactions=7480, otc=None)
Agg(open=5.305, high=5.335, low=5.285, close=5.325, volume=1703030.0, vwap=5.3063, timestamp=1690383600000, transactions=5154, otc=None)
Agg(open=5.325, high=5.38, low=5.28, close=5.3759, volume=1051827.0, vwap=5.3227, timestamp=1690387200000, transactions=3291, otc=None)
Agg(open=5.375, high=5.42, low=5.35, close=5.35, volume=640903, vwap=5.396, timestamp=1690390800000, transactions=3150, otc=None)
Agg(open=5.355, high=5.42, low=5.34, close=5.375, volume=769580, vwap=5.3779, timestamp=1690394400000, transactions=3517, otc=None)
Agg(open=5.375, high=5.38, low=5.31, close=5.34, volume=1915541.0, vwap=5.3379, timestamp=1690398000000, transactions=6473, otc=None)
Agg(open=5.35, high=5.36, low=5.33, close=5.35, volume=95430, vwap=5.349, timestamp=1690401600000, transactions=77, otc=None)
Agg(open=5.36, high=5.39, low=5.34, close=5.34, volume=4330, vwap=5.3773, timestamp=1690405200000, transactions=10, otc=None)
Agg(open=5.34, high=5.4, low=5.34, close=5.4, volume=6721, vwap=5.3862, timestamp=1690408800000, transactions=12, otc=None)
Agg(open=5.4, high=5.47, low=5.38, close=5.38, volume=9034, vwap=5.4205, timestamp=1690412400000, transactions=48, otc=None)
Agg(open=5.45, high=5.55, low=5.44, close=5.51, volume=21500, vwap=5.5102, timestamp=1690444800000, transactions=139, otc=None)
Agg(open=5.53, high=5.53, low=5.5, close=5.5, volume=10145, vwap=5.5062, timestamp=1690448400000, transactions=50, otc=None)
Agg(open=5.5, high=5.52, low=5.5, close=5.52, volume=6150, vwap=5.5066, timestamp=1690452000000, transactions=30, otc=None)
Agg(open=5.51, high=5.52, low=5.5, close=5.52, volume=22370, vwap=5.5025, timestamp=1690455600000, transactions=48, otc=None)
Agg(open=5.5009, high=5.54, low=5.5, close=5.53, volume=33791, vwap=5.5218, timestamp=1690459200000, transactions=88, otc=None)
Agg(open=5.52, high=5.55, low=5.29, close=5.3593, volume=1825045.0, vwap=5.4214, timestamp=1690462800000, transactions=6427, otc=None)
Agg(open=5.36, high=5.49, low=5.33, close=5.485, volume=1881981.0, vwap=5.4254, timestamp=1690466400000, transactions=5663, otc=None)
Agg(open=5.485, high=5.69, low=5.48, close=5.651, volume=1826194.0, vwap=5.5817, timestamp=1690470000000, transactions=5975, otc=None)
Agg(open=5.655, high=5.67, low=5.6013, close=5.625, volume=688399, vwap=5.6395, timestamp=1690473600000, transactions=2911, otc=None)
Agg(open=5.63, high=5.65, low=5.61, close=5.625, volume=1129949.0, vwap=5.6253, timestamp=1690477200000, transactions=3383, otc=None)
Agg(open=5.63, high=5.635, low=5.54, close=5.585, volume=2137769.0, vwap=5.5946, timestamp=1690480800000, transactions=6047, otc=None)
Agg(open=5.585, high=5.61, low=5.57, close=5.6, volume=2714617.0, vwap=5.5917, timestamp=1690484400000, transactions=7707, otc=None)
Agg(open=5.58, high=5.6, low=5.57, close=5.57, volume=43741, vwap=5.5792, timestamp=1690488000000, transactions=28, otc=None)
Agg(open=5.58, high=5.58, low=5.55, close=5.55, volume=850, vwap=5.5583, timestamp=1690491600000, transactions=4, otc=None)
Agg(open=5.55, high=5.55, low=5.53, close=5.53, volume=1972, vwap=5.547, timestamp=1690495200000, transactions=8, otc=None)
Agg(open=5.54, high=5.54, low=5.5, close=5.5, volume=4036, vwap=5.526, timestamp=1690498800000, transactions=20, otc=None)
Agg(open=5.58, high=5.84, low=5.58, close=5.78, volume=44710, vwap=5.7935, timestamp=1690531200000, transactions=203, otc=None)
Agg(open=5.79, high=5.83, low=5.77, close=5.83, volume=15676, vwap=5.8165, timestamp=1690534800000, transactions=68, otc=None)
Agg(open=5.84, high=5.85, low=5.81, close=5.85, volume=7141, vwap=5.8354, timestamp=1690538400000, transactions=57, otc=None)
Agg(open=5.83, high=5.83, low=5.8, close=5.82, volume=24571, vwap=5.8081, timestamp=1690542000000, transactions=50, otc=None)
Agg(open=5.82, high=5.82, low=5.6, close=5.8, volume=55449, vwap=5.8011, timestamp=1690545600000, transactions=165, otc=None)
Agg(open=5.8, high=6.165, low=5.76, close=6.025, volume=3841302.0, vwap=6.0068, timestamp=1690549200000, transactions=12396, otc=None)
Agg(open=6.02, high=6.25, low=5.92, close=6.165, volume=6990119.0, vwap=6.1036, timestamp=1690552800000, transactions=21667, otc=None)
Agg(open=6.165, high=6.34, low=6.15, close=6.2307, volume=3730843.0, vwap=6.2432, timestamp=1690556400000, transactions=10842, otc=None)
Agg(open=6.235, high=6.29, low=6.2, close=6.235, volume=1532234.0, vwap=6.2403, timestamp=1690560000000, transactions=5846, otc=None)
Agg(open=6.235, high=6.28, low=6.19, close=6.2423, volume=1720505.0, vwap=6.2353, timestamp=1690563600000, transactions=5424, otc=None)
Agg(open=6.2425, high=6.35, low=6.24, close=6.325, volume=1841619.0, vwap=6.315, timestamp=1690567200000, transactions=5377, otc=None)
Agg(open=6.33, high=6.37, low=6.31, close=6.34, volume=4548597.0, vwap=6.3329, timestamp=1690570800000, transactions=14417, otc=None)
Agg(open=6.34, high=6.39, low=6.31, close=6.39, volume=69652, vwap=6.3351, timestamp=1690574400000, transactions=114, otc=None)
Agg(open=6.4, high=6.44, low=6.39, close=6.42, volume=43622, vwap=6.4101, timestamp=1690578000000, transactions=71, otc=None)
Agg(open=6.42, high=6.43, low=6.37, close=6.41, volume=9623, vwap=6.3889, timestamp=1690581600000, transactions=53, otc=None)
Agg(open=6.37, high=6.45, low=6.37, close=6.4, volume=12420, vwap=6.4131, timestamp=1690585200000, transactions=48, otc=None)
