Agg(open=10.38, high=10.38, low=10, close=10, volume=650, vwap=10.0585, timestamp=1675069200000, transactions=2, otc=None)
Agg(open=9.85, high=10, low=9.84, close=9.96, volume=10700, vwap=9.8879, timestamp=1675087200000, transactions=99, otc=None)
Agg(open=9.99, high=9.99, low=9.86, close=9.94, volume=52101, vwap=9.9059, timestamp=1675090800000, transactions=648, otc=None)
Agg(open=9.97, high=10.015, low=9.945, close=10.01, volume=78931, vwap=9.992, timestamp=1675094400000, transactions=745, otc=None)
Agg(open=10.01, high=10.03, low=9.97, close=9.985, volume=47348, vwap=9.9987, timestamp=1675098000000, transactions=550, otc=None)
Agg(open=9.985, high=10.02, low=9.96, close=9.99, volume=44353, vwap=9.9941, timestamp=1675101600000, transactions=562, otc=None)
Agg(open=10, high=10, low=9.93, close=9.97, volume=67571, vwap=9.9685, timestamp=1675105200000, transactions=844, otc=None)
Agg(open=9.97, high=10, low=9.92, close=9.95, volume=291885, vwap=9.973, timestamp=1675108800000, transactions=2712, otc=None)
Agg(open=9.97, high=9.97, low=9.97, close=9.97, volume=17498, vwap=9.97, timestamp=1675112400000, transactions=2, otc=None)
Agg(open=10, high=10.17, low=9.99, close=10.08, volume=10816, vwap=10.0723, timestamp=1675173600000, transactions=108, otc=None)
Agg(open=10.05, high=10.13, low=10.05, close=10.125, volume=41345, vwap=10.0821, timestamp=1675177200000, transactions=712, otc=None)
Agg(open=10.13, high=10.145, low=9.98, close=10, volume=171471, vwap=10.0197, timestamp=1675180800000, transactions=1209, otc=None)
Agg(open=9.99, high=10.02, low=9.91, close=10.01, volume=105212, vwap=9.9924, timestamp=1675184400000, transactions=1027, otc=None)
Agg(open=10.01, high=10.04, low=9.99, close=10.02, volume=94354, vwap=10.0126, timestamp=1675188000000, transactions=834, otc=None)
Agg(open=10.02, high=10.055, low=9.99, close=9.995, volume=81792, vwap=10.0292, timestamp=1675191600000, transactions=1071, otc=None)
Agg(open=9.995, high=10.01, low=9.87, close=9.94, volume=282423, vwap=9.9492, timestamp=1675195200000, transactions=2657, otc=None)
Agg(open=9.94, high=9.94, low=9.94, close=9.94, volume=8288, vwap=9.94, timestamp=1675198800000, transactions=7, otc=None)
Agg(open=9.95, high=10.05, low=9.9, close=10.01, volume=29474, vwap=9.9774, timestamp=1675260000000, transactions=282, otc=None)
Agg(open=10.03, high=10.15, low=10, close=10.09, volume=82743, vwap=10.086, timestamp=1675263600000, transactions=910, otc=None)
Agg(open=10.09, high=10.3099, low=10.09, close=10.3, volume=162556, vwap=10.2329, timestamp=1675267200000, transactions=1859, otc=None)
Agg(open=10.3, high=10.35, low=10.2, close=10.26, volume=103567, vwap=10.2833, timestamp=1675270800000, transactions=1059, otc=None)
Agg(open=10.27, high=10.35, low=10.19, close=10.28, volume=91514, vwap=10.3121, timestamp=1675274400000, transactions=978, otc=None)
Agg(open=10.25, high=10.6, low=10.25, close=10.505, volume=188103, vwap=10.4523, timestamp=1675278000000, transactions=2768, otc=None)
Agg(open=10.5, high=10.591, low=10.38, close=10.4, volume=700780, vwap=10.4498, timestamp=1675281600000, transactions=6084, otc=None)
Agg(open=10.4, high=10.4, low=10.4, close=10.4, volume=8421, vwap=10.4, timestamp=1675285200000, transactions=14, otc=None)
Agg(open=10.5, high=10.6793, low=10.39, close=10.425, volume=99193, vwap=10.5643, timestamp=1675346400000, transactions=722, otc=None)
Agg(open=10.4, high=10.505, low=10.37, close=10.475, volume=150245, vwap=10.447, timestamp=1675350000000, transactions=1645, otc=None)
Agg(open=10.47, high=10.7, low=10.46, close=10.59, volume=298758, vwap=10.5824, timestamp=1675353600000, transactions=2650, otc=None)
Agg(open=10.6, high=10.62, low=10.57, close=10.595, volume=196962, vwap=10.5969, timestamp=1675357200000, transactions=1792, otc=None)
Agg(open=10.6, high=10.82, low=10.58, close=10.815, volume=132312, vwap=10.6731, timestamp=1675360800000, transactions=1417, otc=None)
Agg(open=10.815, high=10.91, low=10.67, close=10.69, volume=180942, vwap=10.8109, timestamp=1675364400000, transactions=2257, otc=None)
Agg(open=10.695, high=10.9, low=10.645, close=10.895, volume=402861, vwap=10.8181, timestamp=1675368000000, transactions=3925, otc=None)
Agg(open=10.9, high=10.9, low=10.9, close=10.9, volume=5126, vwap=10.9, timestamp=1675371600000, transactions=11, otc=None)
Agg(open=10.75, high=10.75, low=10.75, close=10.75, volume=229, vwap=10.75, timestamp=1675375200000, transactions=1, otc=None)
Agg(open=10.52, high=10.88, low=10.4, close=10.84, volume=95151, vwap=10.669, timestamp=1675432800000, transactions=706, otc=None)
Agg(open=10.85, high=10.88, low=10.7, close=10.73, volume=112441, vwap=10.7916, timestamp=1675436400000, transactions=1251, otc=None)
Agg(open=10.73, high=10.865, low=10.73, close=10.77, volume=107336, vwap=10.7986, timestamp=1675440000000, transactions=928, otc=None)
Agg(open=10.765, high=10.855, low=10.74, close=10.75, volume=73074, vwap=10.8145, timestamp=1675443600000, transactions=818, otc=None)
Agg(open=10.75, high=10.79, low=10.575, close=10.63, volume=165190, vwap=10.6897, timestamp=1675447200000, transactions=1180, otc=None)
Agg(open=10.64, high=10.72, low=10.63, close=10.63, volume=139477, vwap=10.6687, timestamp=1675450800000, transactions=1383, otc=None)
Agg(open=10.62, high=10.68, low=10.56, close=10.62, volume=320120, vwap=10.6153, timestamp=1675454400000, transactions=2815, otc=None)
Agg(open=10.62, high=10.62, low=10.62, close=10.62, volume=11714, vwap=10.62, timestamp=1675458000000, transactions=14, otc=None)
